cluster_id,rep_x,rep_y,num_observations,z_levels,diameter_min,diameter_max,diameter_mean,diameter_std,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15
870,55.2,491.6,5,"z_1,z_3,z_5,z_10,z_14",29.99,212.24,102.83400000000002,88.70690223426811,,212.24,,30.97,,30.26,,,,,210.71,,,,29.99,
313,236.0,206.0,2,"z_0,z_14",83.23,88.29,85.76,2.530000000000001,83.23,,,,,,,,,,,,,,88.29,
49,313.0,313.3846153846154,13,"z_0,z_1,z_2,z_3,z_4,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",58.8,67.48,64.41307692307693,3.0943158424027084,58.8,59.49,61.38,61.68,62.13,,,,65.47,66.01,66.96,67.48,67.48,66.92,66.37,67.2
384,162.0,64.71428571428571,14,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_13,z_14,z_15",57.21,67.32,63.11214285714285,3.2454059366861254,57.21,58.41,59.27,60.44,61.19,62.31,63.12,64.21,64.91,65.25,66.34,,,66.87,67.32,66.72
399,255.0,71.63636363636363,11,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10",57.43,64.22,60.82090909090909,2.0807667054825307,57.43,57.78,59.87,60.09,59.75,60.41,61.0,62.27,63.05,63.16,64.22,,,,,
898,345.0,200.5,4,"z_10,z_12,z_13,z_14",43.66,62.67,54.7475,7.505306039729494,,,,,,,,,,,62.67,,60.49,43.66,52.17,
274,188.0,163.37499999999994,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",54.3,62.19,59.10375,2.6961033803435654,54.3,54.7,55.14,56.74,57.31,57.65,58.67,59.59,60.17,60.86,61.79,62.19,61.53,61.53,61.96,61.53
873,430.0,492.0,1,z_1,61.72,61.72,61.72,0.0,,61.72,,,,,,,,,,,,,,
44,471.1875,381.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",52.73,61.33,58.17375,2.901305471249106,52.73,53.27,54.24,55.12,56.72,57.1,57.86,58.37,59.31,60.26,60.56,60.8,61.08,61.08,61.33,60.95
104,119.125,328.0,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",52.96,61.33,58.186875,2.9934965315455107,52.96,53.44,54.01,54.98,55.79,56.73,57.8,58.9,59.33,60.62,61.04,60.95,61.14,61.04,61.33,60.93
888,379.4545454545455,200.1818181818182,11,"z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14",50.21,60.91,53.97636363636365,2.931993652254298,,,,,60.91,56.1,55.36,51.67,50.21,52.82,51.67,50.85,55.36,55.36,53.43,
302,39.0,285.25,12,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_14,z_15",52.43,60.7,56.98500000000001,2.7299130022768128,52.43,53.4,54.36,55.06,55.61,56.67,57.48,58.2,59.23,60.05,,,,,60.7,60.63
224,325.0,88.125,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",49.54,58.58,54.532500000000006,3.0151399221263344,49.54,50.24,50.18,51.21,52.15,52.88,54.24,54.6,55.56,56.1,57.06,57.06,57.19,57.56,58.37,58.58
237,322.16666666666663,343.5,6,"z_0,z_1,z_2,z_3,z_6,z_7",53.17,58.44,55.721666666666664,1.9302971849490478,53.17,54.17,54.91,55.6,,,58.04,58.44,,,,,,,,
218,358.4375,54.125,16,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15",48.23,57.44,53.359375,3.131637887651603,48.23,49.07,49.45,49.88,50.99,51.27,52.21,53.2,54.21,55.06,55.4,56.17,56.98,57.44,56.83,57.36
100,293.6666666666667,337.0,9,"z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8",50.67,57.28,53.87111111111111,1.9445219032190824,50.67,51.74,52.65,53.02,54.17,55.16,54.46,55.69,57.28,,,,,,,
