Rank,Z_Level_in_matched,BF_Level_File,Fluorescent_X,Fluorescent_Y,BF_X_from_file,BF_Y_from_file,XY_Distance_to_file,Match_Status_in_matched,Fluorescent_Diameter,BF_Diameter_from_matched,BF_Diameter_from_file,Diff_Fluor_vs_BFfile,Diff_BFmatched_vs_BFfile
1,z_8,z_0,447.0,279.0,447.0,279.0,0.0,MATCHED,58.45,55.15,48.5,9.950000000000003,6.649999999999999
3,z_9,z_0,467.0,60.0,467.0,61.0,1.0,MATCHED,50.49,46.6,41.26,9.230000000000004,5.340000000000003
4,z_9,z_0,171.0,328.0,171.0,328.0,0.0,MATCHED,57.95,56.67,48.92,9.030000000000001,7.75
5,z_9,z_0,102.0,351.0,102.0,352.0,1.0,MATCHED,56.5,55.32,47.85,8.649999999999999,7.469999999999999
6,z_9,z_0,310.0,368.0,310.0,368.0,0.0,MATCHED,51.28,47.96,42.64,8.64,5.32
7,z_10,z_0,308.0,108.0,307.0,108.0,1.0,MATCHED,47.85,44.12,38.42,9.43,5.699999999999996
8,z_12,z_0,297.0,39.0,296.0,40.0,1.4142135623730951,MATCHED,43.67,41.48,35.15,8.520000000000003,6.329999999999998
9,z_11,z_0,375.0,177.0,374.0,177.0,1.0,MATCHED,46.2,43.72,36.77,9.43,6.949999999999996
10,z_11,z_0,403.0,262.0,403.0,263.0,1.0,MATCHED,44.74,41.87,36.1,8.64,5.769999999999996
12,z_11,z_0,436.0,299.0,436.0,299.0,0.0,MATCHED,39.89,36.72,31.88,8.010000000000002,4.84
13,z_11,z_0,173.0,225.0,173.0,226.0,1.0,MATCHED,46.9,45.12,37.99,8.909999999999997,7.1299999999999955
14,z_10,z_0,391.0,440.0,390.0,441.0,1.4142135623730951,MATCHED,43.96,41.16,35.42,8.54,5.739999999999995
15,z_11,z_0,189.0,61.0,189.0,62.0,1.0,MATCHED,43.66,40.69,33.83,9.829999999999998,6.859999999999999
16,z_11,z_0,249.0,432.0,249.0,432.0,0.0,MATCHED,41.1,39.64,32.94,8.160000000000004,6.700000000000003
18,z_12,z_0,103.0,24.0,103.0,24.0,0.0,MATCHED,41.01,38.52,31.95,9.059999999999999,6.570000000000004
19,z_12,z_0,412.0,177.0,412.0,177.0,0.0,MATCHED,37.57,34.02,28.51,9.059999999999999,5.510000000000002
20,z_12,z_0,131.0,279.0,132.0,280.0,1.4142135623730951,MATCHED,42.41,41.72,34.46,7.949999999999996,7.259999999999998
22,z_11,z_0,181.0,20.0,181.0,21.0,1.0,MATCHED,45.84,42.18,36.7,9.14,5.479999999999997
23,z_12,z_0,59.0,451.0,59.0,451.0,0.0,MATCHED,39.77,38.95,32.94,6.830000000000005,6.010000000000005
24,z_11,z_0,226.0,413.0,225.0,414.0,1.4142135623730951,MATCHED,39.53,38.86,32.94,6.590000000000003,5.920000000000002
25,z_11,z_0,279.0,243.0,279.0,244.0,1.0,MATCHED,40.07,37.29,31.16,8.91,6.129999999999999
26,z_12,z_0,40.0,232.0,41.0,233.0,1.4142135623730951,MATCHED,39.46,38.0,31.3,8.16,6.699999999999999
27,z_11,z_0,260.0,330.0,260.0,330.0,0.0,MATCHED,38.43,35.78,30.33,8.100000000000001,5.450000000000003
29,z_12,z_0,352.0,437.0,352.0,438.0,1.0,MATCHED,33.85,31.75,26.68,7.170000000000002,5.07
30,z_12,z_0,256.0,227.0,256.0,228.0,1.0,MATCHED,39.4,37.62,30.81,8.59,6.809999999999999
31,z_12,z_0,13.0,125.0,13.0,126.0,1.0,MATCHED,37.1,33.59,28.43,8.670000000000002,5.160000000000004
33,z_13,z_0,56.0,44.0,56.0,45.0,1.0,MATCHED,34.02,30.33,26.44,7.580000000000002,3.889999999999997
34,z_12,z_0,121.0,481.0,123.0,481.0,2.0,MATCHED,33.95,31.56,26.86,7.090000000000003,4.699999999999999
35,z_13,z_0,494.0,196.0,493.0,197.0,1.4142135623730951,MATCHED,24.78,22.76,19.93,4.850000000000001,2.830000000000002
36,z_13,z_0,67.0,75.0,67.0,76.0,1.0,MATCHED,33.95,30.33,25.69,8.260000000000002,4.639999999999997
37,z_12,z_0,210.0,421.0,210.0,421.0,0.0,MATCHED,29.61,29.26,24.57,5.039999999999999,4.690000000000001
38,z_8,z_0,255.0,72.0,255.0,72.0,0.0,MATCHED,66.22,63.05,57.43,8.79,5.619999999999997
40,z_14,z_0,116.0,363.0,116.0,363.0,0.0,MATCHED,19.93,20.04,17.31,2.620000000000001,2.7300000000000004
45,z_15,z_0,388.0,417.0,386.0,418.0,2.23606797749979,MATCHED,19.71,31.73,25.13,-5.419999999999998,6.600000000000001
46,z_15,z_0,443.0,154.0,444.0,154.0,1.0,MATCHED,22.44,26.68,22.15,0.2900000000000027,4.530000000000001
49,z_15,z_0,441.0,43.0,440.0,44.0,1.4142135623730951,MATCHED,25.5,33.59,27.1,-1.6000000000000014,6.490000000000002
50,z_15,z_0,431.0,144.0,430.0,145.0,1.4142135623730951,MATCHED,31.22,40.13,32.44,-1.2199999999999989,7.690000000000005
51,z_15,z_0,484.0,239.0,483.0,240.0,1.4142135623730951,MATCHED,39.75,53.24,45.43,-5.68,7.810000000000002
53,z_15,z_0,498.0,177.0,497.0,177.0,1.0,MATCHED,29.23,31.78,25.73,3.5,6.050000000000001
55,z_15,z_0,283.0,440.0,283.0,440.0,0.0,MATCHED,25.97,38.68,31.03,-5.060000000000002,7.649999999999999
56,z_15,z_0,448.0,123.0,449.0,123.0,1.0,MATCHED,41.46,46.68,40.09,1.3699999999999974,6.589999999999996
57,z_15,z_0,448.0,211.0,447.0,211.0,1.0,MATCHED,36.44,37.31,30.15,6.289999999999999,7.160000000000004
58,z_15,z_0,402.0,125.0,402.0,125.0,0.0,MATCHED,23.75,27.31,21.54,2.210000000000001,5.77
59,z_15,z_0,392.0,20.0,392.0,20.0,0.0,MATCHED,25.17,30.88,25.17,0.0,5.709999999999997
61,z_15,z_0,444.0,168.0,443.0,168.0,1.0,MATCHED,23.92,24.57,20.93,2.990000000000002,3.6400000000000006
63,z_15,z_0,353.0,136.0,353.0,136.0,0.0,MATCHED,25.45,33.93,27.27,-1.8200000000000003,6.66
66,z_15,z_0,408.0,113.0,409.0,113.0,1.0,MATCHED,25.53,28.56,23.8,1.7300000000000004,4.759999999999998
67,z_15,z_0,464.0,14.0,464.0,16.0,2.0,MATCHED,29.83,35.42,27.65,2.1799999999999997,7.770000000000003
68,z_15,z_0,493.0,103.0,491.0,104.0,2.23606797749979,MATCHED,35.42,41.62,34.96,0.46000000000000085,6.659999999999997
70,z_15,z_0,379.0,320.0,378.0,321.0,1.4142135623730951,MATCHED,31.32,46.78,38.75,-7.43,8.030000000000001
71,z_15,z_0,376.0,158.0,376.0,158.0,0.0,MATCHED,31.85,36.38,28.61,3.240000000000002,7.770000000000003
72,z_15,z_0,397.0,165.0,396.0,165.0,1.0,MATCHED,33.73,43.58,35.28,-1.5500000000000043,8.299999999999997
73,z_15,z_0,466.0,205.0,466.0,206.0,1.0,MATCHED,35.63,44.56,36.42,-0.7899999999999991,8.14
76,z_15,z_0,409.0,96.0,409.0,97.0,1.0,MATCHED,32.61,37.12,29.26,3.349999999999998,7.859999999999996
77,z_15,z_0,408.0,25.0,409.0,24.0,1.4142135623730951,MATCHED,34.67,39.86,32.61,2.0600000000000023,7.25
82,z_15,z_0,411.0,139.0,411.0,140.0,1.0,MATCHED,36.06,40.86,33.34,2.719999999999999,7.519999999999996
87,z_15,z_0,495.0,162.0,495.0,162.0,0.0,MATCHED,23.41,28.58,23.05,0.35999999999999943,5.529999999999998
88,z_15,z_0,441.0,187.0,440.0,186.0,1.4142135623730951,MATCHED,36.38,39.23,31.37,5.010000000000002,7.859999999999996
89,z_15,z_0,455.0,177.0,454.0,177.0,1.0,MATCHED,25.17,30.01,23.53,1.6400000000000006,6.48
90,z_15,z_0,353.0,104.0,353.0,104.0,0.0,MATCHED,32.39,44.64,36.66,-4.269999999999996,7.980000000000004
94,z_15,z_0,354.0,232.0,354.0,232.0,0.0,MATCHED,28.05,32.94,26.54,1.5100000000000016,6.399999999999999
95,z_15,z_0,362.0,195.0,362.0,197.0,2.0,MATCHED,37.27,45.49,37.81,-0.5399999999999991,7.68
98,z_15,z_0,372.0,141.0,372.0,141.0,0.0,MATCHED,29.04,33.2,26.44,2.599999999999998,6.760000000000002
17,z_11,z_0,108.0,495.0,,,,MATCHED,44.54,41.74,,,
28,z_13,z_0,468.0,29.0,,,,MATCHED,28.25,26.4,,,
2,z_9,z_0,381.0,121.0,381.0,122.0,1.0,FALLBACK_FLUORESCENT,58.48,58.48,48.9,9.579999999999998,9.579999999999998
11,z_11,z_0,444.0,424.0,444.0,424.0,0.0,FALLBACK_FLUORESCENT,40.03,40.03,31.8,8.23,8.23
21,z_7,z_0,313.0,313.0,313.0,314.0,1.0,FALLBACK_FLUORESCENT,67.96,67.96,58.8,9.159999999999997,9.159999999999997
32,z_12,z_0,119.0,219.0,119.0,220.0,1.0,FALLBACK_FLUORESCENT,34.93,34.93,26.88,8.05,8.05
39,z_5,z_0,235.0,207.0,236.0,206.0,1.4142135623730951,FALLBACK_FLUORESCENT,89.58,89.58,83.23,6.349999999999994,6.349999999999994
42,z_16,z_0,457.0,143.0,457.0,144.0,1.0,FALLBACK_FLUORESCENT,38.02,38.02,31.53,6.490000000000002,6.490000000000002
43,z_16,z_0,476.0,221.0,475.0,222.0,1.4142135623730951,FALLBACK_FLUORESCENT,29.02,29.02,24.59,4.43,4.43
44,z_16,z_0,500.0,254.0,500.0,255.0,1.0,FALLBACK_FLUORESCENT,34.93,34.93,32.55,2.3800000000000026,2.3800000000000026
47,z_16,z_0,360.0,357.0,360.0,358.0,1.0,FALLBACK_FLUORESCENT,26.68,26.68,19.15,7.530000000000001,7.530000000000001
48,z_16,z_0,440.0,111.0,441.0,110.0,1.4142135623730951,FALLBACK_FLUORESCENT,16.8,16.8,16.27,0.5300000000000011,0.5300000000000011
52,z_15,z_0,425.0,123.0,425.0,122.0,1.0,FALLBACK_FLUORESCENT,39.39,39.39,40.85,-1.4600000000000009,-1.4600000000000009
54,z_16,z_0,257.0,115.0,255.0,112.0,3.605551275463989,FALLBACK_FLUORESCENT,19.71,19.71,26.52,-6.809999999999999,-6.809999999999999
60,z_16,z_0,468.0,262.0,468.0,262.0,0.0,FALLBACK_FLUORESCENT,45.91,45.91,46.47,-0.5600000000000023,-0.5600000000000023
62,z_16,z_0,429.0,172.0,429.0,173.0,1.0,FALLBACK_FLUORESCENT,32.4,32.4,27.41,4.989999999999998,4.989999999999998
