Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,329.00,394.00,27.44,169.19,496.96,0.920
1,352.00,438.00,26.68,164.93,488.28,0.867
2,468.00,333.00,26.72,168.42,466.58,0.901
3,386.00,418.00,25.13,164.36,423.18,0.869
4,19.00,375.00,26.56,147.02,464.41,0.885
5,479.00,462.00,28.40,162.95,557.73,0.899
6,362.00,332.00,26.68,161.58,512.15,0.883
7,432.00,412.00,24.89,170.06,416.67,0.883
8,451.00,393.00,27.95,168.77,533.85,0.921
9,31.00,354.00,25.47,147.71,423.18,0.869
10,288.00,424.00,24.27,167.83,381.94,0.904
11,414.00,321.00,26.96,168.70,488.28,0.904
12,408.00,456.00,27.57,159.84,533.85,0.885
13,335.00,379.00,28.69,166.78,549.05,0.921
14,434.00,395.00,28.40,171.48,557.73,0.865
15,420.00,354.00,26.81,171.05,494.79,0.904
16,363.00,450.00,29.74,166.13,588.11,0.898
17,77.00,324.00,26.17,159.18,455.73,0.907
18,248.00,492.00,27.50,161.95,525.17,0.906
19,453.00,349.00,24.30,166.97,381.94,0.887
20,230.00,397.00,23.85,162.28,390.62,0.925
21,418.00,394.00,23.41,165.61,364.58,0.906
22,225.00,455.00,26.22,152.68,453.56,0.891
23,502.00,472.00,28.42,162.83,540.36,0.871
24,71.00,428.00,24.96,154.30,421.01,0.892
25,263.00,443.00,23.40,160.21,364.58,0.906
26,346.00,366.00,25.47,170.16,418.84,0.860
27,116.00,376.00,25.17,153.22,429.69,0.910
28,332.00,425.00,29.46,169.70,564.24,0.838
29,449.00,377.00,23.82,169.32,386.28,0.915
30,363.00,466.00,26.79,163.64,486.11,0.889
31,454.00,363.00,25.12,169.07,425.35,0.862
32,448.00,483.00,32.19,158.54,629.34,0.771
33,346.00,396.00,25.17,167.27,429.69,0.910
34,453.00,409.00,26.10,173.43,447.05,0.890
35,210.00,421.00,24.57,158.54,392.80,0.900
36,444.00,424.00,31.80,161.67,690.10,0.845
37,401.00,423.00,29.55,166.30,607.64,0.917
39,318.00,411.00,35.18,158.68,868.06,0.880
40,474.00,433.00,36.93,159.51,957.03,0.857
41,493.00,415.00,47.07,150.26,1592.88,0.871
42,399.00,379.00,38.06,155.41,1019.97,0.869
43,365.00,399.00,33.21,163.56,766.06,0.916
44,471.00,381.00,52.73,148.83,2026.91,0.900
45,390.00,441.00,35.42,158.08,885.42,0.897
46,378.00,321.00,38.75,157.21,1076.39,0.907
47,356.00,381.00,33.01,165.04,763.89,0.935
48,431.00,376.00,34.63,159.90,839.84,0.870
49,313.00,314.00,58.80,142.76,2539.06,0.899
