x,y,diameter,occupancy
352.0,438.0,31.75,1
386.0,418.0,31.73,1
210.0,421.0,29.26,1
390.0,441.0,41.16,1
378.0,321.0,46.78,1
260.0,330.0,35.78,1
102.0,352.0,55.32,1
310.0,368.0,47.96,1
171.0,328.0,56.67,1
249.0,432.0,39.64,1
59.0,451.0,38.95,1
225.0,414.0,38.86,1
283.0,440.0,38.68,1
412.0,177.0,34.02,1
436.0,299.0,36.72,1
372.0,141.0,33.2,1
464.0,16.0,35.42,1
440.0,186.0,39.23,1
409.0,24.0,39.86,1
376.0,158.0,36.38,1
354.0,232.0,32.94,1
447.0,211.0,37.31,1
454.0,177.0,30.01,1
409.0,113.0,28.56,1
353.0,136.0,33.93,1
497.0,177.0,31.78,1
440.0,44.0,33.59,1
392.0,20.0,30.88,1
467.0,61.0,46.6,1
447.0,279.0,55.15,1
449.0,123.0,46.68,1
374.0,177.0,43.72,1
491.0,104.0,41.62,1
362.0,197.0,45.49,1
396.0,165.0,43.58,1
403.0,263.0,41.87,1
409.0,97.0,37.12,1
430.0,145.0,40.13,1
483.0,240.0,53.24,1
411.0,140.0,40.86,1
466.0,206.0,44.56,1
353.0,104.0,44.64,1
41.0,233.0,38.0,1
256.0,228.0,37.62,1
13.0,126.0,33.59,1
56.0,45.0,30.33,1
67.0,76.0,30.33,1
132.0,280.0,41.72,1
296.0,40.0,41.48,1
181.0,21.0,42.18,1
307.0,108.0,44.12,1
173.0,226.0,45.12,1
255.0,72.0,63.05,1
103.0,24.0,38.52,1
279.0,244.0,37.29,1
189.0,62.0,40.69,1
116.0,363.0,20.04,1
402.0,125.0,27.31,1
444.0,154.0,26.68,1
443.0,168.0,24.57,1
495.0,162.0,28.58,1
493.0,197.0,22.76,1
123.0,481.0,31.56,1
329.0,394.0,27.44,0
468.0,333.0,26.72,0
19.0,375.0,26.56,0
479.0,462.0,28.4,0
362.0,332.0,26.68,0
432.0,412.0,24.89,0
451.0,393.0,27.95,0
31.0,354.0,25.47,0
288.0,424.0,24.27,0
414.0,321.0,26.96,0
408.0,456.0,27.57,0
335.0,379.0,28.69,0
434.0,395.0,28.4,0
420.0,354.0,26.81,0
363.0,450.0,29.74,0
77.0,324.0,26.17,0
248.0,492.0,27.5,0
453.0,349.0,24.3,0
230.0,397.0,23.85,0
418.0,394.0,23.41,0
225.0,455.0,26.22,0
502.0,472.0,28.42,0
71.0,428.0,24.96,0
263.0,443.0,23.4,0
346.0,366.0,25.47,0
116.0,376.0,25.17,0
332.0,425.0,29.46,0
449.0,377.0,23.82,0
363.0,466.0,26.79,0
454.0,363.0,25.12,0
448.0,483.0,32.19,0
346.0,396.0,25.17,0
453.0,409.0,26.1,0
444.0,424.0,31.8,0
401.0,423.0,29.55,0
318.0,411.0,35.18,0
474.0,433.0,36.93,0
493.0,415.0,47.07,0
399.0,379.0,38.06,0
365.0,399.0,33.21,0
471.0,381.0,52.73,0
356.0,381.0,33.01,0
431.0,376.0,34.63,0
313.0,314.0,58.8,0
438.0,357.0,33.01,0
344.0,469.0,37.78,0
408.0,338.0,32.81,0
438.0,335.0,45.5,0
353.0,490.0,37.79,0
370.0,430.0,43.75,0
315.0,440.0,38.0,0
481.0,343.0,27.59,0
429.0,316.0,26.27,0
457.0,451.0,32.99,0
334.0,497.0,30.33,0
499.0,446.0,32.09,0
372.0,368.0,35.58,0
410.0,439.0,28.94,0
337.0,409.0,27.53,0
189.0,372.0,23.75,0
416.0,414.0,26.88,0
425.0,464.0,35.48,0
487.0,360.0,31.29,0
464.0,474.0,34.52,0
373.0,347.0,37.43,0
348.0,348.0,33.68,0
403.0,356.0,30.37,0
380.0,458.0,32.48,0
470.0,410.0,33.03,0
214.0,340.0,34.79,0
182.0,440.0,38.25,0
279.0,356.0,31.63,0
148.0,382.0,35.52,0
126.0,462.0,32.76,0
254.0,365.0,35.18,0
139.0,411.0,39.77,0
248.0,401.0,39.67,0
137.0,345.0,31.15,0
45.0,470.0,46.4,0
234.0,340.0,31.37,0
145.0,361.0,32.99,0
286.0,383.0,30.35,0
194.0,314.0,44.15,0
46.0,353.0,28.98,0
117.0,410.0,35.75,0
274.0,406.0,33.03,0
304.0,423.0,29.6,0
369.0,497.0,24.66,0
37.0,84.0,51.24,0
502.0,329.0,24.57,0
448.0,467.0,24.46,0
370.0,483.0,24.49,0
266.0,480.0,45.93,0
293.0,337.0,50.67,0
305.0,392.0,40.72,0
119.0,328.0,52.96,0
312.0,481.0,38.01,0
116.0,443.0,37.27,0
83.0,342.0,29.09,0
220.0,380.0,30.15,0
194.0,488.0,38.25,0
262.0,382.0,27.23,0
227.0,360.0,30.37,0
81.0,390.0,32.73,0
299.0,497.0,31.73,0
90.0,474.0,30.41,0
98.0,441.0,26.72,0
156.0,422.0,29.83,0
59.0,370.0,44.62,0
204.0,457.0,36.38,0
15.0,324.0,39.47,0
167.0,460.0,26.86,0
242.0,476.0,30.04,0
213.0,493.0,30.51,0
280.0,457.0,26.44,0
146.0,442.0,31.29,0
87.0,408.0,33.28,0
132.0,430.0,29.26,0
95.0,323.0,35.42,0
141.0,490.0,26.44,0
101.0,422.0,30.77,0
292.0,409.0,28.05,0
146.0,461.0,31.02,0
198.0,354.0,34.03,0
81.0,443.0,30.99,0
69.0,469.0,37.87,0
202.0,384.0,30.15,0
163.0,445.0,27.01,0
223.0,325.0,26.15,0
169.0,388.0,35.88,0
126.0,498.0,32.05,0
378.0,44.0,28.51,0
491.0,310.0,33.98,0
328.0,184.0,28.31,0
474.0,135.0,29.13,0
323.0,19.0,25.3,0
459.0,43.0,25.93,0
355.0,268.0,25.77,0
356.0,216.0,30.85,0
391.0,187.0,28.54,0
337.0,49.0,27.05,0
399.0,67.0,24.55,0
361.0,153.0,25.17,0
364.0,33.0,27.95,0
429.0,173.0,27.41,0
348.0,249.0,33.91,0
404.0,284.0,34.02,0
335.0,268.0,36.77,0
446.0,256.0,31.56,0
431.0,58.0,30.99,0
459.0,80.0,28.92,0
320.0,251.0,30.05,0
393.0,104.0,26.72,0
338.0,28.0,31.02,0
456.0,162.0,26.31,0
500.0,255.0,32.55,0
