Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,235.00,206.00,42.80,41.54,1364.50,0.884
1,189.00,61.00,21.29,53.14,318.00,0.887
2,255.00,72.00,31.85,46.54,746.00,0.900
3,173.00,225.00,22.95,55.72,371.50,0.908
4,13.00,125.00,17.82,49.12,222.50,0.890
5,41.00,232.00,19.33,50.46,264.50,0.897
6,181.00,20.00,22.31,49.62,357.50,0.903
7,131.00,279.00,20.40,52.85,295.00,0.874
8,256.00,227.00,18.90,49.35,237.50,0.896
9,119.00,219.00,16.70,48.40,197.50,0.888
10,279.00,243.00,19.15,50.26,262.00,0.906
11,103.00,24.00,19.71,52.91,275.00,0.891
12,308.00,108.00,23.21,58.40,391.50,0.914
13,297.00,39.00,21.20,58.10,323.00,0.901
14,67.00,75.00,16.47,46.18,187.50,0.898
15,56.00,44.00,16.51,47.81,186.50,0.865
139,181.00,20.00,22.34,50.93,358.50,0.906
208,67.00,75.00,16.52,47.06,190.00,0.890
213,102.00,351.00,27.34,60.75,544.50,0.904
214,249.00,432.00,19.95,53.59,280.00,0.883
215,171.00,328.00,27.75,61.02,571.00,0.901
216,226.00,413.00,19.32,51.62,262.00,0.906
217,260.00,330.00,18.45,50.57,236.00,0.898
218,59.00,451.00,19.40,50.25,267.50,0.883
219,210.00,421.00,14.41,43.73,141.50,0.870
220,121.00,481.00,16.39,45.95,187.50,0.870
303,447.00,279.00,28.09,67.35,571.50,0.890
304,436.00,299.00,19.39,55.10,259.00,0.871
305,403.00,262.00,21.63,56.14,335.50,0.920
306,375.00,177.00,22.25,57.63,350.00,0.890
307,382.00,122.00,28.22,65.82,581.50,0.873
308,412.00,177.00,18.00,52.85,227.00,0.900
309,467.00,60.00,24.42,61.19,423.50,0.871
310,468.00,29.00,13.72,48.61,125.00,0.884
311,494.00,196.00,11.90,45.96,96.50,0.916
322,375.00,177.00,22.23,55.66,345.00,0.878
338,467.00,60.00,24.42,57.78,428.50,0.881
429,382.00,122.00,28.22,63.56,583.50,0.876
442,255.00,72.00,32.01,50.09,755.00,0.896
445,310.00,368.00,24.96,59.47,446.00,0.903
446,444.00,424.00,19.40,55.02,263.50,0.894
447,391.00,440.00,21.22,54.92,320.50,0.910
448,313.00,313.00,32.60,54.56,791.00,0.903
449,352.00,437.00,16.41,48.44,186.00,0.883
490,391.00,440.00,21.58,52.98,325.00,0.907
521,279.00,243.00,19.42,51.33,264.50,0.897
523,313.00,313.00,32.73,57.33,794.00,0.907
550,116.00,363.00,9.85,32.31,58.50,0.891
