Rank,Fluorescent_X,Fluorescent_Y,Fluorescent_Max_Intensity,Fluorescent_Diameter,Fluorescent_Area,Fluorescent_Circularity,Z_Level,Droplets_At_Location,BF_Mask_ID,BF_X,BF_Y,BF_Diameter,BF_Intensity,BF_Area,BF_Circularity,XY_Distance,Match_Status
1,447.0,279.0,56.35,58.45,2476.13,0.888,z_8,17,189.0,447.0,278.0,55.15,121.87,2159.29,0.9,1.0,MATCHED
3,467.0,60.0,52.55,50.49,1805.56,0.887,z_9,16,55.0,467.0,60.0,46.6,124.27,1501.74,0.86,0.0,MATCHED
4,171.0,328.0,51.49,57.95,2460.94,0.894,z_9,17,490.0,171.0,328.0,56.67,114.63,2300.35,0.875,0.0,MATCHED
5,102.0,351.0,51.39,56.5,2335.07,0.905,z_9,16,92.0,102.0,351.0,55.32,114.34,2194.01,0.879,0.0,MATCHED
6,310.0,368.0,50.75,51.28,1901.04,0.887,z_9,16,548.0,310.0,368.0,47.96,123.23,1595.05,0.858,0.0,MATCHED
7,308.0,108.0,50.35,47.85,1668.84,0.898,z_10,15,429.0,308.0,108.0,44.12,122.69,1371.53,0.86,0.0,MATCHED
8,297.0,39.0,49.63,43.67,1367.19,0.879,z_12,14,325.0,297.0,39.0,41.48,118.29,1195.75,0.899,0.0,MATCHED
9,375.0,177.0,49.4,46.2,1493.06,0.884,z_11,15,328.0,374.0,176.0,43.72,116.45,1293.4,0.852,1.4142135623730951,MATCHED
10,403.0,262.0,48.17,44.74,1434.46,0.906,z_11,15,279.0,404.0,263.0,41.87,118.8,1226.13,0.853,1.4142135623730951,MATCHED
12,436.0,299.0,47.1,39.89,1115.45,0.889,z_11,13,306.0,436.0,299.0,36.72,122.18,928.82,0.874,0.0,MATCHED
13,173.0,225.0,47.09,46.9,1579.86,0.905,z_11,14,430.0,173.0,225.0,45.12,117.3,1388.89,0.862,0.0,MATCHED
14,391.0,440.0,47.04,43.96,1369.36,0.896,z_10,14,212.0,391.0,440.0,41.16,123.78,1143.66,0.894,0.0,MATCHED
15,189.0,61.0,46.72,43.66,1330.3,0.87,z_11,14,435.0,189.0,61.0,40.69,118.8,1156.68,0.904,0.0,MATCHED
16,249.0,432.0,46.47,41.1,1187.07,0.903,z_11,13,99.0,249.0,432.0,39.64,114.64,1111.11,0.885,0.0,MATCHED
17,108.0,495.0,46.05,44.54,820.31,0.732,z_11,6,853.0,108.0,495.0,41.74,111.54,707.47,0.73,0.0,MATCHED
18,103.0,24.0,45.53,41.01,1171.88,0.898,z_12,12,505.0,103.0,24.0,38.52,117.58,1006.94,0.873,0.0,MATCHED
19,412.0,177.0,45.27,37.57,978.73,0.876,z_12,13,52.0,412.0,177.0,34.02,122.58,815.97,0.922,0.0,MATCHED
20,131.0,279.0,45.06,42.41,1263.02,0.885,z_12,13,480.0,131.0,279.0,41.72,113.06,1193.58,0.868,0.0,MATCHED
22,181.0,20.0,44.23,45.84,1506.08,0.891,z_11,14,438.0,181.0,20.0,42.18,118.37,1280.38,0.823,0.0,MATCHED
23,59.0,451.0,44.22,39.77,1119.79,0.892,z_12,12,155.0,59.0,451.0,38.95,109.68,1076.39,0.892,0.0,MATCHED
24,226.0,413.0,44.11,39.53,1111.11,0.885,z_11,13,81.0,226.0,414.0,38.86,113.46,1067.71,0.851,1.0,MATCHED
25,279.0,243.0,43.3,40.07,1119.79,0.892,z_11,13,349.0,279.0,243.0,37.29,121.3,957.03,0.882,0.0,MATCHED
26,40.0,232.0,43.09,39.46,1132.81,0.902,z_12,12,594.0,41.0,232.0,38.0,115.04,976.56,0.882,1.0,MATCHED
27,260.0,330.0,42.69,38.43,1035.16,0.927,z_11,13,88.0,260.0,330.0,35.78,122.59,881.08,0.881,0.0,MATCHED
28,468.0,29.0,42.38,28.25,533.85,0.921,z_13,10,307.0,468.0,29.0,26.4,119.31,473.09,0.902,0.0,MATCHED
29,352.0,437.0,42.33,33.85,789.93,0.892,z_12,12,17.0,352.0,437.0,31.75,123.1,668.4,0.923,0.0,MATCHED
30,256.0,227.0,41.89,39.4,1026.48,0.868,z_12,12,371.0,256.0,227.0,37.62,119.48,976.56,0.893,0.0,MATCHED
31,13.0,125.0,41.43,37.1,944.01,0.87,z_12,11,338.0,14.0,125.0,33.59,117.28,770.4,0.891,1.0,MATCHED
33,56.0,44.0,41.25,34.02,800.78,0.926,z_13,10,599.0,56.0,44.0,30.33,116.89,664.06,0.884,0.0,MATCHED
34,121.0,481.0,40.57,33.95,779.08,0.889,z_12,11,101.0,122.0,481.0,31.56,115.25,696.61,0.905,1.0,MATCHED
35,494.0,196.0,40.46,24.78,414.5,0.907,z_13,9,815.0,494.0,196.0,22.76,126.32,338.54,0.841,0.0,MATCHED
36,67.0,75.0,40.36,33.95,783.42,0.865,z_13,10,387.0,67.0,75.0,30.33,119.56,629.34,0.901,0.0,MATCHED
37,210.0,421.0,37.73,29.61,596.79,0.877,z_12,10,23.0,210.0,421.0,29.26,116.64,562.07,0.871,0.0,MATCHED
38,255.0,72.0,37.01,66.22,3224.83,0.896,z_8,17,381.0,255.0,71.0,63.05,117.54,2732.2,0.841,1.0,MATCHED
40,116.0,363.0,27.68,19.93,238.72,0.873,z_14,7,718.0,116.0,362.0,20.04,114.37,260.42,0.898,1.0,MATCHED
45,388.0,417.0,12.22,19.71,206.16,0.836,z_15,1,349.0,386.0,417.0,31.73,109.69,690.1,0.919,2.0,MATCHED
46,443.0,154.0,11.75,22.44,297.31,0.821,z_15,1,265.0,444.0,154.0,26.68,116.25,440.54,0.85,1.0,MATCHED
49,441.0,43.0,11.56,25.5,410.16,0.88,z_15,1,19.0,441.0,43.0,33.59,113.76,677.08,0.829,0.0,MATCHED
50,431.0,144.0,11.54,31.22,588.11,0.803,z_15,1,36.0,430.0,144.0,40.13,110.78,1093.75,0.871,1.0,MATCHED
