Rank,Center_X,Center_Y,Max_Intensity,Source_Z_Level,Diameter,Area,Circularity,Droplets_At_Location,Z_Levels_At_Location,All_Intensities
1,447.0,279.0,56.35,z_8,58.45,2476.13,0.888,17,"z_0,z_1,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","15.63,21.38,55.26,52.50,48.82,44.34,38.23,32.88,28.84,27.60,36.11,42.21,47.43,52.87,54.41,56.35,55.91"
2,381.0,121.0,55.55,z_9,58.48,2478.3,0.884,17,"z_0,z_1,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","13.88,18.37,54.84,52.01,49.54,44.74,39.40,34.64,28.83,24.87,32.42,40.05,44.74,50.29,53.43,55.44,55.55"
3,467.0,60.0,52.55,z_9,50.49,1805.56,0.887,16,"z_1,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","11.43,52.00,51.21,48.10,43.99,40.08,34.95,29.31,14.69,18.62,25.63,34.76,41.18,47.64,49.98,52.55"
4,171.0,328.0,51.49,z_9,57.95,2460.94,0.894,17,"z_0,z_1,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","12.26,14.99,51.15,48.58,46.22,42.58,37.37,32.81,27.40,20.01,27.55,35.57,41.27,44.33,48.86,50.71,51.49"
5,102.0,351.0,51.39,z_9,56.5,2335.07,0.905,16,"z_0,z_1,z_10,z_11,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","10.93,13.42,50.87,49.12,42.33,37.66,33.38,27.73,18.91,25.01,30.83,36.98,42.91,46.40,49.14,51.39"
6,310.0,368.0,50.75,z_9,51.28,1901.04,0.887,16,"z_1,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","11.43,50.33,48.65,46.20,42.71,37.75,33.32,28.22,14.28,20.39,26.74,33.38,37.72,43.55,47.48,50.75"
7,308.0,108.0,50.35,z_10,47.85,1668.84,0.898,15,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","50.35,49.27,46.87,44.09,38.49,33.96,28.86,11.01,14.19,20.81,27.49,33.85,39.10,44.57,48.52"
8,297.0,39.0,49.63,z_12,43.67,1367.19,0.879,14,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_3,z_4,z_5,z_6,z_7,z_8,z_9","48.21,49.49,49.63,45.96,42.09,35.75,30.88,10.77,15.20,19.24,27.07,34.04,40.35,46.16"
9,375.0,177.0,49.4,z_11,46.2,1493.06,0.884,15,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","48.30,49.40,47.14,44.01,38.85,33.51,27.57,10.06,12.77,16.93,24.72,31.01,37.37,42.83,47.26"
10,403.0,262.0,48.17,z_11,44.74,1434.46,0.906,15,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9","47.45,48.17,45.35,42.16,37.00,31.53,25.58,10.16,13.23,17.03,21.85,30.22,35.45,42.10,45.23"
11,444.0,424.0,47.93,z_11,40.03,1130.64,0.884,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","44.92,47.93,46.85,42.25,37.64,31.81,27.87,12.54,16.61,22.93,30.19,36.46,43.34"
12,436.0,299.0,47.1,z_11,39.89,1115.45,0.889,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","46.53,47.10,46.10,43.29,39.74,32.25,28.36,11.39,15.75,22.44,30.69,36.41,43.82"
13,173.0,225.0,47.09,z_11,46.9,1579.86,0.905,14,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_3,z_4,z_5,z_6,z_7,z_8,z_9","46.80,47.09,45.60,42.86,38.18,32.83,27.77,12.79,17.13,22.48,28.88,35.23,40.14,45.38"
14,391.0,440.0,47.04,z_10,43.96,1369.36,0.896,14,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_3,z_4,z_5,z_6,z_7,z_8,z_9","47.04,46.51,45.23,41.21,37.43,31.99,27.54,11.19,15.00,20.14,29.38,36.58,41.81,44.20"
15,189.0,61.0,46.72,z_11,43.66,1330.3,0.87,14,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_3,z_4,z_5,z_6,z_7,z_8,z_9","43.43,46.72,44.92,42.54,38.96,33.81,29.33,10.36,12.18,16.45,22.55,29.87,35.59,40.02"
16,249.0,432.0,46.47,z_11,41.1,1187.07,0.903,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","44.48,46.47,45.14,43.63,38.25,32.28,28.21,11.20,16.65,21.19,28.19,34.62,39.96"
17,108.0,495.0,46.05,z_11,44.54,820.31,0.732,6,"z_10,z_11,z_12,z_7,z_8,z_9","45.02,46.05,45.71,25.29,30.84,36.98"
18,103.0,24.0,45.53,z_12,41.01,1171.88,0.898,12,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_5,z_6,z_7,z_8,z_9","41.58,44.73,45.53,43.80,40.87,35.79,30.77,13.22,17.01,22.95,30.81,37.27"
19,412.0,177.0,45.27,z_12,37.57,978.73,0.876,13,"z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_4,z_5,z_6,z_7,z_8,z_9","43.57,44.81,45.27,43.83,39.42,34.91,28.90,10.04,12.79,17.00,25.02,32.11,38.49"
