Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,41.00,232.00,39.53,41.29,1128.47,0.899
1,131.00,279.00,42.26,41.93,1254.34,0.902
2,173.00,225.00,46.59,42.86,1551.65,0.903
3,119.00,219.00,34.93,40.68,844.18,0.902
4,13.00,125.00,36.67,41.37,937.50,0.910
5,189.00,61.00,43.28,42.54,1356.34,0.887
6,103.00,24.00,40.91,43.80,1180.56,0.905
7,67.00,75.00,33.95,40.36,783.42,0.865
8,279.00,243.00,39.65,39.99,1111.11,0.885
10,308.00,108.00,47.43,44.09,1634.11,0.879
11,56.00,44.00,34.02,41.25,800.78,0.926
12,297.00,39.00,43.94,45.96,1371.53,0.882
13,256.00,227.00,39.35,39.64,1022.14,0.889
14,255.00,72.00,63.98,29.79,2907.99,0.875
19,236.00,206.00,83.20,24.02,4670.14,0.849
140,181.00,20.00,46.43,40.24,1512.59,0.880
200,102.00,351.00,56.35,42.33,2274.31,0.882
201,249.00,432.00,40.57,43.63,1178.39,0.896
202,260.00,330.00,37.82,40.70,1022.14,0.915
203,59.00,451.00,39.86,41.72,1126.30,0.915
204,226.00,414.00,39.53,41.34,1119.79,0.892
205,171.00,328.00,57.64,42.58,2350.26,0.875
206,121.00,481.00,34.14,38.64,815.97,0.892
207,210.00,421.00,29.95,37.61,603.30,0.911
295,436.00,299.00,39.60,43.29,1093.75,0.896
296,447.00,279.00,57.15,44.34,2335.07,0.905
297,403.00,262.00,44.15,42.16,1391.06,0.910
298,375.00,177.00,45.51,44.01,1477.86,0.911
299,412.00,177.00,36.57,43.83,948.35,0.885
300,381.00,121.00,57.35,44.74,2382.81,0.899
301,467.00,60.00,50.46,43.99,1781.68,0.862
302,468.00,29.00,28.25,42.38,533.85,0.921
303,494.00,196.00,24.78,40.46,414.50,0.907
418,444.00,424.00,39.53,42.25,1100.26,0.894
419,391.00,440.00,43.39,41.21,1334.64,0.873
420,310.00,368.00,51.33,42.71,1864.15,0.883
421,352.00,437.00,33.73,41.61,772.57,0.902
422,313.00,313.00,65.95,33.60,3179.25,0.879
526,116.00,363.00,19.93,24.40,253.91,0.891
549,360.00,358.00,22.44,10.16,290.80,0.878
554,351.00,424.00,22.55,13.90,305.99,0.871
