Rank,Center_X,Center_Y,Max_Intensity,Source_Z_Level,Diameter,Area,Circularity,Droplets_At_Location,Z_Levels_At_Location,All_Intensities
1,447.0,279.0,56.35,z08,28.05,570.5,0.888,22,"z00,z00,z01,z02,z03,z04,z04,z05,z05,z06,z06,z07,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","15.63,12.26,21.38,27.60,36.11,42.21,33.70,47.43,39.05,52.87,44.78,54.41,48.45,56.35,55.91,55.26,52.50,48.82,44.34,38.23,32.88,28.84"
2,381.0,121.0,55.55,z09,28.07,571.0,0.884,20,"z00,z01,z02,z03,z04,z05,z06,z07,z08,z09,z10,z10,z11,z11,z12,z13,z13,z14,z15,z16","13.88,18.37,24.87,32.42,40.05,44.74,50.29,53.43,55.44,55.55,54.84,52.75,52.01,51.58,49.54,44.74,45.85,39.40,34.64,28.83"
3,467.0,60.0,52.55,z09,24.23,416.0,0.887,25,"z01,z02,z03,z04,z04,z05,z05,z06,z07,z08,z09,z10,z10,z11,z11,z12,z12,z13,z13,z14,z14,z15,z15,z16,z16","11.43,14.69,18.62,25.63,21.29,34.76,25.78,41.18,47.64,49.98,52.55,52.00,47.04,51.21,48.05,48.10,46.27,43.99,43.32,40.08,40.17,34.95,35.41,29.31,30.20"
4,171.0,328.0,51.49,z09,27.82,567.0,0.894,17,"z00,z01,z02,z03,z04,z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","12.26,14.99,20.01,27.55,35.57,41.27,44.33,48.86,50.71,51.49,51.15,48.58,46.22,42.58,37.37,32.81,27.40"
5,102.0,351.0,51.39,z09,27.12,538.0,0.905,20,"z00,z01,z02,z03,z04,z04,z05,z06,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16,z16","10.93,13.42,18.91,25.01,30.83,18.79,36.98,42.91,26.36,46.40,49.14,51.39,50.87,49.12,46.99,42.33,37.66,33.38,27.73,26.80"
6,310.0,368.0,50.75,z09,24.61,438.0,0.887,16,"z01,z02,z03,z04,z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","11.43,14.28,20.39,26.74,33.38,37.72,43.55,47.48,50.75,50.33,48.65,46.20,42.71,37.75,33.32,28.22"
7,308.0,108.0,50.35,z10,22.97,384.5,0.898,15,"z02,z03,z04,z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","11.01,14.19,20.81,27.49,33.85,39.10,44.57,48.52,50.35,49.27,46.87,44.09,38.49,33.96,28.86"
8,297.0,39.0,49.63,z12,20.96,315.0,0.879,14,"z03,z04,z05,z06,z07,z08,z09,z10,z11,z12,z13,z14,z15,z16","10.77,15.20,19.24,27.07,34.04,40.35,46.16,48.21,49.49,49.63,45.96,42.09,35.75,30.88"
9,375.0,177.0,49.4,z11,22.18,344.0,0.884,17,"z02,z03,z04,z05,z06,z07,z08,z09,z10,z11,z11,z12,z12,z13,z14,z15,z16","10.06,12.77,16.93,24.72,31.01,37.37,42.83,47.26,48.30,49.40,47.71,47.08,47.14,44.01,38.85,33.51,27.57"
10,444.0,285.0,48.24,z12,46.33,820.0,0.555,3,"z12,z13,z14","48.24,43.99,38.77"
