Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,40.00,232.00,18.97,38.88,260.00,0.899
1,13.00,125.00,17.52,40.76,215.00,0.879
2,131.00,279.00,20.12,39.31,283.00,0.917
3,119.00,220.00,16.49,38.22,196.00,0.901
4,173.00,225.00,22.14,38.18,352.00,0.904
5,189.00,61.00,20.68,38.96,305.50,0.889
6,279.00,243.00,18.79,37.21,249.00,0.885
7,56.00,44.00,16.30,40.41,185.50,0.889
8,67.00,75.00,16.17,38.95,181.50,0.911
9,181.00,20.00,21.81,34.99,337.00,0.895
10,103.00,24.00,19.54,40.87,269.00,0.895
11,308.00,108.00,22.90,38.49,369.00,0.876
12,256.00,227.00,18.60,35.83,228.50,0.888
13,297.00,39.00,20.54,42.09,299.00,0.886
14,256.00,72.00,30.47,26.67,657.50,0.884
15,236.00,206.00,39.30,21.34,1062.00,0.872
131,181.00,20.00,21.90,37.67,340.50,0.890
165,279.00,243.00,18.93,37.20,255.00,0.882
173,225.00,413.00,18.94,37.78,257.00,0.889
174,102.00,351.00,26.89,37.66,521.00,0.894
175,249.00,432.00,19.67,38.25,272.50,0.900
176,310.00,368.00,24.12,37.75,418.00,0.865
177,210.00,421.00,14.05,36.82,135.00,0.919
178,260.00,330.00,18.36,37.52,231.50,0.899
179,59.00,451.00,19.04,37.68,258.00,0.892
180,171.00,328.00,27.33,37.37,525.50,0.889
181,121.00,481.00,16.25,37.77,177.00,0.897
204,220.00,416.00,32.81,37.21,400.50,0.558
251,436.00,299.00,18.95,39.74,248.00,0.882
252,447.00,279.00,27.05,38.23,522.00,0.878
253,374.00,177.00,21.65,38.85,332.00,0.904
254,403.00,262.00,21.28,37.00,318.00,0.887
255,412.00,177.00,17.40,39.42,216.00,0.857
256,467.00,60.00,23.47,40.08,388.50,0.879
257,468.00,29.00,13.63,41.37,122.50,0.891
258,381.00,121.00,27.47,39.40,534.50,0.887
259,494.00,196.00,12.06,36.38,97.50,0.869
260,444.00,285.00,46.14,38.77,770.50,0.511
261,467.00,60.00,23.66,40.17,391.50,0.866
346,352.00,437.00,16.19,37.45,179.50,0.901
347,391.00,440.00,20.25,37.43,295.00,0.897
348,444.00,424.00,18.69,37.64,248.50,0.901
349,313.00,313.00,31.37,30.31,696.00,0.873
460,116.00,363.00,9.57,27.68,55.00,0.873
482,360.00,358.00,10.14,10.68,65.50,0.872
483,351.00,424.00,10.85,15.26,71.00,0.864
