Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
0,410.00,450.00,26.10,133.61,436.20,0.895,5.33,35.42,0.366
1,343.00,473.00,26.24,135.73,460.07,0.916,5.20,36.34,0.424
2,150.00,350.00,61.54,114.91,2690.97,0.859,4.03,123.33,0.510
3,36.00,376.00,59.67,111.99,2519.53,0.887,4.29,112.37,0.492
4,347.00,345.00,24.63,117.82,392.80,0.900,5.47,33.86,0.456
5,444.00,442.00,25.30,136.66,429.69,0.910,4.87,34.70,0.424
6,335.00,385.00,31.00,124.64,655.38,0.905,5.32,40.45,0.394
7,428.00,320.00,40.32,124.65,1080.73,0.885,5.00,49.43,0.366
8,411.00,483.00,40.34,123.75,980.90,0.752,5.19,50.51,0.294
9,449.00,472.00,37.34,123.49,913.63,0.818,4.86,45.93,0.341
10,376.00,456.00,31.29,127.52,661.89,0.860,5.26,41.67,0.408
11,317.00,414.00,28.67,131.92,581.60,0.878,5.16,38.90,0.319
12,401.00,465.00,43.44,119.47,1256.51,0.843,5.94,54.69,0.397
13,354.00,460.00,36.77,124.28,870.23,0.890,5.84,47.57,0.411
14,395.00,416.00,42.11,121.59,1089.41,0.845,4.85,50.99,0.360
15,317.00,326.00,25.77,136.25,451.39,0.898,5.57,36.49,0.440
16,334.00,415.00,25.04,135.93,421.01,0.892,5.59,35.62,0.429
17,432.00,394.00,32.94,127.29,755.21,0.853,5.82,44.59,0.333
18,195.00,329.00,25.95,130.79,449.22,0.846,5.57,36.25,0.642
19,477.00,322.00,25.77,131.86,431.86,0.886,5.99,37.20,0.417
20,443.00,420.00,24.41,140.47,397.14,0.909,5.32,34.76,0.411
21,387.00,346.00,40.07,126.28,1063.37,0.896,5.42,50.50,0.319
22,267.00,383.00,30.84,123.78,625.00,0.863,6.61,41.72,0.386
23,474.00,336.00,24.78,134.87,405.82,0.929,4.94,34.22,0.393
24,330.00,479.00,28.25,131.20,527.34,0.850,5.51,37.89,0.385
25,418.00,468.00,24.78,134.25,412.33,0.914,5.17,34.20,0.444
26,398.00,372.00,33.67,129.64,740.02,0.817,4.81,43.20,0.374
27,407.00,316.00,44.32,119.14,1302.08,0.771,5.17,54.66,0.624
28,384.00,185.00,50.69,116.73,1801.22,0.885,6.17,61.55,0.349
29,492.00,16.00,59.13,114.70,2473.96,0.876,6.18,69.73,0.361
30,366.00,42.00,44.32,120.90,1380.21,0.910,5.26,54.83,0.622
31,408.00,45.00,43.80,120.43,1328.12,0.931,5.47,53.12,0.320
32,349.00,226.00,48.59,118.08,1692.71,0.896,5.86,59.40,0.388
33,494.00,91.00,40.10,123.11,1128.47,0.899,6.11,50.86,0.361
34,442.00,17.00,43.44,121.92,1282.55,0.905,5.60,53.38,0.348
35,376.00,163.00,42.18,120.55,1302.08,0.912,6.03,53.46,0.391
36,366.00,21.00,39.14,125.13,1093.75,0.932,5.58,49.59,0.465
37,461.00,57.00,47.25,118.70,1536.46,0.860,5.42,56.98,0.411
38,425.00,27.00,34.89,128.79,835.50,0.922,4.98,43.80,0.304
39,442.00,233.00,48.39,118.82,1636.28,0.859,5.57,58.48,0.343
40,407.00,183.00,41.52,121.61,1236.98,0.923,5.79,52.03,0.328
