Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
0,410.0,450.0,0.0,26.1,5.33,28.31,-2.21,133.61,436.2,0.895,35.42,0.366,z13
1,343.0,473.0,0.0,26.24,5.2,29.83,-3.59,135.73,460.07,0.916,36.34,0.424,z15
2,150.0,350.0,0.0,61.54,4.03,61.99,-0.45,114.91,2690.97,0.859,123.33,0.51,z07
3,36.0,376.0,0.0,59.67,4.29,60.09,-0.42,111.99,2519.53,0.887,112.37,0.492,z09
4,347.0,345.0,0.0,24.63,5.47,31.89,-7.26,117.82,392.8,0.9,33.86,0.456,z15
6,335.0,385.0,0.0,31.0,5.32,35.7,-4.7,124.64,655.38,0.905,40.45,0.394,z15
7,428.0,320.0,0.0,40.32,5.0,43.51,-3.19,124.65,1080.73,0.885,49.43,0.366,z13
8,411.0,483.0,0.0,40.34,5.19,42.34,-2.0,123.75,980.9,0.752,50.51,0.294,z12
9,449.0,472.0,0.0,37.34,4.86,38.52,-1.18,123.49,913.63,0.818,45.93,0.341,z11
10,376.0,456.0,1.0,31.29,5.26,34.74,-3.45,127.52,661.89,0.86,41.67,0.408,z15
11,317.0,414.0,1.0,28.67,5.16,33.67,-5.0,131.92,581.6,0.878,38.9,0.319,z13
12,401.0,465.0,0.0,43.44,5.94,44.05,-0.61,119.47,1256.51,0.843,54.69,0.397,z09
13,354.0,460.0,0.0,36.77,5.84,38.38,-1.61,124.28,870.23,0.89,47.57,0.411,z15
14,395.0,416.0,0.0,42.11,4.85,43.4,-1.29,121.59,1089.41,0.845,50.99,0.36,z15
15,317.0,326.0,0.0,25.77,5.57,30.04,-4.27,136.25,451.39,0.898,36.49,0.44,z15
16,334.0,415.0,0.0,25.04,5.59,27.81,-2.77,135.93,421.01,0.892,35.62,0.429,z13
17,432.0,394.0,0.0,32.94,5.82,35.93,-2.99,127.29,755.21,0.853,44.59,0.333,z15
18,195.0,329.0,0.0,25.95,5.57,29.49,-3.54,130.79,449.22,0.846,36.25,0.642,z13
19,477.0,322.0,1.0,25.77,5.99,29.08,-3.31,131.86,431.86,0.886,37.2,0.417,z13
20,443.0,420.0,0.0,24.41,5.32,28.94,-4.53,140.47,397.14,0.909,34.76,0.411,z13
21,387.0,346.0,1.0,40.07,5.42,40.42,-0.35,126.28,1063.37,0.896,50.5,0.319,z11
22,267.0,383.0,0.0,30.84,6.61,33.11,-2.27,123.78,625.0,0.863,41.72,0.386,z13
23,474.0,336.0,0.0,24.78,4.94,27.33,-2.55,134.87,405.82,0.929,34.22,0.393,z12
24,330.0,479.0,0.0,28.25,5.51,30.82,-2.57,131.2,527.34,0.85,37.89,0.385,z13
25,418.0,468.0,0.0,24.78,5.17,27.8,-3.02,134.25,412.33,0.914,34.2,0.444,z13
26,398.0,372.0,1.0,33.67,4.81,34.99,-1.32,129.64,740.02,0.817,43.2,0.374,z13
27,407.0,316.0,1.0,44.32,5.17,47.0,-2.68,119.14,1302.08,0.771,54.66,0.624,z12
28,384.0,185.0,0.0,50.69,6.17,51.57,-0.88,116.73,1801.22,0.885,61.55,0.349,z12
29,492.0,16.0,0.0,59.13,6.18,60.47,-1.34,114.7,2473.96,0.876,69.73,0.361,z11
30,366.0,42.0,0.0,44.32,5.26,47.04,-2.72,120.9,1380.21,0.91,54.83,0.622,z11
31,408.0,45.0,0.0,43.8,5.47,46.26,-2.46,120.43,1328.12,0.931,53.12,0.32,z13
32,349.0,226.0,0.0,48.59,5.86,49.69,-1.1,118.08,1692.71,0.896,59.4,0.388,z15
33,494.0,91.0,1.0,40.1,6.11,41.64,-1.54,123.11,1128.47,0.899,50.86,0.361,z15
34,442.0,17.0,1.0,43.44,5.6,45.5,-2.06,121.92,1282.55,0.905,53.38,0.348,z15
35,376.0,163.0,0.0,42.18,6.03,44.97,-2.79,120.55,1302.08,0.912,53.46,0.391,z12
36,366.0,21.0,0.0,39.14,5.58,42.55,-3.41,125.13,1093.75,0.932,49.59,0.465,z13
37,461.0,57.0,0.0,47.25,5.42,48.16,-0.91,118.7,1536.46,0.86,56.98,0.411,z15
38,425.0,27.0,0.0,34.89,4.98,38.87,-3.98,128.79,835.5,0.922,43.8,0.304,z11
39,442.0,233.0,1.0,48.39,5.57,52.24,-3.85,118.82,1636.28,0.859,58.48,0.343,z13
40,407.0,183.0,1.0,41.52,5.79,46.12,-4.6,121.61,1236.98,0.923,52.03,0.328,z13
41,327.0,19.0,0.0,37.09,4.67,41.67,-4.58,127.0,933.16,0.843,45.99,0.375,z13
42,478.0,35.0,0.0,37.48,5.89,40.76,-3.28,124.29,976.56,0.856,48.84,0.39,z11
43,345.0,114.0,1.0,48.51,5.51,53.5,-4.99,118.61,1638.45,0.923,58.09,0.355,z13
44,407.0,266.0,0.0,31.84,5.53,32.81,-0.97,134.11,666.23,0.897,42.18,0.416,z11
45,382.0,91.0,0.0,40.11,6.22,41.3,-1.19,123.01,1143.66,0.87,51.58,0.392,z12
46,467.0,239.0,0.0,43.38,5.74,47.96,-4.58,122.32,1299.91,0.872,54.66,0.343,z12
47,453.0,178.0,1.0,40.72,5.05,43.25,-2.53,123.07,1165.36,0.911,50.83,0.672,z11
48,353.0,204.0,1.0,35.61,5.58,38.48,-2.87,128.42,837.67,0.849,45.89,0.368,z15
49,445.0,159.0,0.0,41.9,6.27,44.02,-2.12,122.76,1195.75,0.853,53.2,0.374,z13
50,374.0,429.0,0.0,29.36,5.43,32.34,-2.98,132.08,590.28,0.891,39.8,0.346,z13
51,451.0,455.0,0.0,29.26,5.19,32.61,-3.35,131.37,590.28,0.926,39.46,0.399,z13
52,382.0,389.0,0.0,57.43,5.6,59.13,-1.7,116.03,2302.52,0.757,68.26,0.317,z09
53,430.0,477.0,0.0,36.12,6.08,38.44,-2.32,123.87,870.23,0.863,47.53,0.365,z15
54,335.0,495.0,1.0,37.75,6.31,39.71,-1.96,122.0,1011.28,0.887,49.14,0.352,z12
55,413.0,351.0,0.0,39.11,5.01,40.93,-1.82,125.27,920.14,0.784,48.36,0.385,z15
56,437.0,339.0,1.0,47.74,5.67,48.93,-1.19,119.49,1410.59,0.815,57.94,0.33,z12
57,477.0,401.0,0.0,31.29,5.58,34.35,-3.06,128.99,640.19,0.861,41.67,0.356,z13
58,466.0,464.0,1.0,34.59,6.0,36.51,-1.92,125.61,826.82,0.884,45.87,0.389,z12
59,390.0,444.0,1.41,45.6,6.09,47.75,-2.15,118.75,1330.3,0.82,56.87,0.393,z15
60,430.0,431.0,0.0,38.85,5.81,39.33,-0.48,121.67,1032.99,0.88,49.67,0.362,z09
61,442.0,41.0,0.0,53.55,6.12,55.14,-1.59,115.62,2035.59,0.903,63.76,0.397,z11
62,342.0,248.0,0.0,44.33,5.96,46.51,-2.18,120.58,1414.93,0.91,55.35,0.373,z13
63,426.0,61.0,0.0,52.29,5.59,54.11,-1.82,116.85,1918.4,0.895,61.93,0.372,z12
64,363.0,100.0,0.0,44.04,5.47,45.29,-1.25,121.02,1375.87,0.907,54.09,0.365,z13
65,283.0,379.0,1.0,38.26,5.99,40.78,-2.52,125.72,1002.6,0.905,49.11,0.351,z13
