Center_X_px,Center_Y_px,Diameter_μm,slide
55.0,88.0,100.89,z08
196.0,89.0,65.39,z12
39.0,278.0,64.68,z13
156.0,140.0,63.07,z07
265.0,424.0,62.77,z08
111.0,379.0,62.54,z13
68.0,50.0,62.25,z11
150.0,350.0,61.99,z07
140.0,466.0,61.32,z11
364.0,133.0,60.92,z08
492.0,16.0,60.47,z11
256.0,195.0,60.09,z13
36.0,376.0,60.09,z09
123.0,433.0,59.89,z08
352.0,312.0,59.8,z11
435.0,87.0,59.74,z08
80.0,271.0,59.66,z13
465.0,125.0,59.56,z07
132.0,495.0,59.15,z13
382.0,389.0,59.13,z09
113.0,407.0,58.71,z07
130.0,277.0,58.22,z12
261.0,168.0,57.62,z15
292.0,157.0,57.49,z13
206.0,458.0,57.47,z11
154.0,322.0,57.44,z12
259.0,35.0,57.32,z08
59.0,345.0,56.97,z11
84.0,327.0,56.19,z12
388.0,30.0,55.69,z07
407.0,149.0,55.36,z11
267.0,246.0,55.31,z09
151.0,211.0,55.24,z11
442.0,41.0,55.14,z11
168.0,25.0,55.07,z12
123.0,354.0,54.95,z11
224.0,327.0,54.8,z11
355.0,434.0,54.71,z08
458.0,325.0,54.38,z13
157.0,271.0,54.3,z13
426.0,61.0,54.11,z12
321.0,282.0,54.07,z13
411.0,389.0,54.07,z12
172.0,185.0,54.07,z12
204.0,367.0,54.05,z13
238.0,49.0,54.04,z15
303.0,60.0,53.92,z15
463.0,351.0,53.92,z07
429.0,177.0,53.85,z11
315.0,457.0,53.64,z15
281.0,402.0,53.54,z12
345.0,115.0,53.5,z13
97.0,355.0,53.28,z15
20.0,97.0,53.28,z15
317.0,38.0,52.74,z15
344.0,33.0,52.53,z15
151.0,432.0,52.46,z11
110.0,236.0,52.38,z11
442.0,234.0,52.24,z13
58.0,258.0,52.21,z15
31.0,147.0,51.91,z11
188.0,166.0,51.86,z12
140.0,252.0,51.58,z13
23.0,400.0,51.58,z15
384.0,185.0,51.57,z12
291.0,84.0,51.5,z15
133.0,229.0,51.31,z11
99.0,214.0,51.28,z13
362.0,276.0,51.26,z07
282.0,107.0,50.87,z12
296.0,195.0,50.86,z13
207.0,243.0,50.69,z15
177.0,124.0,50.43,z15
243.0,358.0,50.39,z11
244.0,148.0,50.39,z15
344.0,293.0,50.39,z13
242.0,308.0,50.38,z12
307.0,217.0,49.99,z09
459.0,408.0,49.98,z13
84.0,376.0,49.96,z12
90.0,148.0,49.96,z11
161.0,297.0,49.89,z11
309.0,433.0,49.87,z13
204.0,394.0,49.84,z15
326.0,100.0,49.73,z11
248.0,262.0,49.73,z15
349.0,226.0,49.69,z15
194.0,223.0,49.68,z12
432.0,456.0,49.67,z12
148.0,38.0,49.61,z15
470.0,150.0,49.25,z11
83.0,197.0,49.05,z15
276.0,330.0,49.05,z12
437.0,340.0,48.93,z12
365.0,77.0,48.92,z15
37.0,221.0,48.88,z12
175.0,462.0,48.87,z15
150.0,391.0,48.85,z11
420.0,239.0,48.77,z09
335.0,56.0,48.64,z15
16.0,210.0,48.59,z13
24.0,121.0,48.5,z11
20.0,35.0,48.5,z15
233.0,464.0,48.46,z11
157.0,166.0,48.43,z15
202.0,498.0,48.32,z08
461.0,57.0,48.16,z15
495.0,437.0,48.07,z09
380.0,113.0,48.05,z12
138.0,412.0,48.04,z15
245.0,235.0,48.03,z11
60.0,319.0,47.97,z12
467.0,239.0,47.96,z12
110.0,332.0,47.84,z13
391.0,445.0,47.75,z15
315.0,81.0,47.51,z15
35.0,351.0,47.36,z13
286.0,228.0,47.3,z13
20.0,297.0,47.23,z13
343.0,362.0,47.23,z15
499.0,56.0,47.2,z13
84.0,419.0,47.12,z15
332.0,151.0,47.09,z11
366.0,42.0,47.04,z11
344.0,88.0,47.0,z12
407.0,315.0,47.0,z12
84.0,474.0,47.0,z11
182.0,243.0,46.99,z12
212.0,266.0,46.93,z11
87.0,73.0,46.89,z11
131.0,134.0,46.87,z15
289.0,13.0,46.84,z15
367.0,354.0,46.84,z11
430.0,115.0,46.84,z15
259.0,484.0,46.84,z11
310.0,175.0,46.82,z15
55.0,125.0,46.82,z15
497.0,367.0,46.78,z12
389.0,135.0,46.63,z13
299.0,324.0,46.61,z15
105.0,24.0,46.58,z12
269.0,271.0,46.52,z12
342.0,248.0,46.51,z13
353.0,410.0,46.43,z09
136.0,374.0,46.33,z12
90.0,398.0,46.27,z11
109.0,492.0,46.26,z13
408.0,45.0,46.26,z13
219.0,412.0,46.26,z12
186.0,64.0,46.23,z11
486.0,348.0,46.13,z12
407.0,184.0,46.12,z13
361.0,376.0,46.08,z11
320.0,197.0,46.05,z13
208.0,28.0,46.05,z15
61.0,416.0,46.02,z12
445.0,305.0,45.88,z12
39.0,11.0,45.84,z02
451.0,386.0,45.82,z15
219.0,303.0,45.81,z11
293.0,466.0,45.74,z13
175.0,334.0,45.74,z15
112.0,293.0,45.72,z11
229.0,251.0,45.72,z12
280.0,55.0,45.69,z15
61.0,370.0,45.6,z13
443.0,17.0,45.5,z15
251.0,284.0,45.49,z12
190.0,142.0,45.33,z15
363.0,100.0,45.29,z13
431.0,375.0,45.27,z11
84.0,16.0,45.18,z15
231.0,26.0,45.1,z15
418.0,412.0,45.1,z15
204.0,203.0,45.07,z13
282.0,288.0,45.07,z11
243.0,103.0,44.98,z15
376.0,163.0,44.97,z12
259.0,58.0,44.88,z09
363.0,253.0,44.87,z12
65.0,465.0,44.86,z15
224.0,194.0,44.84,z13
122.0,313.0,44.79,z11
43.0,303.0,44.77,z15
21.0,236.0,44.76,z15
136.0,155.0,44.75,z15
239.0,178.0,44.75,z15
303.0,370.0,44.75,z12
311.0,350.0,44.68,z13
499.0,198.0,44.64,z01
283.0,33.0,44.59,z13
461.0,493.0,44.59,z01
132.0,332.0,44.59,z12
247.0,381.0,44.57,z12
247.0,334.0,44.56,z12
90.0,294.0,44.46,z11
65.0,234.0,44.39,z13
263.0,348.0,44.37,z11
277.0,208.0,44.36,z13
16.0,13.0,44.2,z15
490.0,415.0,44.2,z15
382.0,221.0,44.15,z15
499.0,235.0,44.11,z15
109.0,71.0,44.07,z15
401.0,465.0,44.05,z09
445.0,159.0,44.02,z13
77.0,439.0,44.02,z13
337.0,449.0,44.02,z13
177.0,282.0,44.0,z11
226.0,443.0,43.97,z13
172.0,422.0,43.95,z13
215.0,48.0,43.95,z13
40.0,330.0,43.95,z11
471.0,306.0,43.8,z13
154.0,60.0,43.8,z11
306.0,264.0,43.69,z13
26.0,175.0,43.66,z11
232.0,214.0,43.59,z09
354.0,487.0,43.55,z09
424.0,296.0,43.54,z15
19.0,336.0,43.54,z11
400.0,228.0,43.53,z11
428.0,320.0,43.51,z13
491.0,281.0,43.44,z12
395.0,416.0,43.4,z15
103.0,188.0,43.4,z13
363.0,332.0,43.38,z11
172.0,221.0,43.37,z12
161.0,479.0,43.3,z11
411.0,433.0,43.28,z12
170.0,46.0,43.25,z15
453.0,179.0,43.25,z11
304.0,102.0,43.16,z12
116.0,257.0,43.13,z12
27.0,472.0,43.1,z15
258.0,400.0,43.05,z11
282.0,178.0,43.05,z15
469.0,100.0,42.98,z13
30.0,447.0,42.96,z13
302.0,123.0,42.95,z15
460.0,219.0,42.95,z15
441.0,284.0,42.94,z12
