Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,467.00,239.00,42.99,125.22,1284.72,0.900
1,366.00,21.00,38.25,129.73,1050.35,0.895
2,376.00,163.00,42.18,124.88,1260.85,0.900
3,327.00,19.00,36.04,132.50,896.27,0.889
4,494.00,91.00,38.81,128.78,1074.22,0.873
5,442.00,233.00,47.92,121.70,1603.73,0.855
6,425.00,27.00,34.49,133.56,824.65,0.932
7,382.00,91.00,39.39,129.67,1078.56,0.901
8,424.00,134.00,34.69,132.74,822.48,0.908
9,320.00,197.00,45.12,122.51,1406.25,0.873
10,388.00,30.00,55.69,118.54,2180.99,0.867
11,499.00,234.00,41.84,125.73,1221.79,0.895
12,331.00,151.00,43.65,123.83,1362.85,0.876
13,478.00,35.00,37.10,130.02,939.67,0.866
14,445.00,159.00,41.20,126.36,1178.39,0.896
15,413.00,83.00,32.61,134.35,742.19,0.909
16,363.00,252.00,40.13,125.65,1137.15,0.906
17,469.00,100.00,39.73,128.08,1098.09,0.899
18,407.00,266.00,31.00,138.30,651.04,0.899
19,344.00,89.00,40.33,127.91,1113.28,0.870
20,353.00,205.00,34.92,131.30,828.99,0.840
21,442.00,41.00,52.81,118.08,1996.53,0.905
22,150.00,350.00,61.99,116.53,2682.29,0.856
23,75.00,360.00,25.90,120.05,425.35,0.862
24,426.00,61.00,51.45,120.57,1857.64,0.904
25,419.00,239.00,45.41,123.75,1460.50,0.900
26,342.00,248.00,44.20,122.95,1395.40,0.913
27,349.00,225.00,47.95,120.76,1664.50,0.896
28,492.00,16.00,58.98,117.31,2445.75,0.877
29,363.00,100.00,43.72,125.21,1343.32,0.901
30,408.00,45.00,42.18,124.18,1302.08,0.912
31,345.00,114.00,48.05,121.33,1625.43,0.915
32,407.00,183.00,41.20,125.26,1206.60,0.901
33,366.00,42.00,43.53,124.69,1345.49,0.887
34,443.00,17.00,42.48,125.94,1258.68,0.905
35,384.00,185.00,49.26,120.80,1718.75,0.863
36,461.00,57.00,46.69,122.44,1488.72,0.852
37,362.00,276.00,49.60,122.93,1664.50,0.887
38,400.00,227.00,40.95,127.64,1156.68,0.880
39,335.00,56.00,47.60,122.07,1514.76,0.839
40,442.00,210.00,36.98,130.17,881.08,0.866
41,483.00,70.00,36.80,128.40,963.54,0.881
42,395.00,167.00,31.86,134.94,690.10,0.875
43,357.00,169.00,33.70,133.33,779.08,0.901
44,478.00,266.00,36.11,131.71,920.14,0.904
45,424.00,296.00,41.64,123.86,1158.85,0.888
46,458.00,28.00,27.80,140.53,542.53,0.899
47,435.00,87.00,59.24,117.78,2213.54,0.764
48,466.00,76.00,29.64,137.43,605.47,0.890
49,408.00,123.00,38.53,127.91,926.65,0.806
50,383.00,51.00,29.78,138.84,609.81,0.896
51,381.00,220.00,38.72,127.93,989.58,0.868
52,315.00,81.00,43.44,125.61,1265.19,0.870
53,343.00,293.00,47.21,124.42,1551.65,0.882
54,378.00,290.00,33.61,135.03,757.38,0.905
55,472.00,306.00,40.85,124.83,1206.60,0.901
56,460.00,272.00,36.66,128.42,920.14,0.866
57,497.00,262.00,34.36,131.36,828.99,0.867
58,361.00,187.00,36.04,131.91,874.57,0.894
59,339.00,192.00,34.17,133.38,813.80,0.870
60,453.00,179.00,40.16,127.49,1137.15,0.906
61,459.00,219.00,41.13,126.82,1171.88,0.875
62,480.00,171.00,36.89,127.87,924.48,0.897
63,389.00,135.00,41.59,125.41,1204.43,0.859
64,390.00,305.00,36.52,129.67,946.18,0.918
65,491.00,281.00,41.63,123.43,1247.83,0.890
66,417.00,99.00,30.76,137.05,622.83,0.915
67,480.00,53.00,28.84,138.43,581.60,0.878
68,407.00,67.00,28.71,137.65,559.90,0.878
69,485.00,248.00,32.94,132.45,787.76,0.911
70,327.00,229.00,40.86,132.51,1106.77,0.906
71,408.00,149.00,52.61,118.78,1890.19,0.844
72,388.00,71.00,38.25,126.49,1032.99,0.880
73,380.00,113.00,45.99,122.01,1369.36,0.836
74,429.00,177.00,52.72,118.59,1892.36,0.800
75,400.00,100.00,34.83,131.68,855.03,0.866
76,364.00,133.00,59.91,116.94,2428.39,0.819
77,320.00,249.00,39.59,129.24,1106.77,0.906
78,262.00,316.00,35.31,132.83,837.67,0.876
79,170.00,400.00,39.64,127.58,1102.43,0.878
80,140.00,466.00,60.77,116.97,2526.04,0.820
81,216.00,348.00,36.67,130.93,913.63,0.879
82,296.00,448.00,30.18,134.13,620.66,0.827
83,101.00,465.00,36.45,127.07,944.01,0.908
84,188.00,444.00,36.48,129.84,896.27,0.862
85,60.00,447.00,30.76,134.53,655.38,0.938
86,25.00,317.00,35.05,126.08,855.03,0.894
87,283.00,379.00,37.29,131.20,965.71,0.890
88,172.00,422.00,42.18,124.55,1217.45,0.838
89,185.00,316.00,36.39,129.93,878.91,0.871
90,197.00,411.00,28.63,136.00,557.73,0.865
91,67.00,396.00,38.78,121.78,1063.37,0.906
92,65.00,465.00,41.04,122.73,1193.58,0.868
93,292.00,354.00,28.56,140.34,536.02,0.899
94,77.00,440.00,40.25,125.18,1082.90,0.773
95,253.00,465.00,32.94,131.16,757.38,0.876
96,25.00,427.00,35.71,125.74,885.42,0.926
97,302.00,370.00,42.92,125.09,1245.66,0.873
98,203.00,316.00,35.13,130.35,868.06,0.880
99,122.00,313.00,42.18,124.02,1245.66,0.873
100,263.00,348.00,41.73,125.05,1221.79,0.872
101,174.00,354.00,35.88,129.38,896.27,0.889
102,247.00,381.00,42.18,123.43,1256.51,0.897
103,46.00,399.00,39.82,123.10,1108.94,0.867
104,151.00,433.00,51.82,118.64,1920.57,0.883
105,259.00,485.00,45.03,123.01,1430.12,0.882
106,19.00,336.00,40.67,120.19,1156.68,0.904
107,247.00,333.00,43.04,126.19,1232.64,0.864
108,14.00,458.00,35.05,124.80,868.06,0.907
109,175.00,334.00,42.18,125.02,1250.00,0.876
110,243.00,432.00,32.05,134.86,711.81,0.902
111,156.00,497.00,37.27,129.11,954.86,0.899
112,199.00,347.00,29.30,138.45,588.11,0.912
113,274.00,461.00,33.59,132.09,766.06,0.886
114,238.00,491.00,39.00,126.37,1074.22,0.873
115,40.00,330.00,41.06,122.66,1163.19,0.868
116,117.00,456.00,36.83,128.57,937.50,0.883
117,158.00,452.00,30.26,137.37,633.68,0.907
118,186.00,382.00,36.39,130.47,913.63,0.879
119,97.00,355.00,48.91,118.72,1595.05,0.813
120,132.00,494.00,58.60,115.82,2411.02,0.915
121,294.00,418.00,30.13,132.85,585.94,0.839
122,41.00,418.00,32.05,130.04,716.15,0.908
123,129.00,393.00,31.75,133.69,672.74,0.929
124,261.00,367.00,32.76,131.08,735.68,0.879
125,314.00,478.00,32.86,127.05,724.83,0.887
126,228.00,426.00,24.30,143.52,384.11,0.922
127,206.00,423.00,24.39,142.10,394.97,0.935
128,282.00,494.00,31.16,133.56,672.74,0.896
129,84.00,458.00,31.01,130.80,661.89,0.860
130,191.00,426.00,31.86,131.08,644.53,0.837
131,84.00,474.00,44.19,119.82,881.08,0.764
132,80.00,347.00,27.95,132.31,518.66,0.850
133,36.00,376.00,59.45,114.28,2532.55,0.892
134,282.00,106.00,48.24,119.54,1688.37,0.894
135,266.00,383.00,29.13,133.64,572.92,0.898
136,175.00,487.00,23.13,139.66,364.58,0.863
137,203.00,437.00,28.98,138.16,562.07,0.906
138,101.00,446.00,35.27,129.51,868.06,0.880
139,204.00,393.00,49.40,119.39,1529.95,0.780
140,154.00,373.00,27.36,139.07,514.32,0.913
141,46.00,435.00,36.45,126.50,891.93,0.884
142,17.00,361.00,34.10,124.33,807.29,0.912
143,45.00,461.00,36.92,124.86,972.22,0.915
144,232.00,464.00,46.26,123.23,1378.04,0.821
145,27.00,472.00,38.29,123.58,941.84,0.876
146,278.00,478.00,31.36,135.49,657.55,0.854
147,278.00,361.00,32.94,131.94,729.17,0.893
148,318.00,39.00,50.56,121.19,1684.03,0.820
149,187.00,400.00,25.17,142.33,434.03,0.919
150,224.00,364.00,27.92,135.87,533.85,0.885
151,243.00,448.00,28.49,138.25,546.88,0.906
152,300.00,390.00,32.13,132.02,687.93,0.851
153,195.00,330.00,24.30,142.79,394.97,0.917
154,299.00,487.00,33.39,132.92,783.42,0.906
155,113.00,408.00,55.80,116.74,2183.16,0.787
156,302.00,405.00,25.43,143.54,410.16,0.842
157,466.00,464.00,33.91,131.58,779.08,0.872
158,411.00,433.00,40.33,123.62,1126.30,0.825
159,473.00,424.00,33.73,133.69,798.61,0.902
160,468.00,445.00,34.96,129.48,850.69,0.889
161,318.00,385.00,35.06,133.35,852.86,0.883
162,430.00,431.00,38.56,126.74,989.58,0.893
163,437.00,339.00,47.24,122.26,1373.70,0.800
164,374.00,428.00,28.94,137.42,566.41,0.913
165,395.00,415.00,41.86,124.28,1069.88,0.836
166,372.00,474.00,37.67,126.72,974.39,0.872
167,413.00,351.00,38.34,129.33,896.27,0.802
168,456.00,430.00,34.83,130.99,850.69,0.862
169,432.00,394.00,32.82,130.29,750.87,0.889
170,451.00,455.00,29.10,136.56,568.58,0.892
171,390.00,444.00,45.80,122.40,1321.61,0.807
172,430.00,477.00,35.45,130.02,822.48,0.879
173,496.00,396.00,32.81,133.58,705.30,0.872
174,387.00,346.00,39.75,129.05,1080.73,0.861
175,376.00,457.00,30.10,133.10,620.66,0.857
176,317.00,326.00,25.70,142.36,434.03,0.864
177,428.00,320.00,39.53,127.22,1089.41,0.892
178,354.00,460.00,35.05,129.57,839.84,0.898
179,477.00,401.00,30.76,136.83,601.13,0.883
180,443.00,359.00,31.15,135.68,659.72,0.911
181,497.00,367.00,45.42,122.54,1423.61,0.863
182,483.00,383.00,37.67,127.59,996.09,0.892
183,484.00,457.00,40.11,126.64,1124.13,0.885
184,354.00,487.00,42.95,123.26,1286.89,0.885
185,432.00,456.00,48.49,122.07,1482.20,0.863
186,327.00,401.00,34.94,130.43,855.03,0.894
187,414.00,368.00,28.34,138.03,551.22,0.864
188,495.00,437.00,47.06,122.45,1553.82,0.869
189,351.00,314.00,45.55,114.96,1319.44,0.800
190,334.00,415.00,24.32,144.71,392.80,0.900
191,361.00,376.00,42.70,125.11,1245.66,0.873
192,431.00,375.00,41.07,125.81,1171.88,0.898
