Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,428.00,320.00,19.86,118.05,242.50,0.822
1,418.00,468.00,12.26,125.18,99.50,0.886
2,367.00,354.00,22.87,118.49,330.00,0.820
3,399.00,372.00,16.47,122.74,171.00,0.838
4,351.00,314.00,21.83,109.97,308.00,0.810
5,444.00,442.00,13.05,125.39,105.00,0.907
6,343.00,473.00,13.20,123.05,114.50,0.882
7,376.00,457.00,15.34,119.60,154.00,0.877
8,346.00,345.00,12.60,102.13,107.00,0.885
9,407.00,316.00,21.59,115.33,294.50,0.788
10,374.00,442.00,11.50,127.49,83.50,0.870
11,417.00,333.00,14.32,125.14,135.00,0.919
12,410.00,450.00,12.49,125.42,102.00,0.881
13,330.00,479.00,13.98,119.35,135.00,0.884
14,150.00,391.00,23.47,115.28,391.00,0.879
15,413.00,351.00,19.24,118.83,222.50,0.785
16,382.00,389.00,28.44,111.43,550.00,0.762
17,267.00,383.00,14.68,119.30,142.00,0.851
18,61.00,417.00,20.66,110.51,288.50,0.849
19,175.00,488.00,11.49,126.15,85.50,0.891
20,349.00,393.00,15.73,108.62,133.00,0.758
21,443.00,421.00,12.21,129.81,93.50,0.871
22,277.00,446.00,11.57,125.48,90.00,0.925
23,477.00,322.00,12.64,120.56,104.00,0.898
24,474.00,336.00,12.26,123.85,99.50,0.886
25,425.00,27.00,17.49,119.52,204.00,0.886
26,339.00,192.00,17.18,120.59,205.00,0.902
27,478.00,35.00,18.60,117.73,234.50,0.875
28,327.00,18.00,18.36,118.51,234.00,0.866
29,461.00,57.00,22.97,114.13,364.00,0.864
30,400.00,100.00,17.63,117.08,217.00,0.887
31,384.00,185.00,24.51,113.01,418.00,0.865
32,336.00,210.00,17.34,111.88,209.00,0.891
33,445.00,159.00,20.31,116.88,281.50,0.872
34,499.00,234.00,20.60,116.09,298.00,0.906
35,480.00,53.00,14.95,121.95,152.00,0.879
36,424.00,134.00,17.55,118.19,211.00,0.862
37,388.00,71.00,19.05,116.11,252.00,0.871
38,389.00,135.00,20.68,114.88,301.00,0.892
39,390.00,305.00,18.37,117.48,234.50,0.911
40,407.00,266.00,15.71,126.09,157.00,0.894
41,408.00,149.00,25.63,112.66,447.00,0.820
42,469.00,100.00,19.42,116.83,267.50,0.883
43,361.00,187.00,18.05,118.93,219.50,0.853
44,344.00,89.00,19.91,117.02,270.50,0.860
45,363.00,100.00,21.27,115.75,321.00,0.918
46,401.00,465.00,21.13,115.42,288.00,0.845
47,432.00,394.00,16.39,120.24,182.00,0.864
48,395.00,416.00,20.52,116.08,259.00,0.839
49,317.00,326.00,12.89,124.60,115.50,0.890
50,390.00,444.00,22.21,113.50,315.50,0.797
51,366.00,42.00,21.63,115.38,326.00,0.910
52,342.00,248.00,21.58,115.06,331.00,0.901
53,118.00,476.00,18.92,115.84,246.00,0.851
54,407.00,183.00,20.28,116.36,288.50,0.894
55,492.00,16.00,28.71,111.13,575.00,0.861
56,442.00,41.00,25.87,112.59,467.50,0.888
57,408.00,45.00,21.40,114.09,316.50,0.889
58,495.00,91.00,19.36,116.19,266.50,0.904
59,376.00,163.00,21.14,115.09,304.50,0.909
60,366.00,20.00,19.72,116.49,272.00,0.881
61,426.00,61.00,25.47,112.58,457.00,0.880
62,382.00,91.00,19.80,115.72,277.00,0.897
63,349.00,226.00,23.48,114.53,387.00,0.890
64,443.00,17.00,20.82,117.16,296.50,0.908
65,154.00,373.00,13.96,123.67,132.00,0.898
66,158.00,452.00,15.49,121.87,165.00,0.877
67,151.00,433.00,25.22,111.74,451.50,0.882
68,140.00,466.00,29.40,112.00,585.50,0.787
69,77.00,440.00,20.04,114.37,263.50,0.838
70,41.00,330.00,20.81,112.35,289.00,0.848
71,262.00,316.00,18.39,117.85,222.50,0.890
72,117.00,456.00,18.54,117.71,231.00,0.855
73,123.00,433.00,28.09,110.66,539.00,0.813
74,292.00,354.00,14.50,121.51,141.00,0.876
75,175.00,334.00,20.96,114.78,303.00,0.867
76,19.00,336.00,20.63,108.62,292.00,0.888
77,237.00,399.00,19.86,115.48,270.00,0.852
78,274.00,461.00,16.92,117.59,199.00,0.903
79,132.00,495.00,28.13,110.31,563.00,0.881
80,185.00,316.00,18.30,117.86,213.50,0.796
81,204.00,394.00,23.82,113.41,358.50,0.811
82,293.00,467.00,21.27,114.06,326.00,0.910
83,302.00,370.00,20.82,115.95,292.00,0.856
84,186.00,382.00,18.57,116.65,231.50,0.889
85,60.00,318.00,22.39,111.86,346.00,0.860
86,203.00,315.00,17.89,117.81,212.00,0.893
87,224.00,327.00,26.33,113.02,457.50,0.759
88,176.00,463.00,23.16,113.71,376.00,0.864
89,45.00,461.00,19.24,110.07,259.00,0.896
90,243.00,432.00,16.48,118.33,189.50,0.879
91,248.00,334.00,21.19,115.41,306.00,0.875
92,154.00,322.00,25.96,112.14,486.00,0.874
93,25.00,427.00,18.16,111.22,228.00,0.893
94,136.00,373.00,21.19,114.09,319.00,0.890
95,59.00,346.00,27.20,108.12,529.00,0.907
96,261.00,448.00,18.88,117.13,244.50,0.887
97,204.00,367.00,25.61,111.76,453.50,0.861
98,297.00,448.00,15.62,119.33,164.00,0.902
99,258.00,400.00,20.24,117.62,269.50,0.857
100,199.00,347.00,14.77,121.43,150.00,0.932
101,283.00,379.00,18.79,119.31,240.50,0.897
102,259.00,484.00,22.47,113.78,345.50,0.873
103,172.00,422.00,21.03,115.34,292.50,0.852
104,311.00,350.00,21.30,116.07,294.00,0.800
105,286.00,434.00,16.62,118.85,190.00,0.862
106,219.00,412.00,21.87,114.15,329.50,0.903
107,278.00,361.00,16.41,120.83,177.50,0.879
108,122.00,313.00,21.55,112.79,313.50,0.881
109,187.00,400.00,12.69,125.50,104.00,0.898
110,27.00,472.00,20.04,109.44,251.00,0.835
111,228.00,427.00,12.17,124.93,95.50,0.851
112,207.00,336.00,11.52,130.56,83.50,0.870
113,227.00,380.00,18.97,114.11,238.50,0.841
114,195.00,330.00,12.40,125.31,101.00,0.888
115,294.00,418.00,15.02,121.54,144.50,0.908
116,129.00,394.00,15.93,120.60,172.50,0.895
117,300.00,390.00,16.55,121.31,169.50,0.812
118,302.00,406.00,12.40,126.75,103.00,0.890
119,290.00,341.00,11.52,127.90,86.00,0.867
120,206.00,423.00,12.33,126.18,98.50,0.878
121,191.00,426.00,15.93,119.33,156.00,0.829
122,278.00,478.00,15.83,119.50,172.50,0.895
123,84.00,458.00,15.87,115.69,173.50,0.900
124,282.00,494.00,15.96,117.72,174.50,0.905
125,170.00,400.00,19.82,114.77,276.00,0.871
126,224.00,364.00,14.05,122.03,134.00,0.912
127,253.00,465.00,16.80,118.93,182.50,0.847
128,197.00,411.00,14.69,121.10,143.00,0.857
129,41.00,418.00,16.41,115.21,184.00,0.902
130,186.00,366.00,11.66,127.60,86.50,0.901
131,156.00,498.00,18.91,115.13,249.00,0.895
132,281.00,402.00,25.24,113.78,422.50,0.770
133,480.00,171.00,18.45,118.08,223.50,0.894
134,299.00,487.00,17.11,116.97,200.50,0.890
135,203.00,438.00,14.81,121.60,143.00,0.857
136,314.00,478.00,16.42,114.50,180.50,0.865
137,243.00,448.00,14.49,121.62,142.00,0.930
138,187.00,444.00,18.46,117.91,221.50,0.826
139,17.00,361.00,17.49,111.82,194.00,0.880
140,80.00,347.00,14.22,117.32,134.50,0.891
141,261.00,367.00,16.55,118.79,182.50,0.874
142,372.00,475.00,18.54,116.30,235.50,0.854
143,349.00,148.00,12.94,123.81,111.00,0.881
144,483.00,233.00,11.71,117.50,90.00,0.866
145,476.00,221.00,11.68,106.72,89.50,0.890
146,431.00,269.00,13.32,123.34,116.50,0.848
147,489.00,221.00,12.08,119.87,91.50,0.909
148,495.00,437.00,22.87,114.83,367.50,0.898
149,387.00,252.00,13.05,107.90,105.00,0.869
150,473.00,424.00,17.03,119.85,197.00,0.894
151,484.00,457.00,20.13,115.78,281.50,0.895
152,431.00,375.00,20.66,115.29,289.00,0.879
153,466.00,464.00,17.38,117.42,200.00,0.853
154,374.00,429.00,14.86,122.94,144.50,0.922
155,328.00,338.00,18.16,118.02,220.00,0.837
156,387.00,346.00,19.47,120.70,248.00,0.882
157,451.00,386.00,22.20,114.29,317.50,0.821
158,450.00,455.00,14.67,121.74,144.00,0.895
159,410.00,213.00,12.28,107.29,102.00,0.881
160,366.00,42.00,22.37,116.08,342.50,0.845
161,430.00,477.00,17.92,115.82,215.50,0.899
162,459.00,325.00,25.13,113.24,426.50,0.851
163,341.00,134.00,15.35,123.11,156.00,0.858
164,331.00,264.00,17.46,110.99,174.00,0.800
165,482.00,208.00,14.45,122.62,136.50,0.839
166,502.00,119.00,12.69,122.87,110.00,0.910
167,387.00,325.00,19.47,118.55,244.00,0.844
168,322.00,366.00,17.74,116.94,208.00,0.876
169,362.00,394.00,13.90,126.29,125.50,0.878
170,441.00,284.00,19.64,117.77,249.00,0.786
171,405.00,298.00,14.84,123.41,150.00,0.899
172,449.00,472.00,18.32,115.82,222.00,0.845
173,419.00,412.00,21.81,115.99,304.50,0.788
174,443.00,359.00,16.03,121.54,163.50,0.848
175,396.00,57.00,11.91,125.27,96.00,0.883
176,430.00,431.00,18.82,116.35,238.50,0.841
177,384.00,204.00,12.69,125.83,101.50,0.904
178,226.00,66.00,18.01,120.77,215.50,0.888
179,477.00,401.00,15.46,119.05,157.00,0.864
180,403.00,250.00,15.37,111.17,156.00,0.858
181,317.00,414.00,14.69,120.35,147.00,0.881
182,490.00,414.00,19.94,117.65,270.50,0.860
183,437.00,339.00,23.03,113.32,336.50,0.812
184,335.00,385.00,15.48,117.55,159.00,0.875
185,353.00,410.00,22.44,114.53,330.00,0.801
186,463.00,351.00,25.48,113.89,439.50,0.801
187,344.00,330.00,15.81,117.33,173.50,0.871
188,492.00,328.00,17.84,120.20,218.50,0.874
