Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
0,235.00,486.00,25.45,132.24,440.54,0.904,1.64,28.05,0.542
1,224.00,424.00,29.37,126.80,572.92,0.865,1.62,31.36,0.582
2,299.00,489.00,41.73,119.94,1117.62,0.819,1.73,44.14,0.538
3,287.00,460.00,26.22,131.52,457.90,0.900,1.47,28.73,0.560
4,44.00,387.00,28.34,123.60,527.34,0.884,2.09,30.85,0.692
5,159.00,408.00,29.38,127.68,577.26,0.905,1.45,31.95,0.604
6,189.00,379.00,24.46,130.05,390.62,0.827,1.51,26.78,0.604
7,148.00,489.00,27.27,129.21,503.47,0.868,1.68,30.05,0.588
8,57.00,472.00,45.59,113.47,1282.55,0.851,2.42,48.05,0.805
9,291.00,473.00,25.13,134.95,423.18,0.869,1.47,28.04,0.511
10,405.00,479.00,42.55,117.73,1187.07,0.817,1.65,45.30,0.637
11,439.00,199.00,27.99,117.21,507.81,0.912,2.18,30.81,0.700
12,124.00,362.00,41.32,114.98,1161.02,0.850,1.95,43.44,0.615
13,417.00,328.00,38.66,121.58,1013.45,0.871,1.65,40.85,0.625
14,51.00,356.00,32.12,118.01,709.64,0.922,1.61,33.73,0.667
15,93.00,398.00,30.56,122.46,629.34,0.869,1.78,33.03,0.724
16,53.00,409.00,23.44,128.24,364.58,0.906,1.56,25.77,0.705
17,151.00,472.00,32.05,126.59,674.91,0.877,1.43,34.20,0.492
18,312.00,341.00,25.17,135.64,423.18,0.925,1.60,27.95,0.562
19,260.00,359.00,27.24,133.10,499.13,0.861,1.71,29.98,0.519
20,175.00,384.00,33.95,121.59,792.10,0.874,1.54,36.38,0.609
21,225.00,455.00,29.83,127.15,625.00,0.909,1.69,32.61,0.586
22,169.00,344.00,29.87,126.39,609.81,0.896,1.81,32.64,0.574
23,68.00,393.00,40.21,112.90,1139.32,0.867,1.90,42.26,0.692
24,148.00,341.00,49.04,112.40,1688.37,0.855,1.39,50.96,0.491
25,211.00,324.00,26.68,131.95,488.28,0.867,1.52,29.56,0.500
26,188.00,343.00,32.94,121.52,776.91,0.878,1.67,35.84,0.719
27,143.00,379.00,29.74,125.80,575.09,0.878,1.45,31.48,0.692
28,104.00,411.00,29.61,126.72,605.47,0.890,1.70,32.54,0.607
29,34.00,359.00,34.57,113.64,822.48,0.879,1.81,36.34,0.636
30,92.00,421.00,29.61,126.29,609.81,0.896,1.29,32.20,0.643
31,126.00,492.00,34.46,121.13,828.99,0.867,1.87,37.29,0.712
32,55.00,375.00,37.82,113.41,1000.43,0.896,2.20,40.07,0.771
33,295.00,440.00,39.69,121.26,1002.60,0.845,1.75,42.42,0.444
34,138.00,413.00,26.89,134.02,475.26,0.879,1.51,29.47,0.500
35,165.00,466.00,27.80,128.54,525.17,0.870,1.74,30.33,0.698
36,365.00,458.00,60.99,113.99,2408.85,0.788,2.06,63.66,0.573
37,366.00,433.00,24.31,133.94,379.77,0.870,1.94,27.16,0.609
38,243.00,320.00,43.94,120.70,1260.85,0.833,0.52,76.06,0.833
39,449.00,468.00,42.79,116.35,1232.64,0.812,1.84,45.51,0.561
40,490.00,327.00,34.96,122.30,835.50,0.893,1.51,37.30,0.545
41,64.00,490.00,30.97,142.78,494.79,0.776,1.34,33.66,0.648
42,445.00,352.00,45.71,121.01,1358.51,0.832,1.79,48.46,0.495
43,397.00,372.00,31.00,125.51,592.45,0.839,1.66,33.66,0.379
44,324.00,354.00,41.04,120.38,1156.68,0.847,1.57,43.37,0.560
45,413.00,457.00,30.23,126.79,603.30,0.864,1.74,33.11,0.574
46,325.00,463.00,40.25,119.52,1041.67,0.830,1.46,41.95,0.592
47,88.00,334.00,32.71,117.80,692.27,0.856,-16.35,0.00,0.000
48,493.00,456.00,29.10,127.77,568.58,0.892,1.66,31.88,0.537
49,407.00,363.00,24.17,135.91,381.94,0.847,1.63,26.84,0.522
50,444.00,373.00,32.69,125.15,707.47,0.897,2.08,35.50,0.583
51,478.00,387.00,32.18,128.57,707.47,0.897,1.46,35.03,0.508
52,375.00,333.00,42.20,118.08,1163.19,0.868,1.11,44.27,0.644
53,433.00,335.00,32.34,125.26,694.44,0.880,1.58,34.92,0.567
54,451.00,333.00,31.67,126.92,640.19,0.861,1.65,34.09,0.526
55,432.00,365.00,27.09,105.88,486.11,0.889,2.69,29.83,0.923
56,160.00,378.00,29.14,121.43,564.24,0.885,1.95,31.36,0.722
57,236.00,499.00,26.40,130.10,468.75,0.857,1.63,28.96,0.615
58,401.00,321.00,27.80,129.92,538.19,0.892,1.42,30.33,0.593
59,136.00,480.00,27.86,126.86,518.66,0.884,1.96,30.37,0.630
60,386.00,389.00,30.13,127.22,614.15,0.870,1.22,32.45,0.431
61,277.00,435.00,28.10,130.61,527.34,0.850,1.63,31.02,0.537
62,303.00,402.00,37.60,121.45,911.46,0.884,1.96,40.32,0.537
63,160.00,392.00,25.25,128.11,421.01,0.892,1.97,27.76,0.646
64,486.00,426.00,25.82,132.71,449.22,0.922,1.73,28.62,0.521
65,115.00,348.00,26.44,126.81,444.88,0.874,1.48,29.10,0.667
66,474.00,124.00,25.43,114.40,410.16,0.880,2.24,28.34,0.717
67,31.00,79.00,51.45,111.19,1892.36,0.902,2.11,54.33,0.740
68,481.00,471.00,42.75,117.75,1230.47,0.847,2.42,45.69,0.537
69,483.00,345.00,35.20,123.39,805.12,0.861,1.73,37.87,0.606
70,233.00,388.00,33.98,124.43,794.27,0.897,1.67,36.49,0.547
71,243.00,430.00,50.03,114.39,1783.85,0.896,1.88,52.43,0.720
72,31.00,441.00,40.24,115.80,1106.77,0.848,1.69,42.64,0.645
73,272.00,348.00,32.61,127.15,742.19,0.909,1.67,35.26,0.590
74,243.00,320.00,42.38,119.21,1208.77,0.863,0.80,43.97,0.871
75,34.00,411.00,49.81,110.67,1655.82,0.844,2.00,52.11,0.670
76,204.00,453.00,35.84,122.74,911.46,0.884,1.82,38.69,0.667
77,166.00,424.00,37.89,120.65,1026.48,0.919,2.04,40.62,0.722
78,185.00,466.00,54.96,113.00,2107.20,0.828,2.12,57.64,0.657
79,226.00,327.00,28.58,130.76,559.90,0.878,1.54,31.25,0.500
80,304.00,462.00,42.38,118.85,1273.87,0.909,1.92,45.12,0.613
81,297.00,383.00,46.54,117.33,1462.67,0.837,1.95,49.24,0.614
82,265.00,330.00,44.72,120.41,1295.57,0.860,2.15,47.63,0.595
83,289.00,417.00,43.01,119.08,1250.00,0.854,1.66,44.99,0.585
84,177.00,361.00,46.12,114.08,1482.20,0.863,1.58,48.15,0.625
85,246.00,451.00,38.40,121.58,1017.80,0.911,1.89,41.15,0.722
86,66.00,436.00,38.42,119.67,983.07,0.870,1.81,40.81,0.586
87,268.00,449.00,32.65,127.59,720.49,0.913,1.76,35.48,0.567
88,250.00,387.00,33.58,125.69,766.06,0.886,1.56,35.75,0.547
89,183.00,421.00,29.26,129.39,588.11,0.912,1.58,31.97,0.589
90,89.00,452.00,44.83,115.02,1388.89,0.822,1.54,47.33,0.667
91,452.00,497.00,31.25,121.68,629.34,0.826,2.00,34.05,0.586
92,65.00,340.00,51.76,111.96,1833.77,0.861,1.73,53.66,0.615
93,219.00,344.00,45.66,116.19,1519.10,0.899,1.59,48.14,0.797
94,224.00,368.00,54.84,112.34,2174.48,0.883,0.46,55.77,0.674
95,183.00,441.00,48.77,115.45,1705.73,0.903,1.95,51.45,0.620
96,244.00,346.00,56.75,113.78,2282.99,0.885,2.07,59.37,0.638
97,303.00,356.00,40.85,119.55,1210.94,0.880,1.81,43.70,0.688
98,36.00,322.00,48.33,108.81,1662.33,0.861,1.80,49.96,0.638
99,213.00,476.00,67.03,110.60,3187.93,0.867,2.14,69.71,0.633
100,246.00,406.00,46.09,115.45,1519.10,0.899,2.29,48.89,0.779
101,64.00,312.00,62.12,108.09,2838.54,0.890,1.90,64.09,0.550
102,276.00,397.00,55.47,112.23,2202.69,0.882,2.07,57.79,0.606
103,283.00,364.00,44.35,116.31,1397.57,0.898,2.04,47.09,0.762
104,145.00,430.00,46.59,116.23,1542.97,0.898,1.76,49.40,0.881
105,141.00,454.00,51.04,115.73,1751.30,0.830,0.84,52.71,0.833
106,13.00,465.00,42.26,111.95,1263.02,0.918,2.01,44.73,0.700
107,204.00,388.00,42.90,117.49,1256.51,0.874,2.04,45.11,0.728
108,247.00,369.00,37.19,123.44,952.69,0.905,1.85,40.09,0.574
109,105.00,467.00,36.92,119.36,952.69,0.853,1.69,39.53,0.611
110,124.00,468.00,38.75,119.06,1061.20,0.912,1.83,41.06,0.704
111,206.00,432.00,46.94,115.87,1497.40,0.783,1.79,49.75,0.531
112,166.00,486.00,51.39,113.32,1855.47,0.843,1.95,53.12,0.598
113,105.00,433.00,37.56,119.20,950.52,0.834,1.87,40.23,0.653
114,225.00,405.00,37.34,122.58,915.80,0.889,1.52,39.71,0.485
115,247.00,474.00,35.60,123.80,876.74,0.888,1.56,38.04,0.582
116,50.00,446.00,36.29,118.82,907.12,0.880,1.80,38.75,0.676
117,193.00,319.00,48.17,115.56,1631.94,0.845,1.89,51.00,0.641
