Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
0,455.0,343.0,0.0,42.83,2.56,45.52,-2.69,114.76,1228.27,0.809,47.24,0.328,z13
1,387.0,321.0,1.0,36.27,2.78,39.94,-3.67,120.0,922.57,0.898,41.6,0.293,z13
2,436.0,336.0,0.0,44.91,3.16,45.93,-1.02,112.6,1312.89,0.862,50.0,0.321,z13
3,274.0,497.0,0.0,43.37,1.4,43.74,-0.37,103.02,1318.35,0.876,44.14,0.529,z13
4,360.0,402.0,0.0,41.42,1.81,44.27,-2.85,111.69,1190.06,0.918,44.07,0.359,z13
5,148.0,479.0,1.0,28.57,2.97,30.79,-2.22,122.87,554.09,0.904,33.4,0.455,z13
6,396.0,441.0,0.0,45.95,2.61,49.18,-3.23,111.68,1479.39,0.878,50.0,0.376,z12
7,323.0,387.0,0.0,31.77,2.52,35.09,-3.32,125.85,679.64,0.906,36.5,0.281,z13
8,442.0,378.0,1.0,36.18,2.18,39.99,-3.81,120.52,911.65,0.919,40.4,0.278,z13
9,388.0,352.0,1.0,41.4,2.77,43.04,-1.64,116.29,1154.58,0.822,46.39,0.342,z12
10,413.0,422.0,0.0,37.76,1.86,40.87,-3.11,115.55,993.54,0.892,40.4,0.343,z13
11,489.0,398.0,0.0,38.83,2.66,42.04,-3.21,118.84,1053.59,0.916,43.91,0.34,z13
12,470.0,399.0,0.0,46.06,2.86,48.13,-2.07,112.56,1501.22,0.891,50.8,0.396,z13
13,350.0,324.0,0.0,39.26,2.88,42.91,-3.65,117.81,1048.13,0.899,44.67,0.284,z13
14,318.0,316.0,1.0,38.32,2.14,41.61,-3.29,120.34,979.89,0.889,42.35,0.28,z13
15,323.0,446.0,0.0,48.94,3.36,50.7,-1.76,110.76,1697.75,0.868,54.02,0.426,z13
16,479.0,363.0,0.0,33.59,2.22,36.57,-2.98,123.89,747.88,0.897,36.94,0.324,z13
17,370.0,321.0,0.0,33.13,2.93,35.6,-2.47,123.45,720.59,0.865,38.33,0.296,z13
18,345.0,456.0,0.0,57.11,2.53,58.03,-0.92,106.28,2270.94,0.843,60.09,0.397,z13
19,176.0,416.0,0.0,26.64,2.64,30.64,-4.0,122.74,507.69,0.855,31.82,0.463,z13
20,110.0,361.0,0.0,27.56,3.04,29.75,-2.19,122.89,518.6,0.873,33.05,0.433,z13
21,466.0,424.0,1.0,32.65,2.79,36.13,-3.48,123.93,731.5,0.878,38.07,0.324,z13
22,11.0,320.0,1.0,27.8,2.48,30.82,-3.02,120.55,513.15,0.864,31.82,0.422,z13
23,70.0,475.0,1.0,36.94,1.63,41.4,-4.46,116.48,728.78,0.808,40.2,0.293,z13
24,40.0,474.0,0.0,45.97,0.0,50.49,-4.52,108.22,999.0,0.784,45.37,0.256,z11
25,430.0,473.0,0.0,62.04,1.25,62.39,-0.35,104.59,2636.69,0.852,64.09,0.35,z11
26,332.0,490.0,0.0,40.01,3.02,42.64,-2.63,112.16,1119.09,0.902,43.8,0.475,z13
27,334.0,423.0,0.0,35.7,2.39,38.53,-2.83,114.95,884.36,0.891,39.06,0.437,z13
28,370.0,386.0,0.0,42.49,2.45,46.01,-3.52,116.26,1258.3,0.922,46.73,0.284,z13
29,152.0,405.0,0.0,31.46,2.61,33.87,-2.41,121.9,652.35,0.921,35.27,0.375,z13
30,377.0,405.0,1.0,34.94,3.02,37.97,-3.03,117.33,867.98,0.919,40.2,0.5,z13
31,404.0,485.0,0.0,59.52,3.06,59.99,-0.47,103.95,2522.05,0.89,63.05,0.396,z10
32,385.0,455.0,0.0,34.5,2.23,36.02,-1.52,118.75,783.37,0.915,37.44,0.381,z13
33,388.0,392.0,0.0,34.02,2.6,37.67,-3.65,121.26,824.31,0.873,38.92,0.36,z13
34,405.0,344.0,1.0,40.2,3.61,43.65,-3.45,115.38,1140.93,0.88,46.73,0.352,z13
35,254.0,494.0,0.0,46.08,3.13,47.3,-1.22,104.89,1493.03,0.903,48.63,0.504,z13
36,440.0,356.0,0.0,36.8,2.41,39.79,-2.99,118.9,960.78,0.904,41.63,0.346,z13
37,369.0,465.0,1.0,43.22,3.01,45.8,-2.58,111.35,1299.24,0.88,47.38,0.434,z13
38,446.0,259.0,1.0,49.66,2.9,51.76,-2.1,112.04,1757.8,0.898,55.31,0.38,z13
39,352.0,32.0,0.0,44.81,2.32,47.09,-2.28,115.29,1427.53,0.887,49.29,0.312,z13
40,445.0,185.0,0.0,52.57,2.69,54.19,-1.62,110.22,1989.8,0.921,57.09,0.339,z12
41,413.0,75.0,0.0,46.21,3.13,48.67,-2.46,115.11,1528.52,0.907,51.9,0.336,z13
42,425.0,222.0,0.0,53.48,2.84,54.33,-0.85,109.51,2019.83,0.898,57.97,0.564,z13
43,467.0,267.0,0.0,47.42,3.04,50.39,-2.97,113.69,1615.86,0.877,53.28,0.359,z13
44,337.0,92.0,0.0,41.59,2.52,44.43,-2.84,118.36,1211.9,0.907,46.62,0.287,z13
45,395.0,38.0,0.0,51.7,2.73,53.99,-2.29,111.62,1875.16,0.868,56.6,0.384,z13
46,361.0,206.0,0.0,54.78,2.81,56.51,-1.73,108.91,2159.03,0.895,59.71,0.396,z13
47,346.0,224.0,0.0,49.59,2.99,51.29,-1.7,111.4,1763.25,0.901,55.14,0.355,z13
48,325.0,32.0,0.0,40.8,2.14,43.18,-2.38,120.4,1113.63,0.926,45.09,0.212,z13
49,415.0,243.0,0.0,46.25,2.8,48.17,-1.92,113.58,1493.03,0.903,51.5,0.354,z12
50,338.0,53.0,0.0,70.35,2.97,72.08,-1.73,104.34,3531.97,0.874,76.29,0.39,z13
51,473.0,96.0,0.0,42.13,3.12,43.97,-1.84,116.52,1231.0,0.876,48.18,0.368,z13
52,426.0,199.0,1.0,49.64,0.0,51.83,-2.19,112.47,1752.34,0.874,0.0,0.0,z13
53,439.0,281.0,0.0,47.16,2.59,49.82,-2.66,113.86,1520.33,0.841,51.59,0.319,z13
54,457.0,241.0,1.0,40.83,2.78,43.25,-2.42,118.34,1165.49,0.919,45.59,0.312,z13
55,435.0,37.0,0.0,41.46,2.24,43.49,-2.03,118.45,1209.17,0.886,45.65,0.327,z13
56,354.0,105.0,0.0,46.4,3.05,49.79,-3.39,114.5,1501.22,0.891,52.51,0.304,z13
57,431.0,56.0,1.0,40.88,2.6,44.49,-3.61,118.25,1173.68,0.905,45.4,0.295,z13
58,450.0,109.0,1.0,49.51,2.86,53.5,-3.99,112.35,1763.25,0.879,55.22,0.42,z13
59,338.0,17.0,0.0,45.5,2.65,47.77,-2.27,113.48,1454.82,0.904,50.55,0.379,z13
