Center_X_px,Center_Y_px,Diameter_μm,slide
260.0,42.0,87.17,z12
206.0,128.0,75.42,z11
338.0,53.0,72.08,z13
89.0,266.0,69.16,z12
292.0,51.0,66.5,z13
336.0,164.0,64.52,z11
121.0,214.0,63.56,z12
430.0,473.0,62.39,z11
449.0,454.0,62.36,z13
191.0,250.0,61.15,z13
23.0,151.0,60.75,z11
449.0,210.0,60.66,z12
133.0,332.0,60.45,z11
157.0,281.0,60.35,z12
404.0,485.0,59.99,z10
73.0,180.0,59.57,z11
437.0,130.0,59.48,z13
200.0,379.0,59.48,z12
204.0,17.0,58.97,z11
30.0,447.0,58.91,z13
96.0,129.0,58.9,z13
262.0,263.0,58.08,z13
345.0,456.0,58.03,z13
85.0,232.0,57.5,z12
324.0,353.0,57.37,z13
324.0,470.0,57.33,z11
43.0,198.0,57.19,z13
71.0,424.0,57.17,z11
109.0,392.0,56.85,z12
271.0,225.0,56.55,z13
184.0,464.0,56.54,z12
123.0,129.0,56.52,z13
361.0,206.0,56.51,z13
75.0,291.0,56.27,z13
222.0,482.0,56.26,z12
77.0,376.0,56.21,z13
456.0,322.0,56.17,z13
296.0,390.0,55.83,z13
196.0,62.0,55.73,z13
94.0,100.0,55.58,z13
134.0,72.0,55.48,z13
41.0,85.0,55.4,z13
60.0,101.0,55.35,z13
110.0,73.0,55.31,z13
120.0,272.0,55.14,z13
337.0,400.0,54.83,z12
184.0,41.0,54.78,z12
263.0,12.0,54.77,z13
451.0,411.0,54.63,z13
88.0,464.0,54.49,z12
425.0,222.0,54.33,z13
445.0,185.0,54.19,z12
76.0,39.0,54.18,z13
56.0,309.0,54.1,z13
438.0,303.0,54.08,z12
190.0,211.0,54.06,z13
187.0,292.0,54.05,z13
395.0,38.0,53.99,z13
40.0,326.0,53.96,z12
12.0,225.0,53.95,z13
290.0,96.0,53.92,z12
486.0,418.0,53.67,z11
288.0,353.0,53.55,z12
99.0,36.0,53.55,z13
449.0,109.0,53.5,z13
458.0,365.0,53.47,z12
22.0,48.0,53.41,z12
288.0,248.0,53.35,z13
373.0,90.0,53.2,z13
258.0,464.0,53.18,z12
42.0,242.0,53.05,z13
368.0,442.0,52.95,z12
399.0,407.0,52.93,z13
151.0,89.0,52.86,z13
408.0,323.0,52.73,z12
174.0,91.0,52.71,z13
410.0,459.0,52.7,z13
364.0,339.0,52.66,z12
156.0,386.0,52.58,z13
273.0,399.0,52.53,z11
240.0,155.0,52.39,z10
120.0,26.0,52.29,z13
300.0,450.0,52.23,z11
252.0,173.0,52.06,z12
230.0,121.0,52.02,z13
147.0,460.0,51.96,z12
427.0,199.0,51.83,z13
110.0,155.0,51.78,z13
389.0,17.0,51.76,z13
446.0,260.0,51.76,z13
43.0,368.0,51.69,z13
326.0,282.0,51.65,z12
406.0,382.0,51.63,z13
18.0,336.0,51.4,z13
20.0,261.0,51.39,z13
210.0,102.0,51.34,z13
243.0,450.0,51.3,z13
346.0,224.0,51.29,z13
183.0,315.0,51.27,z13
314.0,63.0,51.14,z13
140.0,151.0,51.12,z13
58.0,57.0,50.79,z12
78.0,314.0,50.77,z13
136.0,185.0,50.73,z13
323.0,446.0,50.7,z13
278.0,446.0,50.55,z13
137.0,296.0,50.53,z13
40.0,474.0,50.49,z11
467.0,267.0,50.39,z13
214.0,291.0,50.17,z12
19.0,106.0,50.14,z13
159.0,125.0,50.0,z12
465.0,26.0,49.99,z13
472.0,198.0,49.94,z13
344.0,190.0,49.91,z13
96.0,328.0,49.85,z13
439.0,281.0,49.82,z13
354.0,105.0,49.79,z13
163.0,71.0,49.74,z13
315.0,217.0,49.68,z13
244.0,81.0,49.62,z12
204.0,229.0,49.53,z13
166.0,12.0,49.52,z13
465.0,152.0,49.48,z12
387.0,283.0,49.43,z13
386.0,372.0,49.39,z13
207.0,464.0,49.29,z13
253.0,412.0,49.21,z07
396.0,441.0,49.18,z12
130.0,50.0,49.17,z13
314.0,134.0,49.12,z13
401.0,266.0,49.08,z13
55.0,33.0,48.88,z13
247.0,297.0,48.84,z13
380.0,261.0,48.8,z13
218.0,59.0,48.73,z13
331.0,331.0,48.69,z12
413.0,75.0,48.67,z13
15.0,404.0,48.53,z13
137.0,376.0,48.37,z13
315.0,426.0,48.36,z12
152.0,361.0,48.36,z13
165.0,476.0,48.29,z13
155.0,31.0,48.27,z13
367.0,229.0,48.27,z13
359.0,305.0,48.25,z13
90.0,350.0,48.22,z13
301.0,19.0,48.21,z13
151.0,312.0,48.2,z13
293.0,189.0,48.19,z13
452.0,484.0,48.18,z13
415.0,243.0,48.17,z12
482.0,448.0,48.16,z13
494.0,378.0,48.15,z13
470.0,399.0,48.13,z13
367.0,16.0,48.12,z13
429.0,409.0,48.11,z13
295.0,288.0,48.06,z13
284.0,270.0,48.04,z12
226.0,454.0,47.87,z13
154.0,197.0,47.79,z13
338.0,17.0,47.77,z13
145.0,421.0,47.62,z13
411.0,54.0,47.53,z12
133.0,397.0,47.49,z13
424.0,441.0,47.48,z12
463.0,173.0,47.39,z13
213.0,359.0,47.31,z13
480.0,220.0,47.31,z11
294.0,140.0,47.31,z13
254.0,494.0,47.3,z13
414.0,127.0,47.29,z13
391.0,75.0,47.25,z12
416.0,302.0,47.15,z13
352.0,32.0,47.09,z13
367.0,280.0,47.05,z13
62.0,210.0,47.02,z13
170.0,350.0,46.99,z13
407.0,208.0,46.96,z13
311.0,335.0,46.95,z13
113.0,468.0,46.77,z13
495.0,150.0,46.7,z13
117.0,244.0,46.45,z13
396.0,302.0,46.45,z13
278.0,471.0,46.42,z13
450.0,50.0,46.23,z13
351.0,364.0,46.21,z13
269.0,426.0,46.17,z13
213.0,39.0,46.16,z13
479.0,135.0,46.16,z12
494.0,321.0,46.09,z13
300.0,471.0,46.04,z13
370.0,386.0,46.01,z13
280.0,173.0,45.95,z13
17.0,24.0,45.94,z13
436.0,336.0,45.93,z13
35.0,389.0,45.91,z13
460.0,300.0,45.84,z13
369.0,466.0,45.8,z13
277.0,298.0,45.77,z12
211.0,154.0,45.7,z13
180.0,229.0,45.57,z13
395.0,246.0,45.56,z13
455.0,343.0,45.52,z13
