Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
0,455.00,343.00,42.83,114.76,1228.27,0.809,2.56,47.24,0.328
1,387.00,321.00,36.27,120.00,922.57,0.898,2.78,41.60,0.293
2,436.00,336.00,44.91,112.60,1312.89,0.862,3.16,50.00,0.321
3,274.00,497.00,43.37,103.02,1318.35,0.876,1.40,44.14,0.529
4,360.00,402.00,41.42,111.69,1190.06,0.918,1.81,44.07,0.359
5,148.00,479.00,28.57,122.87,554.09,0.904,2.97,33.40,0.455
6,396.00,441.00,45.95,111.68,1479.39,0.878,2.61,50.00,0.376
7,323.00,387.00,31.77,125.85,679.64,0.906,2.52,36.50,0.281
8,442.00,378.00,36.18,120.52,911.65,0.919,2.18,40.40,0.278
9,388.00,352.00,41.40,116.29,1154.58,0.822,2.77,46.39,0.342
10,413.00,422.00,37.76,115.55,993.54,0.892,1.86,40.40,0.343
11,489.00,398.00,38.83,118.84,1053.59,0.916,2.66,43.91,0.340
12,470.00,399.00,46.06,112.56,1501.22,0.891,2.86,50.80,0.396
13,350.00,324.00,39.26,117.81,1048.13,0.899,2.88,44.67,0.284
14,318.00,316.00,38.32,120.34,979.89,0.889,2.14,42.35,0.280
15,323.00,446.00,48.94,110.76,1697.75,0.868,3.36,54.02,0.426
16,479.00,363.00,33.59,123.89,747.88,0.897,2.22,36.94,0.324
17,370.00,321.00,33.13,123.45,720.59,0.865,2.93,38.33,0.296
18,345.00,456.00,57.11,106.28,2270.94,0.843,2.53,60.09,0.397
19,176.00,416.00,26.64,122.74,507.69,0.855,2.64,31.82,0.463
20,110.00,361.00,27.56,122.89,518.60,0.873,3.04,33.05,0.433
21,466.00,424.00,32.65,123.93,731.50,0.878,2.79,38.07,0.324
22,11.00,320.00,27.80,120.55,513.15,0.864,2.48,31.82,0.422
23,70.00,475.00,36.94,116.48,728.78,0.808,1.63,40.20,0.293
24,40.00,474.00,45.97,108.22,999.00,0.784,0.00,45.37,0.256
25,430.00,473.00,62.04,104.59,2636.69,0.852,1.25,64.09,0.350
26,332.00,490.00,40.01,112.16,1119.09,0.902,3.02,43.80,0.475
27,334.00,423.00,35.70,114.95,884.36,0.891,2.39,39.06,0.437
28,370.00,386.00,42.49,116.26,1258.30,0.922,2.45,46.73,0.284
29,152.00,405.00,31.46,121.90,652.35,0.921,2.61,35.27,0.375
30,377.00,405.00,34.94,117.33,867.98,0.919,3.02,40.20,0.500
31,404.00,485.00,59.52,103.95,2522.05,0.890,3.06,63.05,0.396
32,385.00,455.00,34.50,118.75,783.37,0.915,2.23,37.44,0.381
33,388.00,392.00,34.02,121.26,824.31,0.873,2.60,38.92,0.360
34,405.00,344.00,40.20,115.38,1140.93,0.880,3.61,46.73,0.352
35,254.00,494.00,46.08,104.89,1493.03,0.903,3.13,48.63,0.504
36,440.00,356.00,36.80,118.90,960.78,0.904,2.41,41.63,0.346
37,369.00,465.00,43.22,111.35,1299.24,0.880,3.01,47.38,0.434
38,446.00,259.00,49.66,112.04,1757.80,0.898,2.90,55.31,0.380
39,352.00,32.00,44.81,115.29,1427.53,0.887,2.32,49.29,0.312
40,445.00,185.00,52.57,110.22,1989.80,0.921,2.69,57.09,0.339
41,413.00,75.00,46.21,115.11,1528.52,0.907,3.13,51.90,0.336
42,425.00,222.00,53.48,109.51,2019.83,0.898,2.84,57.97,0.564
43,467.00,267.00,47.42,113.69,1615.86,0.877,3.04,53.28,0.359
44,337.00,92.00,41.59,118.36,1211.90,0.907,2.52,46.62,0.287
45,395.00,38.00,51.70,111.62,1875.16,0.868,2.73,56.60,0.384
46,361.00,206.00,54.78,108.91,2159.03,0.895,2.81,59.71,0.396
47,346.00,224.00,49.59,111.40,1763.25,0.901,2.99,55.14,0.355
48,325.00,32.00,40.80,120.40,1113.63,0.926,2.14,45.09,0.212
49,415.00,243.00,46.25,113.58,1493.03,0.903,2.80,51.50,0.354
50,338.00,53.00,70.35,104.34,3531.97,0.874,2.97,76.29,0.390
51,473.00,96.00,42.13,116.52,1231.00,0.876,3.12,48.18,0.368
52,426.00,199.00,49.64,112.47,1752.34,0.874,0.00,0.00,0.000
53,439.00,281.00,47.16,113.86,1520.33,0.841,2.59,51.59,0.319
54,457.00,241.00,40.83,118.34,1165.49,0.919,2.78,45.59,0.312
55,435.00,37.00,41.46,118.45,1209.17,0.886,2.24,45.65,0.327
56,354.00,105.00,46.40,114.50,1501.22,0.891,3.05,52.51,0.304
57,431.00,56.00,40.88,118.25,1173.68,0.905,2.60,45.40,0.295
58,450.00,109.00,49.51,112.35,1763.25,0.879,2.86,55.22,0.420
59,338.00,17.00,45.50,113.48,1454.82,0.904,2.65,50.55,0.379
60,424.00,441.00,46.40,108.98,1487.58,0.900,2.41,48.21,0.430
61,324.00,470.00,56.19,106.77,2265.48,0.904,2.92,59.86,0.368
62,492.00,351.00,41.24,117.84,1195.52,0.895,3.26,47.39,0.377
64,405.00,362.00,37.38,119.98,971.70,0.902,2.69,42.12,0.364
65,399.00,407.00,51.19,108.90,1894.27,0.891,2.52,55.63,0.403
66,485.00,418.00,52.12,109.48,1877.89,0.816,2.48,55.98,0.288
67,123.00,411.00,28.91,119.38,578.65,0.877,2.56,33.21,0.462
68,474.00,379.00,41.04,117.08,1181.87,0.904,2.20,45.40,0.316
69,346.00,340.00,28.00,128.32,529.52,0.892,2.52,33.05,0.302
70,428.00,408.00,46.73,110.77,1517.60,0.868,2.43,49.19,0.328
71,333.00,373.00,37.96,119.23,1026.29,0.922,2.83,43.46,0.337
72,458.00,365.00,51.72,108.95,1937.94,0.912,2.51,55.63,0.361
73,351.00,364.00,43.46,114.68,1331.99,0.892,3.01,48.65,0.337
74,14.00,355.00,36.03,114.64,906.19,0.913,3.23,41.63,0.376
75,207.00,405.00,39.15,115.78,1086.34,0.875,2.63,44.08,0.385
76,183.00,315.00,49.52,109.34,1656.80,0.862,3.06,54.50,0.397
77,7.00,370.00,26.64,122.20,458.56,0.846,2.35,30.34,0.322
78,35.00,389.00,43.29,109.48,1255.57,0.876,2.87,48.35,0.250
79,247.00,355.00,33.21,123.45,750.61,0.877,2.83,38.33,0.358
80,115.00,318.00,41.90,113.67,1198.25,0.878,2.58,46.08,0.366
81,147.00,460.00,50.41,106.52,1774.17,0.885,3.16,53.97,0.492
82,52.00,416.00,34.78,119.27,827.04,0.885,2.81,39.95,0.321
83,223.00,375.00,33.96,123.20,788.82,0.922,2.44,38.56,0.314
84,22.00,427.00,36.57,113.19,944.41,0.919,3.15,42.12,0.440
85,299.00,318.00,36.11,120.48,900.73,0.908,3.02,41.63,0.325
86,257.00,387.00,34.50,122.05,802.47,0.913,2.92,39.79,0.290
87,221.00,418.00,40.88,115.82,1160.04,0.914,2.80,45.37,0.359
88,64.00,461.00,31.69,119.23,663.27,0.850,2.88,36.50,0.474
89,201.00,424.00,43.04,114.84,1241.92,0.910,2.84,46.50,0.355
90,133.00,397.00,44.80,111.88,1375.67,0.896,2.55,48.14,0.374
91,97.00,444.00,41.59,112.59,1214.63,0.890,2.65,45.45,0.394
92,72.00,356.00,35.60,119.17,881.63,0.910,3.21,41.60,0.310
93,223.00,343.00,34.85,121.02,857.06,0.907,2.69,39.95,0.393
94,206.00,341.00,35.68,120.26,857.06,0.907,3.03,40.67,0.369
95,295.00,430.00,36.18,118.99,928.03,0.903,2.80,41.60,0.310
96,15.00,404.00,44.34,107.32,1402.96,0.889,3.28,50.02,0.421
97,184.00,464.00,54.97,106.11,2169.95,0.880,2.24,58.77,0.422
98,174.00,445.00,33.45,121.92,775.18,0.930,2.80,38.43,0.378
99,53.00,397.00,41.49,112.94,1184.60,0.914,2.99,46.80,0.326
100,258.00,444.00,37.98,118.03,982.62,0.912,1.94,40.67,0.291
101,240.00,383.00,38.15,117.79,1012.64,0.889,3.45,44.64,0.362
102,247.00,333.00,33.45,121.44,780.64,0.902,2.85,38.89,0.404
103,76.00,397.00,36.94,116.20,960.78,0.863,3.44,43.46,0.396
104,222.00,481.00,54.87,105.94,2134.47,0.879,2.90,60.32,0.438
105,278.00,380.00,36.18,120.40,922.57,0.898,2.89,41.82,0.341
106,245.00,317.00,34.02,122.03,824.31,0.873,3.16,40.20,0.398
107,207.00,464.00,46.67,111.38,1501.22,0.891,2.21,50.66,0.320
108,183.00,430.00,39.79,116.84,1097.26,0.912,3.00,44.88,0.344
109,164.00,476.00,45.37,111.46,1430.26,0.872,2.25,49.03,0.367
110,285.00,416.00,37.56,120.67,990.81,0.911,2.95,43.46,0.273
111,118.00,449.00,40.99,112.92,1149.12,0.906,2.87,44.64,0.426
112,113.00,468.00,44.50,110.87,1353.83,0.882,3.04,48.50,0.405
113,219.00,392.00,37.46,119.35,990.81,0.911,2.49,42.12,0.364
114,195.00,329.00,32.11,123.62,701.48,0.899,2.35,36.65,0.311
115,172.00,400.00,36.50,121.46,914.38,0.899,2.83,41.79,0.260
116,293.00,334.00,33.13,124.23,753.34,0.904,1.96,36.94,0.329
117,218.00,325.00,41.72,116.51,1228.27,0.882,2.88,47.39,0.337
118,90.00,390.00,27.56,126.02,513.15,0.864,2.79,33.04,0.443
119,125.00,493.00,37.69,119.05,982.62,0.912,3.08,43.56,0.333
120,156.00,492.00,30.29,125.32,625.05,0.882,2.76,35.30,0.403
121,198.00,483.00,40.24,114.17,1110.90,0.903,1.86,43.49,0.352
122,43.00,368.00,49.60,105.55,1569.46,0.788,3.46,55.49,0.260
124,141.00,493.00,29.92,123.59,633.24,0.868,3.36,36.50,0.390
125,124.00,426.00,31.93,118.90,679.64,0.871,3.10,36.68,0.463
126,134.00,474.00,32.82,120.73,747.88,0.897,2.39,36.94,0.352
127,197.00,447.00,37.40,115.47,966.24,0.897,2.70,41.34,0.352
128,188.00,406.00,38.76,115.55,1026.29,0.922,2.88,43.17,0.368
129,90.00,408.00,26.90,122.97,483.12,0.880,2.68,31.48,0.424
130,24.00,465.00,29.09,117.13,551.36,0.872,3.17,33.21,0.507
131,172.00,495.00,37.83,113.31,968.97,0.891,3.08,41.79,0.485
132,226.00,454.00,45.50,109.95,1400.23,0.870,2.70,50.17,0.355
133,305.00,496.00,40.09,102.10,1146.39,0.884,0.56,40.88,0.588
134,139.00,439.00,35.40,115.66,870.71,0.899,2.47,39.06,0.427
135,157.00,437.00,40.81,115.01,1165.49,0.891,2.79,45.37,0.398
