Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,395.00,670.00,64.14,171.88,3085.96,0.893
1,519.00,431.00,46.12,187.55,1565.29,0.889
2,475.00,686.00,48.46,180.56,1750.45,0.888
3,752.00,821.00,50.77,176.40,1891.73,0.892
4,448.00,466.00,48.60,186.07,1726.65,0.887
5,502.00,620.00,48.01,183.66,1674.60,0.888
6,519.00,709.00,48.68,181.35,1739.29,0.886
7,910.00,692.00,45.02,183.35,1493.16,0.897
8,663.00,659.00,50.12,181.14,1857.53,0.887
9,522.00,662.00,61.86,172.25,2862.88,0.890
10,781.00,632.00,43.51,187.50,1393.52,0.897
11,516.00,833.00,50.32,178.13,1867.94,0.892
12,407.00,810.00,47.58,178.37,1668.65,0.897
13,858.00,641.00,45.87,185.26,1560.08,0.882
14,402.00,551.00,47.43,186.29,1664.93,0.891
15,709.00,817.00,50.92,177.84,1931.89,0.895
16,665.00,545.00,46.00,186.82,1539.26,0.871
17,556.00,725.00,45.88,182.91,1548.93,0.909
18,746.00,532.00,48.00,184.87,1721.45,0.905
19,470.00,534.00,42.14,191.39,1298.33,0.892
20,561.00,685.00,47.25,184.68,1653.78,0.906
21,478.00,815.00,51.10,177.60,1937.09,0.894
22,585.00,469.00,45.11,189.14,1500.59,0.902
23,899.00,383.00,47.17,183.60,1646.34,0.885
24,766.00,899.00,48.56,179.26,1739.29,0.902
25,515.00,791.00,47.64,182.31,1684.27,0.902
26,692.00,579.00,45.78,186.58,1533.31,0.879
27,804.00,532.00,44.41,188.72,1461.93,0.909
28,681.00,508.00,48.89,184.67,1784.65,0.889
29,715.00,614.00,51.04,181.10,1929.65,0.875
30,471.00,645.00,48.20,182.13,1696.91,0.900
31,621.00,770.00,47.63,180.63,1684.27,0.902
32,836.00,557.00,46.97,184.29,1616.60,0.897
33,508.00,468.00,44.22,190.63,1433.67,0.904
34,447.00,745.00,47.24,182.71,1650.80,0.887
35,617.00,814.00,52.48,174.54,2035.25,0.897
36,595.00,707.00,47.76,182.92,1682.03,0.904
37,687.00,436.00,49.87,186.00,1830.01,0.904
38,938.00,534.00,46.04,183.65,1540.75,0.896
39,845.00,602.00,48.75,182.24,1740.78,0.886
40,603.00,668.00,44.64,187.52,1472.34,0.885
41,665.00,470.00,45.00,189.76,1485.72,0.893
42,705.00,655.00,47.64,181.29,1661.21,0.893
43,563.00,426.00,55.22,180.29,2249.41,0.900
44,482.00,726.00,46.39,183.46,1582.39,0.907
45,874.00,574.00,45.40,185.19,1529.60,0.898
46,625.00,469.00,45.03,189.37,1491.67,0.884
47,785.00,852.00,55.06,174.13,2250.15,0.898
48,671.00,836.00,49.97,178.51,1847.86,0.890
49,673.00,619.00,46.18,186.18,1561.57,0.895
50,787.00,377.00,46.48,188.49,1590.57,0.891
51,900.00,810.00,45.97,181.64,1531.83,0.878
52,705.00,859.00,45.38,183.90,1523.65,0.894
53,400.00,448.00,46.91,184.02,1629.24,0.896
54,708.00,399.00,50.22,184.54,1872.40,0.894
55,594.00,956.00,45.48,180.98,1529.60,0.886
56,605.00,435.00,46.00,187.79,1554.88,0.883
57,422.00,631.00,49.54,181.63,1792.83,0.901
58,669.00,745.00,51.97,177.87,2006.25,0.877
59,480.00,899.00,47.99,179.06,1699.88,0.901
60,818.00,406.00,49.69,185.03,1834.47,0.894
61,389.00,409.00,46.24,183.56,1581.65,0.898
