Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,395.00,670.00,43.83,171.88,1440.97,0.893
1,519.00,431.00,31.51,187.55,730.90,0.889
2,475.00,686.00,33.11,180.56,817.36,0.888
3,752.00,821.00,34.69,176.40,883.33,0.892
4,448.00,466.00,33.21,186.07,806.25,0.887
5,502.00,620.00,32.81,183.66,781.94,0.888
6,519.00,709.00,33.26,181.35,812.15,0.886
7,910.00,692.00,30.76,183.35,697.22,0.897
8,663.00,659.00,34.25,181.14,867.36,0.887
9,522.00,662.00,42.27,172.25,1336.81,0.890
10,781.00,632.00,29.73,187.50,650.69,0.897
11,516.00,833.00,34.39,178.13,872.22,0.892
12,407.00,810.00,32.51,178.37,779.17,0.897
13,858.00,641.00,31.35,185.26,728.47,0.882
14,402.00,551.00,32.41,186.29,777.43,0.891
15,709.00,817.00,34.80,177.84,902.08,0.895
16,665.00,545.00,31.43,186.82,718.75,0.871
17,556.00,725.00,31.35,182.91,723.26,0.909
18,746.00,532.00,32.80,184.87,803.82,0.905
19,470.00,534.00,28.79,191.39,606.25,0.892
20,561.00,685.00,32.29,184.68,772.22,0.906
21,478.00,815.00,34.92,177.60,904.51,0.894
22,585.00,469.00,30.83,189.14,700.69,0.902
23,899.00,383.00,32.23,183.60,768.75,0.885
24,766.00,899.00,33.18,179.26,812.15,0.902
25,515.00,791.00,32.55,182.31,786.46,0.902
26,692.00,579.00,31.28,186.58,715.97,0.879
27,804.00,532.00,30.35,188.72,682.64,0.909
28,681.00,508.00,33.41,184.67,833.33,0.889
29,715.00,614.00,34.87,181.10,901.04,0.875
30,471.00,645.00,32.93,182.13,792.36,0.900
31,621.00,770.00,32.55,180.63,786.46,0.902
32,836.00,557.00,32.10,184.29,754.86,0.897
33,508.00,468.00,30.22,190.63,669.44,0.904
34,447.00,745.00,32.28,182.71,770.83,0.887
35,617.00,814.00,35.86,174.54,950.35,0.897
36,595.00,707.00,32.64,182.92,785.42,0.904
37,687.00,436.00,34.07,186.00,854.51,0.904
38,938.00,534.00,31.46,183.65,719.44,0.896
39,845.00,602.00,33.32,182.24,812.85,0.886
40,603.00,668.00,30.50,187.52,687.50,0.885
41,665.00,470.00,30.75,189.76,693.75,0.893
42,705.00,655.00,32.55,181.29,775.69,0.893
43,563.00,426.00,37.73,180.29,1050.35,0.900
44,482.00,726.00,31.70,183.46,738.89,0.907
45,874.00,574.00,31.03,185.19,714.24,0.898
46,625.00,469.00,30.77,189.37,696.53,0.884
47,785.00,852.00,37.62,174.13,1050.69,0.898
48,671.00,836.00,34.14,178.51,862.85,0.890
49,673.00,619.00,31.56,186.18,729.17,0.895
50,787.00,377.00,31.76,188.49,742.71,0.891
51,900.00,810.00,31.41,181.64,715.28,0.878
52,705.00,859.00,31.01,183.90,711.46,0.894
53,400.00,448.00,32.05,184.02,760.76,0.896
54,708.00,399.00,34.32,184.54,874.31,0.894
55,594.00,956.00,31.08,180.98,714.24,0.886
56,605.00,435.00,31.43,187.79,726.04,0.883
57,422.00,631.00,33.85,181.63,837.15,0.901
58,669.00,745.00,35.51,177.87,936.81,0.877
59,480.00,899.00,32.79,179.06,793.75,0.901
60,818.00,406.00,33.96,185.03,856.60,0.894
61,389.00,409.00,31.60,183.56,738.54,0.898
62,936.00,462.00,31.83,184.62,752.08,0.894
63,435.00,691.00,31.25,184.06,720.14,0.896
64,780.00,467.00,32.82,185.92,793.40,0.893
65,787.00,711.00,32.49,182.92,782.64,0.889
66,948.00,739.00,33.07,176.75,808.68,0.898
68,956.00,427.00,32.03,184.47,760.42,0.892
69,561.00,575.00,34.30,183.62,875.69,0.895
70,570.00,383.00,30.99,189.06,707.29,0.889
71,626.00,626.00,48.56,169.86,1777.78,0.897
72,384.00,514.00,32.20,185.42,765.28,0.897
73,543.00,619.00,32.20,183.60,772.22,0.906
74,636.00,689.00,29.97,187.26,661.46,0.903
75,936.00,614.00,40.35,171.23,1202.08,0.890
76,818.00,448.00,34.35,181.25,879.17,0.899
77,594.00,916.00,30.92,182.72,709.72,0.901
78,920.00,499.00,30.41,186.96,684.72,0.899
79,895.00,464.00,31.79,186.53,749.65,0.899
80,771.00,564.00,31.73,186.50,744.44,0.902
81,630.00,728.00,32.65,181.24,779.86,0.902
82,603.00,505.00,31.22,188.41,712.50,0.904
83,651.00,583.00,34.34,183.67,867.01,0.894
84,851.00,476.00,30.64,188.22,691.67,0.878
85,635.00,895.00,30.77,183.28,697.22,0.897
86,713.00,776.00,31.16,183.45,716.32,0.900
87,781.00,427.00,31.19,186.89,725.35,0.887
88,457.00,606.00,34.17,180.59,865.97,0.885
89,750.00,693.00,32.80,181.88,783.68,0.905
90,601.00,876.00,30.61,183.29,688.89,0.904
91,808.00,893.00,34.63,177.07,880.21,0.892
92,563.00,502.00,32.51,186.70,771.88,0.909
93,634.00,855.00,31.26,183.46,722.57,0.908
94,755.00,603.00,30.96,186.40,711.46,0.894
95,776.00,507.00,28.36,192.67,593.40,0.901
96,924.00,571.00,31.09,185.73,711.46,0.894
97,672.00,701.00,31.25,182.47,719.44,0.883
98,875.00,676.00,29.43,186.99,640.28,0.896
99,889.00,854.00,30.78,181.29,702.08,0.904
100,990.00,747.00,31.46,178.38,726.04,0.883
101,519.00,583.00,32.86,184.25,799.65,0.900
102,585.00,541.00,32.62,185.85,790.28,0.898
103,731.00,572.00,31.55,186.03,735.42,0.903
104,812.00,493.00,32.68,184.63,785.76,0.889
105,414.00,724.00,31.12,183.33,713.54,0.897
106,788.00,978.00,31.63,178.33,733.68,0.892
108,550.00,927.00,30.93,181.86,697.57,0.902
109,489.00,404.00,31.43,186.85,723.96,0.892
110,515.00,750.00,33.03,181.71,807.99,0.897
111,859.00,396.00,31.86,186.64,750.69,0.880
112,444.00,919.00,32.17,180.63,763.89,0.891
113,418.00,589.00,34.62,181.47,889.93,0.902
114,549.00,771.00,30.73,184.83,706.94,0.880
115,784.00,671.00,32.07,184.22,756.94,0.883
116,625.00,539.00,31.29,185.74,726.74,0.884
118,571.00,647.00,30.80,187.34,693.06,0.880
119,941.00,390.00,31.56,185.59,729.51,0.899
