Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,395.00,670.00,61.87,171.88,2871.97,0.893
1,519.00,431.00,44.49,187.55,1456.75,0.889
2,475.00,686.00,46.75,180.56,1629.07,0.888
3,752.00,821.00,48.98,176.40,1760.55,0.892
4,448.00,466.00,46.89,186.07,1606.92,0.887
5,502.00,620.00,46.31,183.66,1558.48,0.888
6,519.00,709.00,46.96,181.35,1618.69,0.886
7,910.00,692.00,43.43,183.35,1389.62,0.897
8,663.00,659.00,48.35,181.14,1728.72,0.887
9,522.00,662.00,59.68,172.25,2664.36,0.890
10,781.00,632.00,41.97,187.50,1296.89,0.897
11,516.00,833.00,48.55,178.13,1738.41,0.892
12,407.00,810.00,45.90,178.37,1552.94,0.897
13,858.00,641.00,44.25,185.26,1451.90,0.882
14,402.00,551.00,45.75,186.29,1549.48,0.891
15,709.00,817.00,49.13,177.84,1797.92,0.895
16,665.00,545.00,44.37,186.82,1432.53,0.871
17,556.00,725.00,44.26,182.91,1441.52,0.909
18,746.00,532.00,46.30,184.87,1602.08,0.905
19,470.00,534.00,40.65,191.39,1208.30,0.892
20,561.00,685.00,45.59,184.68,1539.10,0.906
21,478.00,815.00,49.30,177.60,1802.77,0.894
22,585.00,469.00,43.52,189.14,1396.54,0.902
23,899.00,383.00,45.50,183.60,1532.18,0.885
24,766.00,899.00,46.85,179.26,1618.69,0.902
25,515.00,791.00,45.96,182.31,1567.47,0.902
26,692.00,579.00,44.16,186.58,1426.99,0.879
27,804.00,532.00,42.84,188.72,1360.55,0.909
28,681.00,508.00,47.17,184.67,1660.90,0.889
29,715.00,614.00,49.23,181.10,1795.85,0.875
30,471.00,645.00,46.49,182.13,1579.24,0.900
31,621.00,770.00,45.95,180.63,1567.47,0.902
32,836.00,557.00,45.31,184.29,1504.50,0.897
33,508.00,468.00,42.66,190.63,1334.26,0.904
34,447.00,745.00,45.57,182.71,1536.33,0.887
35,617.00,814.00,50.63,174.54,1894.12,0.897
36,595.00,707.00,46.08,182.92,1565.40,0.904
37,687.00,436.00,48.11,186.00,1703.11,0.904
38,938.00,534.00,44.41,183.65,1433.91,0.896
39,845.00,602.00,47.03,182.24,1620.07,0.886
40,603.00,668.00,43.06,187.52,1370.24,0.885
41,665.00,470.00,43.41,189.76,1382.70,0.893
42,705.00,655.00,45.95,181.29,1546.02,0.893
43,563.00,426.00,53.27,180.29,2093.43,0.900
44,482.00,726.00,44.75,183.46,1472.66,0.907
45,874.00,574.00,43.80,185.19,1423.53,0.898
46,625.00,469.00,43.44,189.37,1388.24,0.884
47,785.00,852.00,53.11,174.13,2094.12,0.898
48,671.00,836.00,48.20,178.51,1719.72,0.890
49,673.00,619.00,44.55,186.18,1453.29,0.895
50,787.00,377.00,44.84,188.49,1480.28,0.891
51,900.00,810.00,44.35,181.64,1425.61,0.878
52,705.00,859.00,43.78,183.90,1417.99,0.894
53,400.00,448.00,45.25,184.02,1516.26,0.896
54,708.00,399.00,48.45,184.54,1742.56,0.894
55,594.00,956.00,43.88,180.98,1423.53,0.886
56,605.00,435.00,44.37,187.79,1447.06,0.883
57,422.00,631.00,47.79,181.63,1668.51,0.901
58,669.00,745.00,50.14,177.87,1867.13,0.877
59,480.00,899.00,46.29,179.06,1582.01,0.901
60,818.00,406.00,47.94,185.03,1707.27,0.894
61,389.00,409.00,44.61,183.56,1471.97,0.898
62,936.00,462.00,44.93,184.62,1498.96,0.894
63,435.00,691.00,44.12,184.06,1435.29,0.896
64,780.00,467.00,46.33,185.92,1581.31,0.893
65,787.00,711.00,45.86,182.92,1559.86,0.889
66,948.00,739.00,46.69,176.75,1611.76,0.898
67,410.00,767.00,52.61,175.78,2070.59,0.888
68,956.00,427.00,45.21,184.47,1515.57,0.892
69,561.00,575.00,48.42,183.62,1745.33,0.895
70,570.00,383.00,43.76,189.06,1409.69,0.889
71,626.00,626.00,68.55,169.86,3543.25,0.897
72,384.00,514.00,45.46,185.42,1525.26,0.897
73,543.00,619.00,45.46,183.60,1539.10,0.906
74,636.00,689.00,42.31,187.26,1318.34,0.903
75,936.00,614.00,56.96,171.23,2395.85,0.890
76,818.00,448.00,48.49,181.25,1752.25,0.899
77,594.00,916.00,43.65,182.72,1414.53,0.901
78,920.00,499.00,42.94,186.96,1364.71,0.899
79,895.00,464.00,44.88,186.53,1494.12,0.899
80,771.00,564.00,44.80,186.50,1483.74,0.902
81,630.00,728.00,46.09,181.24,1554.33,0.902
82,603.00,505.00,44.07,188.41,1420.07,0.904
83,651.00,583.00,48.48,183.67,1728.03,0.894
84,851.00,476.00,43.25,188.22,1378.55,0.878
85,635.00,895.00,43.44,183.28,1389.62,0.897
86,713.00,776.00,43.98,183.45,1427.68,0.900
87,781.00,427.00,44.03,186.89,1445.67,0.887
88,457.00,606.00,48.24,180.59,1725.95,0.885
89,750.00,693.00,46.31,181.88,1561.94,0.905
90,601.00,876.00,43.22,183.29,1373.01,0.904
91,808.00,893.00,48.90,177.07,1754.33,0.892
92,563.00,502.00,45.89,186.70,1538.41,0.909
93,634.00,855.00,44.13,183.46,1440.14,0.908
94,755.00,603.00,43.71,186.40,1417.99,0.894
95,776.00,507.00,40.03,192.67,1182.70,0.901
96,924.00,571.00,43.89,185.73,1417.99,0.894
97,672.00,701.00,44.12,182.47,1433.91,0.883
98,875.00,676.00,41.55,186.99,1276.12,0.896
99,889.00,854.00,43.45,181.29,1399.31,0.904
100,990.00,747.00,44.42,178.38,1447.06,0.883
101,519.00,583.00,46.39,184.25,1593.77,0.900
102,585.00,541.00,46.05,185.85,1575.09,0.898
103,731.00,572.00,44.55,186.03,1465.74,0.903
104,812.00,493.00,46.14,184.63,1566.09,0.889
105,414.00,724.00,43.93,183.33,1422.15,0.897
106,788.00,978.00,44.65,178.33,1462.28,0.892
107,897.00,541.00,47.75,180.40,1685.81,0.903
108,550.00,927.00,43.67,181.86,1390.31,0.902
109,489.00,404.00,44.37,186.85,1442.91,0.892
110,515.00,750.00,46.63,181.71,1610.38,0.897
111,859.00,396.00,44.97,186.64,1496.19,0.880
112,444.00,919.00,45.41,180.63,1522.49,0.891
113,418.00,589.00,48.87,181.47,1773.70,0.902
114,549.00,771.00,43.39,184.83,1409.00,0.880
115,784.00,671.00,45.27,184.22,1508.65,0.883
116,625.00,539.00,44.18,185.74,1448.44,0.884
117,438.00,417.00,72.52,167.20,3929.41,0.893
118,571.00,647.00,43.48,187.34,1381.31,0.880
119,941.00,390.00,44.55,185.59,1453.98,0.899
120,646.00,436.00,44.46,187.06,1469.20,0.896
121,478.00,571.00,44.27,186.29,1454.67,0.896
122,547.00,466.00,43.92,189.47,1412.46,0.903
123,551.00,852.00,40.96,185.83,1222.84,0.880
124,480.00,443.00,43.25,190.58,1379.93,0.879
125,881.00,503.00,45.48,185.17,1526.64,0.886
126,478.00,495.00,48.48,182.54,1737.72,0.888
127,383.00,624.00,43.01,185.85,1355.71,0.910
128,667.00,960.00,43.84,181.99,1405.54,0.899
129,752.00,778.00,46.03,180.78,1549.48,0.875
130,433.00,523.00,46.32,184.72,1597.92,0.890
131,934.00,922.00,44.40,174.28,1409.69,0.889
