XY_Distance,BF_Mask_ID,BF_Center_X_px,BF_Center_Y_px,BF_Diameter_μm,BF_Mean_Intensity,BF_Area_μm²,BF_Circularity,F_Mask_ID,F_Center_X_px,F_Center_Y_px,F_Diameter_μm,F_Mean_Intensity,F_Area_μm²,F_Circularity
2.0,0.0,395.0,670.0,61.87,171.88,2871.97,0.893,11.0,395.0,668.0,63.09,50.91,2954.33,0.892
1.0,1.0,519.0,431.0,44.49,187.55,1456.75,0.889,50.0,519.0,430.0,46.18,39.94,1541.87,0.879
2.0,2.0,475.0,686.0,46.75,180.56,1629.07,0.888,0.0,475.0,684.0,48.79,44.53,1748.1,0.892
3.0,3.0,752.0,821.0,48.98,176.4,1760.55,0.892,140.0,752.0,818.0,51.52,45.81,1892.73,0.886
3.0,3.0,752.0,821.0,48.98,176.4,1760.55,0.892,153.0,752.0,818.0,51.66,45.07,1929.41,0.885
3.0,3.0,752.0,821.0,48.98,176.4,1760.55,0.892,203.0,752.0,818.0,51.66,46.89,1933.56,0.887
3.1622776601683795,5.0,502.0,620.0,46.31,183.66,1558.48,0.888,92.0,503.0,617.0,47.51,45.76,1605.54,0.887
2.23606797749979,6.0,519.0,709.0,46.96,181.35,1618.69,0.886,20.0,520.0,707.0,48.76,45.08,1741.87,0.886
2.23606797749979,7.0,910.0,692.0,43.43,183.35,1389.62,0.897,132.0,911.0,690.0,46.11,41.9,1556.4,0.879
2.8284271247461903,8.0,663.0,659.0,48.35,181.14,1728.72,0.887,27.0,665.0,657.0,50.72,47.06,1867.82,0.889
3.0,9.0,522.0,662.0,59.68,172.25,2664.36,0.89,67.0,522.0,659.0,60.56,53.64,2729.41,0.878
2.0,11.0,516.0,833.0,48.55,178.13,1738.41,0.892,16.0,516.0,831.0,51.11,45.5,1892.73,0.886
2.23606797749979,12.0,407.0,810.0,45.9,178.37,1552.94,0.897,98.0,408.0,808.0,47.95,41.94,1686.51,0.911
1.4142135623730951,13.0,858.0,641.0,44.25,185.26,1451.9,0.882,30.0,859.0,640.0,47.24,43.6,1643.6,0.899
2.23606797749979,14.0,402.0,551.0,45.75,186.29,1549.48,0.891,54.0,403.0,549.0,48.3,41.52,1689.97,0.882
2.0,15.0,709.0,817.0,49.13,177.84,1797.92,0.895,32.0,709.0,815.0,51.56,46.79,1916.26,0.882
3.0,16.0,665.0,545.0,44.37,186.82,1432.53,0.871,45.0,665.0,542.0,46.51,43.37,1561.25,0.873
2.23606797749979,19.0,470.0,534.0,40.65,191.39,1208.3,0.892,33.0,471.0,532.0,42.43,40.75,1292.04,0.898
2.0,20.0,561.0,685.0,45.59,184.68,1539.1,0.906,53.0,561.0,683.0,48.29,44.7,1703.11,0.892
1.4142135623730951,22.0,585.0,469.0,43.52,189.14,1396.54,0.902,99.0,586.0,468.0,46.0,43.34,1495.5,0.883
2.8284271247461903,23.0,899.0,383.0,45.5,183.6,1532.18,0.885,91.0,901.0,381.0,48.38,43.14,1699.65,0.872
1.0,24.0,766.0,899.0,46.85,179.26,1618.69,0.902,49.0,766.0,898.0,49.24,46.14,1769.55,0.9
2.0,24.0,766.0,899.0,46.85,179.26,1618.69,0.902,241.0,766.0,897.0,50.07,46.25,1825.61,0.882
2.0,26.0,692.0,579.0,44.16,186.58,1426.99,0.879,104.0,692.0,577.0,46.55,43.97,1553.63,0.889
3.1622776601683795,27.0,804.0,532.0,42.84,188.72,1360.55,0.909,24.0,807.0,531.0,45.84,42.64,1553.63,0.906
2.23606797749979,29.0,715.0,614.0,49.23,181.1,1795.85,0.875,44.0,716.0,612.0,51.0,47.28,1925.95,0.886
2.0,30.0,471.0,645.0,46.49,182.13,1579.24,0.9,133.0,471.0,643.0,47.74,45.39,1654.67,0.878
1.0,30.0,471.0,645.0,46.49,182.13,1579.24,0.9,634.0,471.0,644.0,48.13,46.32,1695.5,0.896
1.0,31.0,621.0,770.0,45.95,180.63,1567.47,0.902,22.0,621.0,769.0,48.11,44.12,1713.49,0.879
1.0,33.0,508.0,468.0,42.66,190.63,1334.26,0.904,14.0,508.0,467.0,44.89,41.52,1424.91,0.869
1.4142135623730951,37.0,687.0,436.0,48.11,186.0,1703.11,0.904,10.0,688.0,435.0,50.05,45.05,1831.83,0.893
1.4142135623730951,38.0,938.0,534.0,44.41,183.65,1433.91,0.896,25.0,939.0,533.0,46.7,42.51,1577.16,0.89
2.23606797749979,39.0,845.0,602.0,47.03,182.24,1620.07,0.886,134.0,846.0,600.0,49.41,44.94,1773.7,0.891
1.4142135623730951,39.0,845.0,602.0,47.03,182.24,1620.07,0.886,517.0,846.0,601.0,50.52,44.82,1826.99,0.888
2.23606797749979,40.0,603.0,668.0,43.06,187.52,1370.24,0.885,61.0,604.0,666.0,45.44,44.1,1487.2,0.895
1.0,41.0,665.0,470.0,43.41,189.76,1382.7,0.893,17.0,665.0,469.0,45.63,42.91,1514.88,0.883
2.23606797749979,42.0,705.0,655.0,45.95,181.29,1546.02,0.893,48.0,706.0,653.0,47.87,44.69,1649.13,0.886
2.0,43.0,563.0,426.0,53.27,180.29,2093.43,0.9,29.0,563.0,424.0,55.22,46.2,2242.91,0.894
1.0,43.0,563.0,426.0,53.27,180.29,2093.43,0.9,334.0,563.0,425.0,55.38,44.92,2246.37,0.888
2.0,47.0,785.0,852.0,53.11,174.13,2094.12,0.898,62.0,785.0,850.0,55.26,49.91,2251.21,0.901
2.0,48.0,671.0,836.0,48.2,178.51,1719.72,0.89,31.0,671.0,834.0,50.17,46.09,1809.0,0.885
2.0,51.0,900.0,810.0,44.35,181.64,1425.61,0.878,109.0,900.0,808.0,46.08,43.28,1548.1,0.902
1.0,53.0,400.0,448.0,45.25,184.02,1516.26,0.896,65.0,400.0,447.0,47.59,38.32,1617.99,0.882
2.0,54.0,708.0,399.0,48.45,184.54,1742.56,0.894,41.0,708.0,397.0,50.59,45.4,1854.67,0.896
4.123105625617661,55.0,594.0,956.0,43.88,180.98,1423.53,0.886,137.0,595.0,952.0,47.11,42.3,1593.08,0.88
1.0,56.0,605.0,435.0,44.37,187.79,1447.06,0.883,38.0,605.0,434.0,46.37,42.5,1548.79,0.866
2.23606797749979,57.0,422.0,631.0,47.79,181.63,1668.51,0.901,139.0,423.0,629.0,48.96,45.74,1728.72,0.876
3.1622776601683795,58.0,669.0,745.0,50.14,177.87,1867.13,0.877,116.0,668.0,742.0,51.96,47.59,1986.16,0.891
2.0,59.0,480.0,899.0,46.29,179.06,1582.01,0.901,86.0,480.0,897.0,48.5,44.2,1669.9,0.875
3.1622776601683795,60.0,818.0,406.0,47.94,185.03,1707.27,0.894,35.0,819.0,403.0,50.59,45.46,1862.98,0.89
2.0,62.0,936.0,462.0,44.93,184.62,1498.96,0.894,120.0,936.0,460.0,47.56,43.5,1653.29,0.893
2.23606797749979,62.0,936.0,462.0,44.93,184.62,1498.96,0.894,244.0,935.0,460.0,49.2,44.79,1720.42,0.887
2.23606797749979,64.0,780.0,467.0,46.33,185.92,1581.31,0.893,95.0,781.0,465.0,48.86,44.94,1716.96,0.888
1.0,65.0,787.0,711.0,45.86,182.92,1559.86,0.889,18.0,787.0,710.0,48.22,45.25,1707.27,0.894
2.0,65.0,787.0,711.0,45.86,182.92,1559.86,0.889,246.0,787.0,709.0,49.95,45.02,1769.55,0.878
1.0,66.0,948.0,739.0,46.69,176.75,1611.76,0.898,8.0,948.0,738.0,49.16,43.5,1793.77,0.893
1.0,66.0,948.0,739.0,46.69,176.75,1611.76,0.898,222.0,948.0,738.0,49.88,45.83,1840.83,0.879
2.23606797749979,69.0,561.0,575.0,48.42,183.62,1745.33,0.895,89.0,562.0,573.0,51.21,47.48,1894.81,0.879
2.0,69.0,561.0,575.0,48.42,183.62,1745.33,0.895,374.0,561.0,573.0,51.37,47.43,1921.8,0.884
2.23606797749979,71.0,626.0,626.0,68.55,169.86,3543.25,0.897,56.0,627.0,624.0,69.05,61.14,3528.03,0.875
2.23606797749979,71.0,626.0,626.0,68.55,169.86,3543.25,0.897,647.0,627.0,624.0,69.59,60.23,3578.55,0.874
2.23606797749979,72.0,384.0,514.0,45.46,185.42,1525.26,0.897,42.0,385.0,512.0,46.97,41.0,1602.08,0.893
2.23606797749979,73.0,543.0,619.0,45.46,183.6,1539.1,0.906,55.0,544.0,617.0,47.88,45.39,1639.45,0.886
2.0,74.0,636.0,689.0,42.31,187.26,1318.34,0.903,78.0,636.0,687.0,44.8,42.93,1444.98,0.89
1.0,75.0,936.0,614.0,56.96,171.23,2395.85,0.89,19.0,936.0,613.0,58.78,50.21,2565.4,0.89
0.0,75.0,936.0,614.0,56.96,171.23,2395.85,0.89,528.0,936.0,614.0,56.53,46.35,2265.05,0.853
2.0,75.0,936.0,614.0,56.96,171.23,2395.85,0.89,623.0,936.0,612.0,60.73,46.71,2684.43,0.887
2.23606797749979,76.0,818.0,448.0,48.49,181.25,1752.25,0.899,3.0,819.0,446.0,50.59,45.69,1868.51,0.892
2.23606797749979,76.0,818.0,448.0,48.49,181.25,1752.25,0.899,247.0,819.0,446.0,50.97,45.76,1914.19,0.888
2.0,78.0,920.0,499.0,42.94,186.96,1364.71,0.899,72.0,920.0,497.0,45.48,42.59,1497.58,0.888
1.4142135623730951,79.0,895.0,464.0,44.88,186.53,1494.12,0.899,111.0,894.0,463.0,47.76,44.44,1660.21,0.886
1.0,79.0,895.0,464.0,44.88,186.53,1494.12,0.899,204.0,895.0,463.0,48.51,44.89,1716.26,0.88
2.0,80.0,771.0,564.0,44.8,186.5,1483.74,0.902,26.0,771.0,562.0,47.59,44.56,1638.75,0.893
2.0,80.0,771.0,564.0,44.8,186.5,1483.74,0.902,200.0,771.0,562.0,48.33,45.02,1685.81,0.875
2.23606797749979,82.0,603.0,505.0,44.07,188.41,1420.07,0.904,83.0,604.0,503.0,45.87,44.24,1505.19,0.901
2.23606797749979,83.0,651.0,583.0,48.48,183.67,1728.03,0.894,34.0,652.0,581.0,50.23,47.54,1822.84,0.892
3.1622776601683795,83.0,651.0,583.0,48.48,183.67,1728.03,0.894,631.0,652.0,580.0,52.61,46.35,1946.71,0.885
1.0,84.0,851.0,476.0,43.25,188.22,1378.55,0.878,46.0,851.0,475.0,46.43,42.39,1568.86,0.891
2.0,84.0,851.0,476.0,43.25,188.22,1378.55,0.878,633.0,851.0,474.0,46.86,44.62,1628.37,0.896
2.0,85.0,635.0,895.0,43.44,183.28,1389.62,0.897,122.0,635.0,893.0,45.81,42.51,1516.96,0.888
2.8284271247461903,87.0,781.0,427.0,44.03,186.89,1445.67,0.887,146.0,783.0,425.0,46.02,42.67,1525.26,0.897
2.23606797749979,88.0,457.0,606.0,48.24,180.59,1725.95,0.885,51.0,458.0,604.0,50.39,43.86,1858.82,0.888
2.23606797749979,88.0,457.0,606.0,48.24,180.59,1725.95,0.885,642.0,458.0,604.0,51.45,45.0,1898.27,0.884
2.0,89.0,750.0,693.0,46.31,181.88,1561.94,0.905,37.0,750.0,691.0,47.98,45.38,1633.22,0.886
3.0,91.0,808.0,893.0,48.9,177.07,1754.33,0.892,75.0,808.0,890.0,51.59,45.9,1942.56,0.894
1.4142135623730951,92.0,563.0,502.0,45.89,186.7,1538.41,0.909,82.0,564.0,501.0,47.43,44.01,1647.06,0.898
2.23606797749979,93.0,634.0,855.0,44.13,183.46,1440.14,0.908,142.0,635.0,853.0,46.89,43.01,1613.15,0.871
1.0,96.0,924.0,571.0,43.89,185.73,1417.99,0.894,108.0,924.0,570.0,46.21,42.34,1543.94,0.888
2.23606797749979,97.0,672.0,701.0,44.12,182.47,1433.91,0.883,87.0,673.0,699.0,46.23,43.72,1561.94,0.893
1.0,99.0,889.0,854.0,43.45,181.29,1399.31,0.904,102.0,889.0,853.0,46.96,42.14,1575.09,0.898
2.23606797749979,101.0,519.0,583.0,46.39,184.25,1593.77,0.9,85.0,520.0,581.0,48.81,45.74,1727.34,0.886
2.23606797749979,102.0,585.0,541.0,46.05,185.85,1575.09,0.898,2.0,586.0,539.0,48.75,45.47,1703.11,0.877
2.0,105.0,414.0,724.0,43.93,183.33,1422.15,0.897,15.0,414.0,722.0,46.25,41.94,1557.09,0.887
2.0,105.0,414.0,724.0,43.93,183.33,1422.15,0.897,649.0,414.0,722.0,47.27,42.8,1609.0,0.892
2.0,106.0,788.0,978.0,44.65,178.33,1462.28,0.892,59.0,788.0,976.0,47.56,41.48,1666.44,0.897
3.1622776601683795,108.0,550.0,927.0,43.67,181.86,1390.31,0.902,135.0,551.0,924.0,45.93,42.75,1541.87,0.89
1.0,109.0,489.0,404.0,44.37,186.85,1442.91,0.892,7.0,489.0,403.0,46.55,37.77,1568.86,0.886
2.0,110.0,515.0,750.0,46.63,181.71,1610.38,0.897,9.0,515.0,748.0,48.92,44.46,1759.86,0.884
2.23606797749979,111.0,859.0,396.0,44.97,186.64,1496.19,0.88,21.0,860.0,394.0,47.54,42.7,1630.45,0.884
2.0,112.0,444.0,919.0,45.41,180.63,1522.49,0.891,143.0,444.0,917.0,47.64,43.45,1631.14,0.881
2.23606797749979,112.0,444.0,919.0,45.41,180.63,1522.49,0.891,648.0,445.0,917.0,48.74,45.15,1709.34,0.888
2.23606797749979,114.0,549.0,771.0,43.39,184.83,1409.0,0.88,43.0,550.0,769.0,46.89,42.41,1571.63,0.887
2.23606797749979,115.0,784.0,671.0,45.27,184.22,1508.65,0.883,117.0,785.0,669.0,47.08,44.99,1644.29,0.892
1.4142135623730951,117.0,438.0,417.0,72.52,167.2,3929.41,0.893,13.0,439.0,416.0,72.33,52.34,3906.57,0.89
1.4142135623730951,117.0,438.0,417.0,72.52,167.2,3929.41,0.893,643.0,439.0,416.0,72.51,51.11,3941.18,0.891
1.4142135623730951,120.0,646.0,436.0,44.46,187.06,1469.2,0.896,64.0,645.0,435.0,46.45,43.08,1558.48,0.877
1.0,122.0,547.0,466.0,43.92,189.47,1412.46,0.903,84.0,547.0,465.0,45.78,42.34,1508.65,0.883
1.0,122.0,547.0,466.0,43.92,189.47,1412.46,0.903,639.0,547.0,465.0,46.37,43.36,1550.87,0.899
2.0,123.0,551.0,852.0,40.96,185.83,1222.84,0.88,79.0,551.0,850.0,42.9,40.84,1332.87,0.878
1.0,126.0,478.0,495.0,48.48,182.54,1737.72,0.888,81.0,478.0,494.0,50.08,41.99,1844.29,0.888
2.0,126.0,478.0,495.0,48.48,182.54,1737.72,0.888,240.0,478.0,493.0,49.42,42.04,1667.82,0.893
2.0,127.0,383.0,624.0,43.01,185.85,1355.71,0.91,105.0,383.0,622.0,45.09,40.61,1485.12,0.898
2.0,127.0,383.0,624.0,43.01,185.85,1355.71,0.91,207.0,383.0,622.0,45.61,43.89,1544.64,0.88
3.0,128.0,667.0,960.0,43.84,181.99,1405.54,0.899,90.0,667.0,957.0,46.26,41.83,1593.08,0.891
2.23606797749979,130.0,433.0,523.0,46.32,184.72,1597.92,0.89,76.0,434.0,521.0,48.3,41.31,1681.66,0.889
1.4142135623730951,130.0,433.0,523.0,46.32,184.72,1597.92,0.89,590.0,434.0,522.0,48.31,40.83,1689.27,0.896
2.23606797749979,134.0,414.0,488.0,43.87,186.94,1420.76,0.884,131.0,415.0,486.0,45.69,38.69,1521.11,0.883
3.1622776601683795,136.0,408.0,861.0,44.04,183.26,1416.61,0.893,4.0,409.0,858.0,46.15,40.58,1579.93,0.892
3.1622776601683795,136.0,408.0,861.0,44.04,183.26,1416.61,0.893,632.0,409.0,858.0,46.46,42.57,1597.23,0.882
3.0,137.0,523.0,881.0,45.49,179.51,1542.56,0.899,113.0,523.0,878.0,47.89,40.62,1664.36,0.899
3.0,137.0,523.0,881.0,45.49,179.51,1542.56,0.899,376.0,523.0,878.0,46.03,41.37,1440.14,0.851
2.0,138.0,832.0,980.0,44.47,175.65,1445.67,0.882,114.0,832.0,978.0,47.05,40.7,1617.3,0.901
1.4142135623730951,139.0,581.0,609.0,42.69,189.3,1348.1,0.901,93.0,582.0,608.0,45.36,44.42,1448.44,0.884
2.0,140.0,830.0,775.0,43.55,183.69,1391.7,0.89,112.0,830.0,773.0,45.79,42.34,1543.25,0.891
1.0,142.0,531.0,393.0,46.34,185.81,1567.47,0.885,52.0,531.0,392.0,47.73,40.2,1663.67,0.879
1.0,143.0,482.0,940.0,46.03,178.33,1570.24,0.903,106.0,482.0,939.0,48.04,43.44,1671.97,0.895
2.23606797749979,145.0,984.0,559.0,48.98,177.75,1766.09,0.906,66.0,983.0,557.0,51.4,45.81,1901.73,0.897
2.0,146.0,979.0,606.0,43.49,182.34,1404.84,0.895,138.0,979.0,604.0,46.27,43.05,1496.19,0.892
3.0,147.0,672.0,791.0,55.84,172.96,2326.64,0.896,70.0,672.0,788.0,57.2,50.7,2417.3,0.891
2.23606797749979,149.0,478.0,857.0,47.62,178.78,1674.05,0.893,60.0,479.0,855.0,49.62,42.73,1815.22,0.907
2.23606797749979,150.0,993.0,518.0,45.44,183.9,1523.18,0.876,68.0,992.0,516.0,48.06,43.82,1678.2,0.879
2.0,151.0,792.0,759.0,48.35,178.93,1715.57,0.888,126.0,792.0,757.0,50.85,45.21,1899.65,0.889
1.0,152.0,907.0,424.0,48.22,182.32,1710.73,0.888,28.0,907.0,423.0,51.2,45.05,1894.81,0.879
1.0,152.0,907.0,424.0,48.22,182.32,1710.73,0.888,242.0,907.0,423.0,51.34,45.15,1920.42,0.873
2.0,153.0,442.0,560.0,36.83,195.13,990.31,0.908,124.0,442.0,558.0,38.87,37.72,1101.04,0.884
2.0,155.0,931.0,875.0,62.9,164.05,2938.41,0.893,97.0,931.0,873.0,64.3,54.67,3076.12,0.891
2.0,156.0,742.0,966.0,46.37,177.87,1572.32,0.896,73.0,742.0,964.0,48.75,43.61,1764.71,0.894
2.23606797749979,158.0,748.0,652.0,43.94,185.12,1433.91,0.913,74.0,749.0,650.0,47.02,43.78,1584.08,0.906
1.4142135623730951,158.0,748.0,652.0,43.94,185.12,1433.91,0.913,243.0,749.0,651.0,48.94,44.73,1632.53,0.898
2.8284271247461903,159.0,641.0,504.0,42.58,189.55,1314.88,0.891,1.0,643.0,502.0,44.96,42.47,1460.21,0.895
2.0,161.0,914.0,772.0,44.48,179.7,1453.98,0.887,57.0,914.0,770.0,46.83,43.47,1592.39,0.899
3.1622776601683795,163.0,836.0,859.0,44.35,180.86,1448.44,0.901,58.0,837.0,856.0,46.77,43.48,1571.63,0.899
3.0,163.0,836.0,859.0,44.35,180.86,1448.44,0.901,249.0,836.0,856.0,47.25,43.87,1632.53,0.866
3.0,164.0,956.0,582.0,30.69,200.77,683.04,0.882,152.0,956.0,579.0,31.69,33.69,691.35,0.876
3.0,166.0,743.0,866.0,43.77,182.67,1422.84,0.889,130.0,743.0,863.0,46.56,43.86,1550.17,0.895
2.23606797749979,168.0,513.0,918.0,40.42,183.77,1205.54,0.909,107.0,514.0,916.0,42.63,40.59,1268.51,0.881
2.0,169.0,711.0,697.0,43.47,183.82,1387.54,0.905,129.0,711.0,695.0,45.96,43.38,1491.35,0.905
2.0,171.0,850.0,897.0,46.77,176.83,1611.76,0.882,94.0,850.0,895.0,49.5,44.01,1737.72,0.894
2.0,171.0,850.0,897.0,46.77,176.83,1611.76,0.882,218.0,850.0,895.0,49.5,45.0,1765.4,0.893
3.0,172.0,708.0,901.0,46.9,179.56,1627.68,0.899,6.0,708.0,898.0,49.64,45.19,1811.76,0.902
3.0,173.0,446.0,961.0,46.8,180.72,1611.76,0.893,136.0,446.0,958.0,49.0,45.21,1733.56,0.886
3.1622776601683795,174.0,703.0,541.0,40.69,191.23,1226.3,0.905,103.0,704.0,538.0,43.4,42.24,1373.01,0.887
1.0,175.0,795.0,595.0,43.88,185.52,1411.07,0.89,127.0,795.0,594.0,46.21,43.78,1558.48,0.888
1.4142135623730951,177.0,614.0,396.0,46.03,185.5,1564.01,0.891,12.0,615.0,395.0,48.11,41.34,1727.34,0.886
2.23606797749979,177.0,614.0,396.0,46.03,185.5,1564.01,0.891,383.0,615.0,394.0,48.12,42.11,1634.6,0.871
2.0,178.0,992.0,706.0,48.2,176.88,1719.03,0.893,71.0,992.0,704.0,50.91,46.76,1919.03,0.898
2.23606797749979,179.0,717.0,510.0,33.19,203.16,808.3,0.897,96.0,718.0,508.0,35.58,36.95,896.19,0.892
1.4142135623730951,180.0,961.0,494.0,42.66,187.69,1339.1,0.886,110.0,960.0,493.0,45.72,41.69,1507.96,0.896
1.4142135623730951,180.0,961.0,494.0,42.66,187.69,1339.1,0.886,248.0,960.0,493.0,46.19,42.6,1548.79,0.883
1.4142135623730951,181.0,986.0,377.0,43.53,185.96,1393.08,0.879,404.0,987.0,376.0,46.3,42.76,1555.02,0.878
2.0,186.0,976.0,655.0,49.16,177.18,1763.32,0.893,123.0,976.0,653.0,51.79,45.15,1961.25,0.895
1.4142135623730951,189.0,994.0,415.0,43.6,183.55,1405.54,0.886,5.0,995.0,414.0,46.78,45.36,1561.25,0.89
2.23606797749979,190.0,630.0,935.0,46.38,179.72,1586.85,0.896,100.0,631.0,933.0,48.51,44.63,1729.41,0.89
2.23606797749979,194.0,671.0,880.0,44.12,182.21,1434.6,0.892,47.0,672.0,878.0,46.47,42.68,1543.25,0.903
2.23606797749979,196.0,893.0,941.0,45.53,177.69,1485.12,0.898,141.0,894.0,939.0,48.06,42.53,1659.52,0.888
1.0,197.0,711.0,736.0,45.74,182.41,1525.95,0.889,39.0,711.0,735.0,47.64,44.08,1669.2,0.894
2.0,197.0,711.0,736.0,45.74,182.41,1525.95,0.889,624.0,711.0,734.0,48.36,44.87,1678.2,0.886
2.0,198.0,863.0,437.0,47.48,182.66,1683.04,0.901,36.0,863.0,435.0,50.47,45.47,1823.53,0.878
3.1622776601683795,199.0,555.0,968.0,48.57,176.03,1758.48,0.894,150.0,556.0,965.0,50.6,44.84,1863.67,0.889
2.23606797749979,203.0,507.0,544.0,45.69,185.63,1547.4,0.882,63.0,508.0,542.0,47.76,45.17,1649.83,0.883
2.23606797749979,205.0,563.0,889.0,46.19,180.66,1581.31,0.893,119.0,564.0,887.0,48.55,44.38,1720.42,0.882
1.0,206.0,819.0,633.0,43.77,184.86,1386.16,0.899,69.0,819.0,632.0,45.72,42.74,1517.65,0.885
2.23606797749979,207.0,752.0,398.0,46.02,186.86,1550.87,0.892,77.0,753.0,396.0,48.15,42.8,1706.57,0.891
2.23606797749979,211.0,408.0,941.0,47.75,179.66,1675.43,0.905,128.0,409.0,939.0,49.94,44.58,1806.23,0.877
3.0,212.0,988.0,916.0,42.55,170.53,1321.8,0.901,147.0,988.0,913.0,44.49,48.85,1452.6,0.898
2.23606797749979,213.0,744.0,487.0,45.7,185.32,1523.18,0.876,23.0,746.0,486.0,47.8,44.54,1680.97,0.885
3.0,214.0,891.0,901.0,46.07,177.18,1554.33,0.886,115.0,891.0,898.0,48.29,44.27,1648.44,0.883
1.0,215.0,546.0,537.0,42.54,187.92,1325.95,0.886,121.0,546.0,536.0,43.84,42.47,1383.39,0.885
2.0,218.0,813.0,944.0,46.45,177.16,1562.63,0.902,125.0,813.0,942.0,48.06,43.41,1702.42,0.9
2.23606797749979,218.0,813.0,944.0,46.45,177.16,1562.63,0.902,609.0,814.0,942.0,49.05,43.54,1777.16,0.885
2.23606797749979,219.0,900.0,732.0,49.26,176.0,1782.01,0.869,40.0,899.0,730.0,51.24,45.76,1936.33,0.894
3.1622776601683795,220.0,431.0,1001.0,47.0,173.66,1636.68,0.884,118.0,432.0,998.0,49.64,50.29,1829.07,0.881
2.0,222.0,854.0,946.0,45.05,176.76,1485.81,0.907,148.0,854.0,944.0,47.43,42.09,1613.84,0.891
