BF_Mask_ID,BF_Center_X_px,BF_Center_Y_px,BF_Diameter_μm,BF_Mean_Intensity,BF_Area_μm²,BF_Circularity,F_Mask_ID,F_Center_X_px,F_Center_Y_px,F_Diameter_μm,F_Mean_Intensity,F_Area_μm²,F_Circularity
0,395.00,670.00,61.87,171.88,2871.97,0.893,11,395.00,668.00,63.09,50.91,2954.33,0.892
1,519.00,431.00,44.49,187.55,1456.75,0.889,50,519.00,430.00,46.18,39.94,1541.87,0.879
2,475.00,686.00,46.75,180.56,1629.07,0.888,0,475.00,684.00,48.79,44.53,1748.10,0.892
3,752.00,821.00,48.98,176.40,1760.55,0.892,140,752.00,818.00,51.52,45.81,1892.73,0.886
3,752.00,821.00,48.98,176.40,1760.55,0.892,153,752.00,818.00,51.66,45.07,1929.41,0.885
3,752.00,821.00,48.98,176.40,1760.55,0.892,203,752.00,818.00,51.66,46.89,1933.56,0.887
6,519.00,709.00,46.96,181.35,1618.69,0.886,20,520.00,707.00,48.76,45.08,1741.87,0.886
7,910.00,692.00,43.43,183.35,1389.62,0.897,132,911.00,690.00,46.11,41.90,1556.40,0.879
8,663.00,659.00,48.35,181.14,1728.72,0.887,27,665.00,657.00,50.72,47.06,1867.82,0.889
9,522.00,662.00,59.68,172.25,2664.36,0.890,67,522.00,659.00,60.56,53.64,2729.41,0.878
11,516.00,833.00,48.55,178.13,1738.41,0.892,16,516.00,831.00,51.11,45.50,1892.73,0.886
12,407.00,810.00,45.90,178.37,1552.94,0.897,98,408.00,808.00,47.95,41.94,1686.51,0.911
13,858.00,641.00,44.25,185.26,1451.90,0.882,30,859.00,640.00,47.24,43.60,1643.60,0.899
14,402.00,551.00,45.75,186.29,1549.48,0.891,54,403.00,549.00,48.30,41.52,1689.97,0.882
15,709.00,817.00,49.13,177.84,1797.92,0.895,32,709.00,815.00,51.56,46.79,1916.26,0.882
16,665.00,545.00,44.37,186.82,1432.53,0.871,45,665.00,542.00,46.51,43.37,1561.25,0.873
19,470.00,534.00,40.65,191.39,1208.30,0.892,33,471.00,532.00,42.43,40.75,1292.04,0.898
20,561.00,685.00,45.59,184.68,1539.10,0.906,53,561.00,683.00,48.29,44.70,1703.11,0.892
22,585.00,469.00,43.52,189.14,1396.54,0.902,99,586.00,468.00,46.00,43.34,1495.50,0.883
23,899.00,383.00,45.50,183.60,1532.18,0.885,91,901.00,381.00,48.38,43.14,1699.65,0.872
24,766.00,899.00,46.85,179.26,1618.69,0.902,49,766.00,898.00,49.24,46.14,1769.55,0.900
24,766.00,899.00,46.85,179.26,1618.69,0.902,241,766.00,897.00,50.07,46.25,1825.61,0.882
26,692.00,579.00,44.16,186.58,1426.99,0.879,104,692.00,577.00,46.55,43.97,1553.63,0.889
29,715.00,614.00,49.23,181.10,1795.85,0.875,44,716.00,612.00,51.00,47.28,1925.95,0.886
30,471.00,645.00,46.49,182.13,1579.24,0.900,133,471.00,643.00,47.74,45.39,1654.67,0.878
30,471.00,645.00,46.49,182.13,1579.24,0.900,634,471.00,644.00,48.13,46.32,1695.50,0.896
31,621.00,770.00,45.95,180.63,1567.47,0.902,22,621.00,769.00,48.11,44.12,1713.49,0.879
33,508.00,468.00,42.66,190.63,1334.26,0.904,14,508.00,467.00,44.89,41.52,1424.91,0.869
37,687.00,436.00,48.11,186.00,1703.11,0.904,10,688.00,435.00,50.05,45.05,1831.83,0.893
38,938.00,534.00,44.41,183.65,1433.91,0.896,25,939.00,533.00,46.70,42.51,1577.16,0.890
39,845.00,602.00,47.03,182.24,1620.07,0.886,134,846.00,600.00,49.41,44.94,1773.70,0.891
39,845.00,602.00,47.03,182.24,1620.07,0.886,517,846.00,601.00,50.52,44.82,1826.99,0.888
40,603.00,668.00,43.06,187.52,1370.24,0.885,61,604.00,666.00,45.44,44.10,1487.20,0.895
41,665.00,470.00,43.41,189.76,1382.70,0.893,17,665.00,469.00,45.63,42.91,1514.88,0.883
42,705.00,655.00,45.95,181.29,1546.02,0.893,48,706.00,653.00,47.87,44.69,1649.13,0.886
43,563.00,426.00,53.27,180.29,2093.43,0.900,29,563.00,424.00,55.22,46.20,2242.91,0.894
43,563.00,426.00,53.27,180.29,2093.43,0.900,334,563.00,425.00,55.38,44.92,2246.37,0.888
47,785.00,852.00,53.11,174.13,2094.12,0.898,62,785.00,850.00,55.26,49.91,2251.21,0.901
48,671.00,836.00,48.20,178.51,1719.72,0.890,31,671.00,834.00,50.17,46.09,1809.00,0.885
51,900.00,810.00,44.35,181.64,1425.61,0.878,109,900.00,808.00,46.08,43.28,1548.10,0.902
53,400.00,448.00,45.25,184.02,1516.26,0.896,65,400.00,447.00,47.59,38.32,1617.99,0.882
54,708.00,399.00,48.45,184.54,1742.56,0.894,41,708.00,397.00,50.59,45.40,1854.67,0.896
56,605.00,435.00,44.37,187.79,1447.06,0.883,38,605.00,434.00,46.37,42.50,1548.79,0.866
57,422.00,631.00,47.79,181.63,1668.51,0.901,139,423.00,629.00,48.96,45.74,1728.72,0.876
59,480.00,899.00,46.29,179.06,1582.01,0.901,86,480.00,897.00,48.50,44.20,1669.90,0.875
62,936.00,462.00,44.93,184.62,1498.96,0.894,120,936.00,460.00,47.56,43.50,1653.29,0.893
62,936.00,462.00,44.93,184.62,1498.96,0.894,244,935.00,460.00,49.20,44.79,1720.42,0.887
64,780.00,467.00,46.33,185.92,1581.31,0.893,95,781.00,465.00,48.86,44.94,1716.96,0.888
65,787.00,711.00,45.86,182.92,1559.86,0.889,18,787.00,710.00,48.22,45.25,1707.27,0.894
65,787.00,711.00,45.86,182.92,1559.86,0.889,246,787.00,709.00,49.95,45.02,1769.55,0.878
66,948.00,739.00,46.69,176.75,1611.76,0.898,8,948.00,738.00,49.16,43.50,1793.77,0.893
66,948.00,739.00,46.69,176.75,1611.76,0.898,222,948.00,738.00,49.88,45.83,1840.83,0.879
69,561.00,575.00,48.42,183.62,1745.33,0.895,89,562.00,573.00,51.21,47.48,1894.81,0.879
69,561.00,575.00,48.42,183.62,1745.33,0.895,374,561.00,573.00,51.37,47.43,1921.80,0.884
71,626.00,626.00,68.55,169.86,3543.25,0.897,56,627.00,624.00,69.05,61.14,3528.03,0.875
71,626.00,626.00,68.55,169.86,3543.25,0.897,647,627.00,624.00,69.59,60.23,3578.55,0.874
72,384.00,514.00,45.46,185.42,1525.26,0.897,42,385.00,512.00,46.97,41.00,1602.08,0.893
