Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,475.00,684.00,50.58,44.53,1878.35,0.892
1,643.00,502.00,46.60,42.47,1569.01,0.895
2,586.00,539.00,50.54,45.47,1830.01,0.877
3,819.00,446.00,52.44,45.69,2007.73,0.892
4,409.00,858.00,47.84,40.58,1697.65,0.892
5,995.00,414.00,48.49,45.36,1677.57,0.890
6,708.00,898.00,51.45,45.19,1946.76,0.902
7,489.00,403.00,48.25,37.77,1685.75,0.886
8,948.00,738.00,50.96,43.50,1927.42,0.893
9,515.00,748.00,50.71,44.46,1890.99,0.884
10,688.00,435.00,51.89,45.05,1968.32,0.893
11,395.00,668.00,65.39,50.91,3174.45,0.892
13,439.00,416.00,74.97,52.34,4197.65,0.890
14,508.00,467.00,46.53,41.52,1531.08,0.869
15,414.00,722.00,47.94,41.94,1673.11,0.887
16,516.00,831.00,52.98,45.50,2033.76,0.886
17,665.00,469.00,47.30,42.91,1627.75,0.883
18,787.00,710.00,49.98,45.25,1834.47,0.894
20,520.00,707.00,50.54,45.08,1871.65,0.886
21,860.00,394.00,49.27,42.70,1751.93,0.884
22,621.00,769.00,49.87,44.12,1841.17,0.879
23,746.00,486.00,49.54,44.54,1806.22,0.885
24,807.00,531.00,47.52,42.64,1669.39,0.906
25,939.00,533.00,48.40,42.51,1694.68,0.890
26,771.00,562.00,49.33,44.56,1760.86,0.893
27,665.00,657.00,52.57,47.06,2006.99,0.889
28,907.00,423.00,53.07,45.05,2035.99,0.879
29,563.00,424.00,57.24,46.20,2410.02,0.894
30,859.00,640.00,48.96,43.60,1766.06,0.899
31,671.00,834.00,52.00,46.09,1943.78,0.885
32,709.00,815.00,53.45,46.79,2059.04,0.882
33,471.00,532.00,43.98,40.75,1388.31,0.898
34,652.00,581.00,52.07,47.54,1958.66,0.892
35,819.00,403.00,52.44,45.46,2001.78,0.890
36,863.00,435.00,52.31,45.47,1959.40,0.878
37,750.00,691.00,49.74,45.38,1754.91,0.886
38,605.00,434.00,48.07,42.50,1664.19,0.866
39,711.00,735.00,49.39,44.08,1793.58,0.894
40,899.00,730.00,53.12,45.76,2080.61,0.894
41,708.00,397.00,52.44,45.40,1992.86,0.896
42,385.00,512.00,48.69,41.00,1721.45,0.893
43,550.00,769.00,48.60,42.41,1688.73,0.887
44,716.00,612.00,52.87,47.28,2069.45,0.886
45,665.00,542.00,48.21,43.37,1677.57,0.873
46,851.00,475.00,48.13,42.39,1685.75,0.891
47,672.00,878.00,48.17,42.68,1658.24,0.903
48,706.00,653.00,49.62,44.69,1772.01,0.886
49,766.00,898.00,51.05,46.14,1901.40,0.900
