Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,475.00,684.00,48.79,44.53,1748.10,0.892
1,643.00,502.00,44.96,42.47,1460.21,0.895
2,586.00,539.00,48.75,45.47,1703.11,0.877
3,819.00,446.00,50.59,45.69,1868.51,0.892
4,409.00,858.00,46.15,40.58,1579.93,0.892
5,995.00,414.00,46.78,45.36,1561.25,0.890
6,708.00,898.00,49.64,45.19,1811.76,0.902
7,489.00,403.00,46.55,37.77,1568.86,0.886
8,948.00,738.00,49.16,43.50,1793.77,0.893
9,515.00,748.00,48.92,44.46,1759.86,0.884
10,688.00,435.00,50.05,45.05,1831.83,0.893
11,395.00,668.00,63.09,50.91,2954.33,0.892
12,615.00,395.00,48.11,41.34,1727.34,0.886
13,439.00,416.00,72.33,52.34,3906.57,0.890
14,508.00,467.00,44.89,41.52,1424.91,0.869
15,414.00,722.00,46.25,41.94,1557.09,0.887
16,516.00,831.00,51.11,45.50,1892.73,0.886
17,665.00,469.00,45.63,42.91,1514.88,0.883
18,787.00,710.00,48.22,45.25,1707.27,0.894
19,936.00,613.00,58.78,50.21,2565.40,0.890
20,520.00,707.00,48.76,45.08,1741.87,0.886
21,860.00,394.00,47.54,42.70,1630.45,0.884
22,621.00,769.00,48.11,44.12,1713.49,0.879
23,746.00,486.00,47.80,44.54,1680.97,0.885
24,807.00,531.00,45.84,42.64,1553.63,0.906
25,939.00,533.00,46.70,42.51,1577.16,0.890
26,771.00,562.00,47.59,44.56,1638.75,0.893
27,665.00,657.00,50.72,47.06,1867.82,0.889
28,907.00,423.00,51.20,45.05,1894.81,0.879
29,563.00,424.00,55.22,46.20,2242.91,0.894
30,859.00,640.00,47.24,43.60,1643.60,0.899
31,671.00,834.00,50.17,46.09,1809.00,0.885
32,709.00,815.00,51.56,46.79,1916.26,0.882
33,471.00,532.00,42.43,40.75,1292.04,0.898
34,652.00,581.00,50.23,47.54,1822.84,0.892
35,819.00,403.00,50.59,45.46,1862.98,0.890
36,863.00,435.00,50.47,45.47,1823.53,0.878
37,750.00,691.00,47.98,45.38,1633.22,0.886
38,605.00,434.00,46.37,42.50,1548.79,0.866
39,711.00,735.00,47.64,44.08,1669.20,0.894
40,899.00,730.00,51.24,45.76,1936.33,0.894
41,708.00,397.00,50.59,45.40,1854.67,0.896
42,385.00,512.00,46.97,41.00,1602.08,0.893
43,550.00,769.00,46.89,42.41,1571.63,0.887
44,716.00,612.00,51.00,47.28,1925.95,0.886
45,665.00,542.00,46.51,43.37,1561.25,0.873
46,851.00,475.00,46.43,42.39,1568.86,0.891
47,672.00,878.00,46.47,42.68,1543.25,0.903
48,706.00,653.00,47.87,44.69,1649.13,0.886
49,766.00,898.00,49.24,46.14,1769.55,0.900
50,519.00,430.00,46.18,39.94,1541.87,0.879
51,458.00,604.00,50.39,43.86,1858.82,0.888
52,531.00,392.00,47.73,40.20,1663.67,0.879
53,561.00,683.00,48.29,44.70,1703.11,0.892
54,403.00,549.00,48.30,41.52,1689.97,0.882
55,544.00,617.00,47.88,45.39,1639.45,0.886
56,627.00,624.00,69.05,61.14,3528.03,0.875
57,914.00,770.00,46.83,43.47,1592.39,0.899
58,837.00,856.00,46.77,43.48,1571.63,0.899
59,788.00,976.00,47.56,41.48,1666.44,0.897
60,479.00,855.00,49.62,42.73,1815.22,0.907
61,604.00,666.00,45.44,44.10,1487.20,0.895
62,785.00,850.00,55.26,49.91,2251.21,0.901
63,508.00,542.00,47.76,45.17,1649.83,0.883
64,645.00,435.00,46.45,43.08,1558.48,0.877
65,400.00,447.00,47.59,38.32,1617.99,0.882
66,983.00,557.00,51.40,45.81,1901.73,0.897
67,522.00,659.00,60.56,53.64,2729.41,0.878
68,992.00,516.00,48.06,43.82,1678.20,0.879
69,819.00,632.00,45.72,42.74,1517.65,0.885
70,672.00,788.00,57.20,50.70,2417.30,0.891
71,992.00,704.00,50.91,46.76,1919.03,0.898
72,920.00,497.00,45.48,42.59,1497.58,0.888
73,742.00,964.00,48.75,43.61,1764.71,0.894
74,749.00,650.00,47.02,43.78,1584.08,0.906
75,808.00,890.00,51.59,45.90,1942.56,0.894
76,434.00,521.00,48.30,41.31,1681.66,0.889
77,753.00,396.00,48.15,42.80,1706.57,0.891
78,636.00,687.00,44.80,42.93,1444.98,0.890
79,551.00,850.00,42.90,40.84,1332.87,0.878
80,663.00,398.00,47.81,43.08,1682.35,0.897
81,478.00,494.00,50.08,41.99,1844.29,0.888
82,564.00,501.00,47.43,44.01,1647.06,0.898
83,604.00,503.00,45.87,44.24,1505.19,0.901
84,547.00,465.00,45.78,42.34,1508.65,0.883
85,520.00,581.00,48.81,45.74,1727.34,0.886
86,480.00,897.00,48.50,44.20,1669.90,0.875
87,673.00,699.00,46.23,43.72,1561.94,0.893
88,940.00,819.00,51.11,44.26,1911.42,0.898
89,562.00,573.00,51.21,47.48,1894.81,0.879
90,667.00,957.00,46.26,41.83,1593.08,0.891
91,901.00,381.00,48.38,43.14,1699.65,0.872
92,503.00,617.00,47.51,45.76,1605.54,0.887
93,582.00,608.00,45.36,44.42,1448.44,0.884
94,850.00,895.00,49.50,44.01,1737.72,0.894
95,781.00,465.00,48.86,44.94,1716.96,0.888
96,718.00,508.00,35.58,36.95,896.19,0.892
97,931.00,873.00,64.30,54.67,3076.12,0.891
98,408.00,808.00,47.95,41.94,1686.51,0.911
99,586.00,468.00,46.00,43.34,1495.50,0.883
100,631.00,933.00,48.51,44.63,1729.41,0.890
101,479.00,982.00,45.42,42.24,1513.49,0.899
102,889.00,853.00,46.96,42.14,1575.09,0.898
103,704.00,538.00,43.40,42.24,1373.01,0.887
104,692.00,577.00,46.55,43.97,1553.63,0.889
105,383.00,622.00,45.09,40.61,1485.12,0.898
106,482.00,939.00,48.04,43.44,1671.97,0.895
107,514.00,916.00,42.63,40.59,1268.51,0.881
108,924.00,570.00,46.21,42.34,1543.94,0.888
109,900.00,808.00,46.08,43.28,1548.10,0.902
110,960.00,493.00,45.72,41.69,1507.96,0.896
111,894.00,463.00,47.76,44.44,1660.21,0.886
112,830.00,773.00,45.79,42.34,1543.25,0.891
113,523.00,878.00,47.89,40.62,1664.36,0.899
114,832.00,978.00,47.05,40.70,1617.30,0.901
115,891.00,898.00,48.29,44.27,1648.44,0.883
116,668.00,742.00,51.96,47.59,1986.16,0.891
117,785.00,669.00,47.08,44.99,1644.29,0.892
118,432.00,998.00,49.64,50.29,1829.07,0.881
119,564.00,887.00,48.55,44.38,1720.42,0.882
120,936.00,460.00,47.56,43.50,1653.29,0.893
121,546.00,536.00,43.84,42.47,1383.39,0.885
122,635.00,893.00,45.81,42.51,1516.96,0.888
123,976.00,653.00,51.79,45.15,1961.25,0.895
124,442.00,558.00,38.87,37.72,1101.04,0.884
125,813.00,942.00,48.06,43.41,1702.42,0.900
126,792.00,757.00,50.85,45.21,1899.65,0.889
127,795.00,594.00,46.21,43.78,1558.48,0.888
128,409.00,939.00,49.94,44.58,1806.23,0.877
129,711.00,695.00,45.96,43.38,1491.35,0.905
130,743.00,863.00,46.56,43.86,1550.17,0.895
131,415.00,486.00,45.69,38.69,1521.11,0.883
132,911.00,690.00,46.11,41.90,1556.40,0.879
133,471.00,643.00,47.74,45.39,1654.67,0.878
134,846.00,600.00,49.41,44.94,1773.70,0.891
135,551.00,924.00,45.93,42.75,1541.87,0.890
136,446.00,958.00,49.00,45.21,1733.56,0.886
137,595.00,952.00,47.11,42.30,1593.08,0.880
138,979.00,604.00,46.27,43.05,1496.19,0.892
139,423.00,629.00,48.96,45.74,1728.72,0.876
140,752.00,818.00,51.52,45.81,1892.73,0.886
141,894.00,939.00,48.06,42.53,1659.52,0.888
142,635.00,853.00,46.89,43.01,1613.15,0.871
143,444.00,917.00,47.64,43.45,1631.14,0.881
144,869.00,783.00,45.67,43.04,1524.57,0.889
145,819.00,821.00,45.78,42.83,1525.26,0.897
146,783.00,425.00,46.02,42.67,1525.26,0.897
147,988.00,913.00,44.49,48.85,1452.60,0.898
148,854.00,944.00,47.43,42.09,1613.84,0.891
149,963.00,961.00,49.87,50.66,1775.78,0.895
150,556.00,965.00,50.60,44.84,1863.67,0.889
151,1001.00,953.00,44.61,50.90,1440.83,0.871
152,956.00,579.00,31.69,33.69,691.35,0.876
153,752.00,818.00,51.66,45.07,1929.41,0.885
154,441.00,658.00,30.59,31.89,631.83,0.892
200,771.00,562.00,48.33,45.02,1685.81,0.875
203,752.00,818.00,51.66,46.89,1933.56,0.887
204,895.00,463.00,48.51,44.89,1716.26,0.880
207,383.00,622.00,45.61,43.89,1544.64,0.880
211,822.00,582.00,22.25,28.93,302.42,0.859
218,850.00,895.00,49.50,45.00,1765.40,0.893
222,948.00,738.00,49.88,45.83,1840.83,0.879
238,854.00,944.00,48.13,42.94,1700.35,0.891
240,478.00,493.00,49.42,42.04,1667.82,0.893
241,766.00,897.00,50.07,46.25,1825.61,0.882
242,907.00,423.00,51.34,45.15,1920.42,0.873
243,749.00,651.00,48.94,44.73,1632.53,0.898
244,935.00,460.00,49.20,44.79,1720.42,0.887
246,787.00,709.00,49.95,45.02,1769.55,0.878
247,819.00,446.00,50.97,45.76,1914.19,0.888
248,960.00,493.00,46.19,42.60,1548.79,0.883
249,836.00,856.00,47.25,43.87,1632.53,0.866
250,80.00,394.00,62.65,52.40,2928.72,0.890
251,339.00,846.00,47.44,40.86,1655.36,0.886
252,296.00,512.00,46.14,37.82,1566.09,0.901
253,151.00,675.00,50.79,37.77,1899.65,0.900
254,136.00,892.00,51.09,38.64,1915.57,0.889
255,126.00,853.00,45.09,35.23,1479.58,0.882
256,310.00,428.00,71.26,51.23,3734.26,0.889
257,362.00,545.00,46.26,39.40,1562.63,0.902
258,186.00,601.00,45.62,36.45,1513.49,0.906
259,242.00,471.00,46.11,42.30,1548.10,0.890
260,228.00,575.00,48.51,39.27,1714.88,0.891
261,222.00,887.00,51.05,42.19,1895.50,0.902
262,111.00,614.00,46.09,34.37,1562.63,0.902
263,133.00,472.00,56.29,51.09,2303.11,0.887
264,23.00,591.00,45.94,33.97,1522.49,0.896
265,368.00,476.00,45.42,37.41,1493.43,0.890
266,342.00,619.00,48.08,40.62,1686.51,0.911
267,43.00,734.00,49.73,37.01,1723.88,0.861
268,187.00,729.00,47.86,37.75,1666.44,0.892
269,101.00,576.00,45.69,36.98,1521.80,0.887
270,110.00,767.00,48.77,37.50,1693.43,0.887
