Diameter_μm,occupancy
8.9,0
21.37,0
46.85,0
42.67,0
48.6,0
46.49,0
49.85,0
31.16,0
48.31,0
47.31,0
43.51,0
46.39,0
45.4,0
45.03,0
46.18,0
46.48,0
45.38,0
46.24,0
45.73,0
46.87,0
45.36,0
59.05,0
47.81,0
45.41,0
17.19,0
16.89,0
47.4,0
44.75,0
46.08,0
51.47,0
46.69,0
45.57,0
47.1,0
49.51,0
47.09,0
49.97,0
42.23,0
45.45,0
45.63,0
45.89,0
61.14,0
48.09,0
45.75,0
38.82,0
37.12,0
45.25,0
47.78,0
45.59,0
44.8,0
45.31,0
41.5,0
43.07,0
46.05,0
46.18,0
47.83,0
45.51,0
51.78,0
46.0,0
50.18,0
45.51,0
51.64,0
44.08,0
45.4,0
46.56,0
45.25,0
48.65,0
45.67,0
45.5,0
50.37,0
49.6,0
47.47,0
50.5,0
48.1,0
50.65,0
47.17,0
50.66,0
45.8,0
45.07,0
46.18,0
45.89,0
44.83,0
47.14,0
50.25,0
47.71,0
46.02,0
49.07,0
45.31,0
48.91,0
47.15,0
48.58,0
42.85,0
47.83,0
47.03,0
45.21,0
45.67,0
51.52,0
46.63,0
47.88,0
50.1,0
46.03,0
47.23,0
45.98,0
47.06,0
45.4,0
45.56,0
41.52,0
43.41,0
44.31,0
47.94,0
48.06,0
46.72,0
46.06,0
47.2,0
45.26,0
48.4,0
46.44,0
45.81,0
46.41,0
45.32,0
49.22,0
46.12,0
44.81,0
46.1,0
49.05,0
40.12,0
45.27,0
48.09,0
47.27,0
45.58,0
46.58,0
46.52,0
48.28,0
45.07,0
46.99,0
47.36,0
44.44,0
45.22,0
47.83,0
47.91,0
50.04,0
50.42,0
49.16,0
50.15,0
45.4,0
45.08,0
46.24,0
47.12,0
47.72,0
47.94,0
44.97,0
43.35,0
45.53,0
46.52,0
45.33,0
28.55,0
41.32,0
44.74,0
41.71,0
47.34,0
47.19,0
50.42,0
47.13,0
15.32,0
51.29,0
46.75,0
46.23,0
49.95,0
46.03,0
74.4,0
48.4,0
44.94,0
50.21,0
44.14,0
45.32,0
51.0,0
46.14,0
44.21,0
51.05,0
46.5,0
59.11,0
46.41,0
22.49,0
18.33,0
42.29,0
45.88,0
48.0,0
51.1,0
47.64,0
48.89,0
46.97,0
47.24,0
52.48,0
47.76,0
45.95,0
45.58,0
45.36,0
46.79,0
48.88,0
43.75,0
49.85,0
47.17,0
47.07,0
47.43,0
44.74,0
50.46,1
48.36,1
48.14,1
48.24,1
45.65,1
47.08,1
48.38,1
50.71,1
47.0,1
44.55,1
48.77,1
46.93,1
46.13,1
50.43,1
45.66,1
46.2,1
47.12,1
44.19,1
50.97,1
45.39,1
49.12,1
49.87,1
46.04,1
48.75,1
44.64,1
45.0,1
47.64,1
44.41,1
51.04,1
48.2,1
47.63,1
44.22,1
42.14,1
47.25,1
45.11,1
47.17,1
48.56,1
45.78,1
47.58,1
45.87,1
47.43,1
50.92,1
46.0,1
50.52,1
44.99,1
30.06,1
49.95,1
22.57,1
19.64,1
46.92,1
47.97,1
45.41,1
44.39,1
45.13,1
44.09,1
48.15,1
51.07,1
48.72,1
46.7,1
47.71,1
49.49,1
44.11,1
47.37,1
47.76,1
44.16,1
45.86,1
45.74,1
51.2,1
49.84,1
47.63,1
49.25,1
47.81,1
50.07,1
58.97,1
62.37,1
45.86,1
50.37,1
45.41,1
45.86,1
50.46,1
49.4,1
64.13,1
50.66,1
49.76,1
48.71,1
45.53,1
50.35,1
47.36,1
47.88,1
45.37,1
45.74,1
47.2,1
47.41,1
49.21,1
50.96,1
45.19,1
48.08,1
42.18,1
49.96,1
34.41,1
44.22,1
45.12,1
45.68,1
56.32,1
43.39,1
45.25,1
46.63,1
48.16,1
46.33,1
48.07,1
45.69,1
45.28,1
49.18,1
45.7,1
45.4,1
44.14,1
47.45,1
50.09,1
50.4,1
44.99,1
46.04,1
45.75,1
48.12,1
45.8,1
45.4,1
45.8,1
48.14,1
45.78,1
47.19,1
45.0,1
46.31,1
45.29,1
48.18,1
45.57,1
44.97,1
46.56,1
50.46,1
45.8,1
45.71,1
49.4,1
45.21,1
47.15,1
47.17,1
46.66,1
45.71,1
45.37,1
41.9,1
45.06,1
48.48,1
48.61,1
48.51,1
45.54,1
44.13,1
46.1,1
45.97,1
31.82,1
47.11,1
50.12,1
49.99,1
38.18,1
65.2,1
48.06,1
48.04,1
47.72,1
50.77,1
45.08,1
57.88,1
49.36,1
44.45,1
50.88,1
46.63,1
46.13,1
50.08,1
49.77,1
45.02,1
46.03,1
45.54,1
36.97,1
50.15,1
45.38,1
46.55,1
52.97,1
45.44,1
46.0,1
51.02,1
46.23,1
48.18,1
44.64,1
48.89,1
47.25,1
49.77,1
57.48,1
42.61,1
63.79,1
47.07,1
45.72,1
48.15,1
47.55,1
46.17,1
46.76,1
94.16,1
43.33,1
19.44,1
50.35,1
45.44,1
48.24,1
45.48,1
45.65,1
46.1,1
44.25,1
45.14,1
44.59,1
45.45,1
48.01,1
46.09,1
45.52,1
42.46,1
46.0,1
48.33,1
46.62,1
47.07,1
44.97,1
46.93,1
44.85,1
49.09,1
42.67,1
49.96,1
45.37,1
45.46,1
48.57,1
49.81,1
47.73,1
42.73,1
46.41,1
50.2,1
47.07,1
40.27,1
47.98,1
45.88,1
50.12,1
58.2,1
45.58,1
47.65,1
45.18,1
47.23,1
44.48,1
49.92,1
47.08,1
49.52,1
47.97,1
45.62,1
45.06,1
47.28,1
43.63,1
49.25,1
40.16,1
46.41,1
48.6,1
50.0,1
44.11,1
49.98,1
47.23,1
45.49,1
48.15,1
50.0,1
39.91,1
45.06,1
48.09,1
47.73,1
45.54,1
46.29,1
45.26,1
47.57,1
45.74,1
45.49,1
45.73,1
45.04,1
44.83,1
45.03,1
45.64,1
50.0,1
48.01,1
50.68,1
50.27,1
44.51,1
46.52,1
46.44,1
45.68,1
50.25,1
45.21,1
45.14,1
45.32,1
48.3,1
45.07,1
44.48,1
40.76,1
45.46,1
47.26,1
74.57,1
45.77,1
58.36,1
47.42,1
48.0,1
47.73,1
45.44,1
45.85,1
45.21,1
45.9,1
46.39,1
50.83,1
45.52,1
50.07,1
45.65,1
47.39,1
48.39,1
49.58,1
46.34,1
46.8,1
46.5,1
46.79,1
45.5,1
48.08,1
55.12,1
46.36,1
47.14,1
46.15,1
46.02,1
45.8,1
47.72,1
51.06,1
50.2,1
71.06,1
47.12,1
47.12,1
43.86,1
47.99,1
49.69,1
46.58,1
48.02,1
47.54,1
48.39,1
45.97,1
46.91,1
50.22,1
45.48,1
46.0,1
49.54,1
51.97,1
55.22,1
55.06,1
49.97,1
50.32,1
47.78,1
61.86,1
47.04,1
50.12,1
45.78,1
46.01,1
45.02,1
48.68,1
45.39,1
48.01,1
46.74,1
50.35,1
50.77,1
45.92,1
48.46,1
46.12,1
64.14,1
