Diameter_μm,occupancy
6.08,0
14.6,0
32.02,0
29.15,0
33.21,0
31.77,0
34.06,0
21.29,0
33.01,0
32.33,0
29.73,0
31.7,0
31.03,0
30.77,0
31.56,0
31.76,0
31.01,0
31.6,0
31.25,0
32.03,0
30.99,0
40.35,0
32.67,0
31.03,0
11.75,0
11.54,0
32.39,0
30.58,0
31.49,0
35.17,0
31.91,0
31.14,0
32.19,0
33.83,0
32.18,0
34.15,0
28.85,0
31.06,0
31.18,0
31.36,0
41.78,0
32.86,0
31.26,0
26.53,0
25.37,0
30.92,0
32.65,0
31.16,0
30.61,0
30.96,0
28.36,0
29.43,0
31.46,0
31.55,0
32.68,0
31.1,0
35.38,0
31.44,0
34.29,0
31.1,0
35.29,0
30.12,0
31.02,0
31.82,0
30.92,0
33.24,0
31.21,0
31.09,0
34.42,0
33.89,0
32.44,0
34.51,0
32.87,0
34.61,0
32.23,0
34.62,0
31.29,0
30.8,0
31.56,0
31.36,0
30.64,0
32.21,0
34.34,0
32.6,0
31.45,0
33.53,0
30.96,0
33.42,0
32.22,0
33.2,0
29.28,0
32.68,0
32.13,0
30.89,0
31.21,0
35.2,0
31.86,0
32.72,0
34.24,0
31.45,0
32.27,0
31.42,0
32.16,0
31.02,0
31.14,0
28.37,0
29.67,0
30.28,0
32.76,0
32.84,0
31.92,0
31.48,0
32.25,0
30.93,0
33.07,0
31.73,0
31.3,0
31.71,0
30.97,0
33.63,0
31.51,0
30.62,0
31.5,0
33.51,0
27.42,0
30.93,0
32.86,0
32.3,0
31.15,0
31.83,0
31.79,0
32.99,0
30.8,0
32.11,0
32.36,0
30.37,0
30.9,0
32.68,0
32.74,0
34.19,0
34.45,0
33.59,0
34.27,0
31.02,0
30.81,0
31.6,0
32.2,0
32.61,0
32.76,0
30.73,0
29.62,0
31.11,0
31.79,0
30.97,0
19.51,0
28.23,0
30.57,0
28.5,0
32.35,0
32.25,0
34.45,0
32.21,0
10.47,0
35.05,0
31.95,0
31.59,0
34.14,0
31.46,0
50.84,0
33.08,0
30.71,0
34.31,0
30.16,0
30.97,0
34.85,0
31.53,0
30.21,0
34.88,0
31.77,0
40.39,0
31.72,0
15.37,0
12.53,0
28.9,0
31.35,0
32.8,0
34.92,0
32.55,0
33.41,0
32.1,0
32.28,0
35.86,0
32.64,0
31.4,0
31.15,0
31.0,0
31.98,0
33.4,0
29.9,0
34.06,0
32.23,0
32.16,0
32.41,0
30.57,0
34.48,1
33.04,1
32.9,1
32.97,1
31.2,1
32.17,1
33.06,1
34.65,1
32.12,1
30.44,1
33.33,1
32.07,1
31.52,1
34.46,1
31.2,1
31.57,1
32.2,1
30.2,1
34.83,1
31.02,1
33.57,1
34.07,1
31.46,1
33.32,1
30.5,1
30.75,1
32.55,1
30.35,1
34.87,1
32.93,1
32.55,1
30.22,1
28.79,1
32.29,1
30.83,1
32.23,1
33.18,1
31.28,1
32.51,1
31.35,1
32.41,1
34.8,1
31.43,1
34.52,1
30.74,1
20.54,1
34.13,1
15.43,1
13.42,1
32.06,1
32.78,1
31.03,1
30.33,1
30.84,1
30.13,1
32.9,1
34.9,1
33.29,1
31.91,1
32.6,1
33.82,1
30.14,1
32.37,1
32.63,1
30.18,1
31.34,1
31.25,1
34.99,1
34.06,1
32.54,1
33.65,1
32.67,1
34.21,1
40.29,1
42.62,1
31.34,1
34.42,1
31.03,1
31.34,1
34.48,1
33.75,1
43.82,1
34.62,1
34.0,1
33.28,1
31.11,1
34.4,1
32.36,1
32.72,1
31.0,1
31.25,1
32.25,1
32.4,1
33.63,1
34.82,1
30.88,1
32.86,1
28.82,1
34.14,1
23.51,1
30.22,1
30.83,1
31.21,1
38.49,1
29.65,1
30.92,1
31.86,1
32.91,1
31.66,1
32.85,1
31.22,1
30.94,1
33.6,1
31.23,1
31.03,1
30.16,1
32.43,1
34.23,1
34.44,1
30.74,1
31.46,1
31.26,1
32.88,1
31.3,1
31.02,1
31.29,1
32.9,1
31.28,1
32.24,1
30.75,1
31.65,1
30.95,1
32.92,1
31.14,1
30.73,1
31.82,1
34.48,1
31.29,1
31.23,1
33.76,1
30.9,1
32.22,1
32.23,1
31.88,1
31.24,1
31.0,1
28.63,1
30.79,1
33.13,1
33.22,1
33.15,1
31.12,1
30.16,1
31.5,1
31.41,1
21.74,1
32.19,1
34.25,1
34.16,1
26.09,1
44.55,1
32.84,1
32.83,1
32.61,1
34.69,1
30.81,1
39.55,1
33.73,1
30.38,1
34.77,1
31.87,1
31.52,1
34.22,1
34.01,1
30.77,1
31.46,1
31.12,1
25.27,1
34.27,1
31.01,1
31.81,1
36.19,1
31.05,1
31.44,1
34.86,1
31.59,1
32.92,1
30.5,1
33.41,1
32.29,1
34.01,1
39.28,1
29.12,1
43.59,1
32.17,1
31.24,1
32.91,1
32.5,1
