Diameter_μm,occupancy
49.62,0
46.22,0
8.59,0
49.03,0
46.89,0
60.13,0
69.05,0
50.31,0
44.75,0
43.8,0
43.44,0
44.55,0
44.84,0
43.78,0
44.61,0
44.12,0
52.61,0
45.21,0
43.76,0
44.33,0
43.98,0
43.76,0
45.14,0
45.27,0
44.05,0
47.15,0
42.21,0
48.09,0
47.05,0
45.51,0
45.4,0
45.75,0
43.16,0
46.65,0
40.79,0
45.04,0
16.59,0
48.93,0
16.3,0
45.73,0
43.17,0
53.17,0
44.4,0
44.45,0
47.83,0
49.65,0
45.15,0
45.13,0
45.05,0
43.65,0
46.09,0
43.98,0
43.22,0
43.71,0
40.03,0
41.55,0
44.42,0
44.55,0
45.43,0
48.21,0
40.74,0
43.85,0
44.02,0
44.27,0
46.39,0
44.13,0
37.45,0
35.81,0
46.12,0
43.81,0
48.41,0
43.9,0
45.56,0
49.82,0
42.53,0
43.8,0
48.15,0
44.92,0
43.66,0
43.96,0
45.44,0
47.76,0
46.14,0
47.75,0
48.87,0
44.18,0
43.48,0
44.55,0
44.27,0
43.25,0
45.48,0
46.03,0
44.4,0
47.34,0
43.71,0
47.19,0
43.9,0
50.04,0
47.85,0
45.79,0
46.4,0
48.87,0
45.5,0
43.9,0
49.95,0
44.38,0
46.87,0
44.19,0
44.77,0
43.72,0
47.48,0
44.49,0
43.23,0
44.47,0
47.31,0
45.37,0
43.61,0
44.06,0
49.7,0
44.98,0
48.34,0
44.4,0
45.56,0
44.05,0
42.75,0
46.24,0
46.36,0
43.93,0
45.07,0
44.44,0
45.53,0
43.66,0
46.69,0
44.8,0
41.8,0
41.33,0
50.51,0
46.87,0
46.14,0
38.71,0
45.46,0
46.25,0
43.39,0
41.82,0
43.92,0
44.88,0
43.73,0
27.54,0
39.86,0
43.16,0
40.24,0
46.57,0
43.48,0
45.33,0
45.69,0
43.41,0
42.87,0
44.35,0
45.4,0
43.79,0
43.96,0
40.06,0
41.88,0
43.4,0
48.38,0
43.8,0
43.49,0
44.61,0
43.67,0
46.4,0
45.6,0
43.97,0
44.94,0
44.87,0
45.67,0
45.52,0
48.64,0
45.47,0
42.58,0
43.72,0
49.2,0
44.51,0
42.65,0
49.25,0
45.26,0
44.86,0
57.02,0
44.78,0
48.19,0
44.41,0
61.27,0
46.69,0
43.35,0
48.44,0
43.63,0
46.14,0
46.22,0
48.64,0
47.42,0
38.9,0
21.69,0
18.94,0
17.69,0
52.42,0
45.94,0
14.78,0
49.48,0
45.1,0
44.6,0
41.97,0
44.26,0
46.3,0
49.3,0
45.96,0
47.17,0
45.31,0
45.57,0
50.63,0
46.08,0
45.64,0
46.09,0
46.61,0
30.06,0
48.09,0
44.85,0
41.16,0
45.2,0
46.8,0
20.62,0
47.49,0
49.62,0
46.35,0
44.81,0
45.54,1
60.45,1
49.56,1
48.68,1
44.59,1
46.83,1
47.59,1
50.94,1
48.51,1
48.47,1
43.78,1
45.09,1
48.57,1
44.3,1
47.84,1
45.38,1
44.16,1
44.39,1
42.66,1
48.11,1
44.41,1
47.03,1
46.85,1
44.16,1
42.84,1
49.23,1
46.49,1
45.95,1
44.37,1
40.65,1
45.59,1
43.52,1
45.5,1
48.35,1
59.68,1
48.55,1
45.9,1
44.25,1
45.75,1
49.13,1
43.93,1
60.17,1
44.25,1
48.6,1
43.81,1
44.24,1
48.68,1
61.87,1
48.87,1
48.01,1
46.99,1
45.35,1
47.04,1
49.71,1
44.42,1
74.71,1
43.4,1
29.0,1
47.21,1
48.19,1
21.78,1
43.49,1
46.42,1
48.27,1
44.18,1
43.8,1
42.58,1
45.78,1
54.9,1
48.08,1
44.41,1
44.13,1
71.77,1
56.89,1
42.6,1
44.25,1
44.12,1
49.39,1
47.65,1
45.95,1
47.51,1
46.12,1
48.3,1
46.27,1
43.81,1
42.82,1
43.54,1
48.74,1
46.45,1
49.26,1
47.0,1
45.05,1
47.75,1
42.55,1
45.7,1
46.07,1
42.54,1
45.69,1
46.19,1
43.77,1
46.02,1
45.01,1
44.1,1
44.18,1
44.09,1
47.66,1
44.98,1
46.46,1
44.7,1
46.38,1
45.5,1
44.06,1
54.33,1
41.86,1
43.66,1
48.32,1
48.62,1
44.08,1
43.68,1
47.44,1
44.09,1
49.98,1
49.22,1
35.67,1
44.16,1
45.52,1
44.91,1
51.1,1
43.84,1
44.38,1
43.96,1
43.39,1
44.92,1
48.68,1
43.8,1
44.18,1
46.44,1
43.62,1
45.49,1
44.68,1
43.69,1
46.48,1
44.12,1
45.53,1
45.74,1
47.48,1
48.57,1
49.16,1
43.6,1
46.38,1
46.03,1
48.2,1
33.19,1
42.66,1
43.53,1
40.42,1
43.47,1
46.77,1
46.9,1
46.8,1
40.69,1
43.88,1
43.22,1
47.04,1
48.85,1
45.98,1
48.57,1
49.08,1
44.99,1
90.84,1
18.76,1
44.41,1
42.89,1
48.38,1
43.78,1
44.5,1
48.32,1
48.01,1
43.43,1
45.59,1
56.15,1
43.97,1
45.97,1
43.59,1
45.57,1
46.19,1
61.54,1
44.6,1
46.48,1
43.06,1
47.16,1
44.54,1
45.11,1
48.01,1
55.45,1
41.11,1
43.83,1
46.54,1
45.41,1
44.1,1
46.45,1
45.88,1
44.48,1
44.35,1
30.69,1
43.77,1
48.22,1
36.83,1
62.9,1
46.37,1
43.94,1
42.58,1
48.98,1
43.49,1
55.84,1
47.62,1
45.44,1
48.35,1
44.04,1
45.49,1
44.47,1
42.69,1
43.55,1
46.34,1
46.03,1
48.2,1
43.77,1
46.45,1
48.24,1
46.04,1
48.72,1
41.22,1
43.27,1
47.36,1
41.17,1
44.26,1
48.36,1
48.59,1
43.86,1
46.86,1
48.05,1
42.91,1
44.77,1
48.43,1
45.4,1
38.85,1
46.29,1
43.84,1
46.32,1
43.87,1
44.46,1
43.92,1
40.96,1
48.48,1
43.01,1
45.41,1
43.39,1
45.27,1
72.52,1
43.93,1
44.65,1
43.67,1
44.37,1
46.63,1
44.97,1
46.93,1
44.01,1
46.04,1
43.83,1
47.51,1
38.74,1
45.42,1
47.78,1
46.28,1
48.22,1
43.88,1
43.47,1
45.61,1
42.09,1
38.5,1
43.47,1
44.78,1
46.88,1
48.24,1
42.55,1
46.59,1
43.48,1
44.18,1
46.03,1
45.2,1
39.33,1
