Diameter_μm,occupancy
45.25,0
46.69,0
44.41,0
46.73,0
40.58,0
44.39,0
43.56,0
46.57,0
46.93,0
45.33,0
48.74,0
46.01,0
43.83,0
45.24,0
45.32,0
44.63,0
46.99,0
45.08,0
46.74,0
45.38,0
45.42,0
47.19,0
43.32,0
47.81,0
44.41,0
39.8,0
41.82,0
42.55,0
46.49,0
42.45,0
40.22,0
44.02,0
42.69,0
46.13,0
46.88,0
43.42,0
41.84,0
43.59,0
46.25,0
41.94,0
45.96,0
42.58,0
44.07,0
46.91,0
15.4,0
46.12,0
20.71,0
43.25,0
43.42,0
42.94,0
47.0,0
44.41,0
35.72,0
43.18,0
44.66,0
46.69,0
46.97,0
44.37,0
46.07,0
41.68,0
48.05,0
47.0,0
42.86,0
47.22,0
43.42,0
45.22,0
49.71,0
41.93,0
44.78,0
46.06,0
40.74,0
47.03,0
43.95,0
44.22,0
45.7,0
43.21,0
41.81,0
44.42,0
44.68,0
45.57,0
47.4,0
47.32,0
48.08,0
45.47,0
41.81,0
46.35,0
42.69,0
46.25,0
42.42,0
42.23,0
51.96,0
43.27,0
43.45,0
46.43,0
41.87,0
45.95,0
44.05,0
41.94,0
46.34,0
45.17,0
45.96,0
42.9,0
42.34,0
41.56,0
43.15,0
45.13,0
42.03,0
45.52,0
45.96,0
42.25,0
42.8,0
43.68,0
46.23,0
42.0,0
43.55,0
44.74,0
41.48,0
45.9,0
46.42,0
47.45,0
43.77,0
47.03,0
45.48,0
40.75,0
44.57,0
41.73,0
42.31,0
29.55,0
29.15,0
29.53,0
42.56,0
29.16,0
47.07,0
44.05,0
43.61,0
46.16,0
11.1,0
13.64,0
46.64,0
43.32,0
43.33,0
40.34,0
42.44,0
43.71,0
40.05,0
44.1,0
38.88,0
41.99,0
32.38,0
41.93,0
45.05,0
43.0,0
45.06,0
46.85,0
52.63,0
42.97,0
42.36,0
45.22,0
41.78,0
44.04,0
40.47,0
39.23,0
46.65,0
41.34,0
47.65,0
46.54,0
45.11,0
40.94,0
46.94,0
42.86,0
43.55,0
45.44,0
46.1,0
41.79,0
46.05,0
44.06,0
45.2,0
45.5,0
42.68,0
41.95,0
44.8,0
44.58,0
45.94,0
50.74,0
44.1,0
48.06,0
46.15,0
45.32,0
43.84,0
45.71,0
42.67,0
46.23,0
47.03,0
46.62,0
42.04,0
40.65,0
41.07,0
45.68,0
43.36,0
40.38,0
44.42,0
43.07,0
37.0,0
44.27,0
42.71,0
44.52,0
41.68,0
45.48,0
43.51,0
44.81,0
43.26,0
43.04,0
46.32,0
46.43,0
46.28,0
39.95,0
42.62,0
41.11,0
46.51,0
46.28,0
42.6,0
42.74,0
46.51,0
46.58,0
42.88,0
44.02,0
44.33,0
39.67,0
41.76,0
44.57,0
46.21,0
42.27,0
41.41,0
44.06,0
47.33,0
49.31,0
45.73,0
41.43,0
44.79,0
42.88,0
46.15,0
43.29,0
45.68,0
42.89,0
44.74,0
44.62,0
47.58,0
44.81,0
46.37,0
45.92,0
47.23,0
44.28,0
43.38,0
50.1,0
46.01,0
41.69,0
42.26,0
45.33,0
51.31,0
46.29,0
47.27,0
45.79,0
46.96,0
42.15,0
44.84,0
49.22,0
43.9,0
42.57,0
41.65,0
43.06,0
45.9,0
42.05,0
45.5,0
46.97,0
48.44,0
47.57,0
43.02,0
46.91,0
42.7,0
42.62,0
46.21,0
45.78,0
56.5,0
42.79,0
44.04,0
40.4,0
41.33,0
42.08,0
44.58,0
43.69,0
41.62,0
41.95,0
44.87,0
41.23,0
45.96,0
43.71,0
40.84,0
49.5,0
42.65,0
45.53,0
44.0,0
41.57,0
40.97,0
44.05,0
45.19,0
42.01,0
47.32,0
56.33,0
43.34,0
47.73,0
45.83,0
43.08,0
46.35,0
45.24,0
43.16,0
47.95,0
43.63,0
44.27,0
46.53,0
45.34,0
45.89,0
47.96,0
46.76,0
43.43,0
41.3,0
43.72,0
47.43,0
45.57,0
45.54,0
45.16,0
