Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,703.00,517.00,54.69,167.91,2235.99,0.901
1,564.00,668.00,50.10,166.52,1846.37,0.892
2,561.00,473.00,55.98,166.68,2348.10,0.888
3,687.00,560.00,52.38,166.07,2047.06,0.888
4,467.00,389.00,52.73,166.41,2074.74,0.885
5,540.00,559.00,47.20,168.71,1659.52,0.877
6,577.00,863.00,53.33,160.85,2108.65,0.877
7,466.00,570.00,45.58,168.25,1545.33,0.901
8,580.00,548.00,47.98,169.39,1703.81,0.901
9,486.00,842.00,46.08,165.27,1575.09,0.881
10,670.00,774.00,46.40,167.74,1585.47,0.895
11,391.00,933.00,52.49,158.97,2048.44,0.878
12,812.00,552.00,47.08,171.37,1622.15,0.907
13,475.00,512.00,61.14,164.05,2778.55,0.896
14,399.00,840.00,50.29,162.86,1873.36,0.887
15,470.00,699.00,47.76,165.06,1685.81,0.903
16,616.00,531.00,46.03,171.71,1572.32,0.908
17,774.00,598.00,45.29,169.64,1514.19,0.886
18,862.00,452.00,46.17,167.51,1584.78,0.903
19,394.00,527.00,46.39,167.29,1580.62,0.889
20,434.00,542.00,46.03,167.65,1570.24,0.898
21,729.00,567.00,41.57,172.07,1268.51,0.886
22,413.00,466.00,43.34,168.10,1402.08,0.893
23,483.00,429.00,44.35,171.30,1451.21,0.903
24,699.00,396.00,52.99,167.03,2069.90,0.900
25,380.00,423.00,43.31,167.87,1379.93,0.891
26,845.00,864.00,51.26,161.97,1948.10,0.886
27,645.00,562.00,45.73,172.30,1535.64,0.907
28,428.00,694.00,42.97,169.32,1335.64,0.905
29,570.00,921.00,42.98,165.62,1363.32,0.893
30,478.00,660.00,42.47,170.27,1328.03,0.909
31,727.00,831.00,49.32,165.09,1769.55,0.889
32,430.00,622.00,42.49,169.52,1352.25,0.904
33,513.00,721.00,41.56,169.48,1262.98,0.896
34,513.00,533.00,40.99,174.04,1230.45,0.882
35,546.00,384.00,42.37,174.61,1314.19,0.900
36,439.00,856.00,49.38,164.36,1829.76,0.900
37,657.00,522.00,52.11,169.22,1991.70,0.884
38,693.00,738.00,52.42,165.35,2024.91,0.878
39,478.00,980.00,46.85,161.43,1634.60,0.903
40,577.00,708.00,46.08,168.89,1564.01,0.891
41,508.00,684.00,44.56,168.67,1474.74,0.888
42,430.00,503.00,45.62,169.97,1541.18,0.898
43,513.00,456.00,49.17,169.47,1793.77,0.897
44,725.00,960.00,59.50,155.52,2639.45,0.891
45,397.00,716.00,46.03,166.20,1559.17,0.909
46,550.00,518.00,43.65,172.73,1407.61,0.896
47,500.00,601.00,45.26,168.40,1521.80,0.887
48,719.00,438.00,45.57,171.11,1538.41,0.897
49,737.00,755.00,57.19,162.08,2431.14,0.877
50,548.00,736.00,47.99,163.81,1695.50,0.896
51,695.00,620.00,46.56,169.01,1597.92,0.890
52,411.00,402.00,40.86,170.35,1226.99,0.902
53,836.00,584.00,46.63,169.08,1596.54,0.901
