Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,400.00,838.00,51.29,33.36,1925.95,0.897
1,607.00,473.00,46.44,35.02,1582.70,0.882
2,468.00,388.00,53.38,37.82,2124.57,0.886
3,763.00,988.00,55.23,33.19,2249.13,0.903
4,400.00,793.00,49.16,33.78,1792.39,0.892
5,472.00,875.00,42.92,29.34,1326.64,0.883
6,599.00,744.00,58.20,40.29,2540.48,0.885
7,862.00,451.00,47.00,35.35,1635.99,0.892
8,695.00,618.00,47.41,35.33,1650.52,0.892
9,512.00,760.00,47.81,33.38,1707.96,0.892
10,580.00,547.00,48.80,36.02,1755.02,0.884
11,645.00,808.00,47.88,33.47,1684.43,0.902
12,575.00,408.00,47.05,35.33,1637.37,0.904
13,504.00,897.00,49.34,31.48,1777.85,0.893
14,651.00,386.00,47.34,35.56,1657.44,0.895
15,469.00,622.00,46.88,33.82,1623.53,0.897
16,818.00,822.00,43.93,30.95,1416.61,0.893
18,741.00,869.00,48.32,32.35,1715.57,0.899
19,685.00,823.00,49.47,33.69,1815.22,0.885
20,508.00,682.00,45.51,33.51,1525.95,0.901
21,729.00,565.00,42.35,32.42,1318.34,0.890
22,886.00,845.00,51.66,35.54,1986.16,0.896
23,866.00,790.00,46.39,32.25,1577.16,0.863
24,693.00,736.00,53.15,38.59,2059.52,0.893
25,998.00,645.00,49.80,35.46,1835.29,0.887
26,977.00,704.00,53.24,36.16,2067.13,0.893
27,962.00,886.00,49.70,31.70,1832.53,0.901
28,561.00,472.00,57.09,36.38,2393.77,0.886
29,651.00,604.00,60.57,37.15,2733.56,0.888
30,648.00,917.00,45.82,30.46,1536.33,0.887
31,770.00,945.00,47.10,30.14,1623.53,0.897
32,621.00,706.00,44.88,35.84,1451.21,0.862
33,923.00,479.00,48.16,34.92,1710.73,0.904
34,395.00,570.00,43.12,31.27,1377.16,0.889
35,794.00,415.00,104.61,49.68,8236.68,0.888
36,932.00,551.00,43.32,32.17,1375.09,0.910
37,826.00,781.00,47.89,33.91,1675.43,0.878
39,917.00,656.00,41.54,30.77,1260.21,0.894
40,438.00,990.00,52.58,31.85,2017.30,0.892
41,553.00,628.00,43.96,33.06,1409.69,0.889
42,737.00,753.00,57.96,40.16,2479.58,0.882
43,719.00,437.00,46.61,35.51,1602.08,0.905
44,996.00,578.00,49.86,35.75,1858.13,0.906
45,685.00,930.00,48.07,31.17,1678.20,0.902
46,754.00,500.00,44.49,33.38,1458.13,0.895
47,846.00,703.00,46.70,33.49,1568.17,0.882
48,702.00,897.00,39.12,27.71,1081.66,0.882
49,852.00,749.00,47.28,32.68,1626.30,0.898
50,929.00,737.00,43.40,31.29,1370.24,0.903
51,650.00,734.00,49.34,35.22,1801.38,0.905
52,550.00,962.00,43.98,28.63,1413.15,0.900
53,986.00,934.00,44.61,27.84,1448.44,0.896
54,399.00,973.00,48.26,30.18,1671.28,0.898
55,786.00,798.00,50.13,34.89,1849.83,0.891
56,903.00,1000.00,48.46,28.56,1695.50,0.880
57,799.00,663.00,91.24,23.86,6225.61,0.893
60,732.00,407.00,28.72,27.64,564.71,0.862
137,797.00,769.00,22.52,22.73,328.72,0.861
243,270.00,395.00,47.50,35.74,1677.51,0.898
244,63.00,807.00,50.86,30.90,1921.11,0.891
245,163.00,710.00,53.76,34.72,2137.72,0.889
246,302.00,435.00,47.42,33.96,1649.13,0.891
248,135.00,588.00,46.47,30.77,1579.24,0.900
249,225.00,602.00,47.80,32.37,1651.21,0.873
250,59.00,738.00,47.48,30.17,1649.83,0.899
251,96.00,537.00,47.07,31.13,1607.61,0.891
252,356.00,518.00,46.37,33.26,1578.55,0.891
253,213.00,641.00,41.94,28.87,1273.36,0.912
254,20.00,550.00,41.56,27.82,1273.36,0.881
255,132.00,990.00,46.64,25.12,1574.39,0.889
257,310.00,910.00,50.42,31.91,1876.82,0.886
258,84.00,770.00,48.14,30.06,1703.11,0.908
259,197.00,988.00,45.00,26.46,1492.04,0.890
260,28.00,623.00,52.54,31.61,2051.21,0.900
261,260.00,967.00,47.29,28.72,1624.91,0.909
262,85.00,460.00,41.19,28.68,1238.06,0.904
263,100.00,933.00,46.00,26.43,1556.40,0.890
264,184.00,613.00,51.36,37.40,1955.02,0.889
265,295.00,947.00,45.18,26.66,1478.20,0.893
377,834.00,21.00,48.76,33.67,1755.71,0.893
378,502.00,192.00,45.33,34.47,1498.27,0.902
379,935.00,132.00,47.06,35.74,1638.06,0.885
380,709.00,141.00,71.53,50.78,3850.52,0.901
381,494.00,153.00,48.43,34.68,1725.26,0.888
382,690.00,227.00,50.39,39.57,1871.97,0.876
383,515.00,292.00,48.51,38.20,1738.41,0.892
384,893.00,139.00,51.02,37.72,1909.34,0.889
385,395.00,343.00,53.98,37.75,2172.32,0.899
386,852.00,92.00,51.26,36.74,1937.72,0.884
387,571.00,202.00,49.08,36.39,1774.39,0.910
388,828.00,241.00,46.68,35.62,1613.15,0.899
389,907.00,51.00,48.09,33.71,1712.11,0.905
390,1000.00,262.00,43.64,34.05,1394.46,0.910
391,541.00,258.00,52.77,39.03,2083.04,0.903
392,584.00,153.00,48.09,35.32,1716.96,0.888
393,696.00,352.00,47.44,36.71,1659.52,0.900
394,776.00,240.00,56.80,38.52,2408.30,0.885
395,936.00,354.00,47.96,35.66,1675.43,0.905
396,841.00,291.00,49.26,37.81,1775.78,0.888
397,634.00,25.00,43.61,30.62,1406.92,0.887
398,655.00,131.00,48.82,37.92,1781.31,0.902
399,618.00,262.00,48.85,37.18,1752.94,0.907
400,636.00,93.00,42.99,32.61,1344.64,0.877
401,894.00,207.00,46.42,28.34,1566.78,0.881
402,652.00,289.00,52.68,39.74,2050.52,0.896
403,412.00,124.00,47.19,32.39,1625.61,0.878
404,817.00,358.00,46.27,37.15,1451.21,0.874
405,748.00,169.00,42.95,36.76,1340.48,0.892
406,623.00,318.00,41.91,33.47,1281.66,0.899
407,911.00,325.00,41.87,32.61,1267.13,0.899
408,770.00,131.00,55.68,42.83,2319.03,0.890
410,950.00,269.00,44.50,34.27,1404.15,0.891
411,858.00,213.00,38.54,32.16,1080.28,0.901
413,833.00,191.00,37.68,31.81,1003.46,0.895
414,863.00,52.00,43.31,33.29,1364.01,0.877
415,400.00,227.00,45.42,31.03,1494.12,0.912
516,25.00,206.00,47.37,28.02,1655.36,0.886
517,41.00,168.00,49.09,28.04,1774.39,0.899
518,108.00,88.00,127.49,63.47,12287.20,0.890
519,330.00,259.00,47.17,34.67,1638.06,0.896
520,261.00,259.00,45.29,32.08,1509.34,0.909
521,162.00,313.00,55.08,37.47,2267.82,0.904
523,94.00,281.00,47.83,31.49,1705.88,0.883
524,138.00,253.00,44.40,30.05,1442.21,0.901
525,373.00,269.00,52.53,37.21,2055.36,0.901
526,312.00,142.00,40.73,28.55,1202.08,0.883
527,308.00,295.00,51.74,35.39,1982.01,0.898
528,246.00,128.00,43.39,29.10,1377.85,0.899
529,238.00,182.00,37.46,27.00,1025.61,0.894
531,166.00,48.00,47.35,28.81,1469.90,0.853
