Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,667.00,448.00,58.23,176.77,2526.64,0.899
1,925.00,571.00,51.47,177.13,1965.40,0.891
2,567.00,668.00,53.59,175.72,2120.42,0.884
3,571.00,516.00,48.86,183.47,1757.79,0.901
4,884.00,457.00,54.38,177.32,2206.92,0.889
5,789.00,389.00,48.62,185.66,1750.17,0.890
6,834.00,384.00,50.85,184.77,1932.18,0.907
7,430.00,582.00,50.27,179.90,1841.52,0.898
8,411.00,696.00,48.74,178.40,1772.32,0.901
9,435.00,661.00,46.79,181.66,1626.30,0.898
10,733.00,755.00,46.96,179.16,1638.06,0.896
11,521.00,667.00,49.93,179.40,1842.21,0.890
12,622.00,381.00,52.20,183.96,2021.45,0.894
13,559.00,746.00,48.29,179.14,1730.10,0.898
14,634.00,557.00,45.95,186.35,1550.17,0.895
15,730.00,661.00,46.56,182.81,1622.84,0.893
16,815.00,518.00,52.96,179.59,2105.88,0.895
17,913.00,614.00,47.94,179.30,1704.50,0.893
18,472.00,737.00,46.74,179.89,1619.38,0.894
19,430.00,735.00,48.28,178.11,1735.64,0.890
20,857.00,756.00,48.59,178.07,1735.64,0.901
21,842.00,479.00,51.68,179.87,1993.08,0.889
22,646.00,671.00,53.54,175.84,2130.10,0.899
23,553.00,481.00,38.59,196.73,1089.27,0.913
24,969.00,759.00,46.24,176.99,1582.01,0.901
25,392.00,758.00,51.42,174.20,1963.32,0.903
26,385.00,584.00,53.27,176.62,2093.43,0.890
27,851.00,711.00,53.44,174.86,2131.49,0.899
28,567.00,593.00,53.53,177.90,2126.64,0.890
29,872.00,407.00,47.45,186.68,1678.20,0.879
30,403.00,470.00,53.03,178.49,2083.74,0.896
31,803.00,651.00,46.15,182.08,1578.55,0.891
32,660.00,402.00,46.11,190.28,1564.71,0.895
33,548.00,553.00,47.73,183.83,1687.20,0.892
34,774.00,761.00,45.95,180.85,1572.32,0.896
35,850.00,535.00,35.60,198.03,925.26,0.884
36,833.00,432.00,56.48,177.81,2358.48,0.895
37,884.00,680.00,45.88,181.28,1569.55,0.894
38,525.00,436.00,48.43,184.37,1739.79,0.892
39,989.00,685.00,52.91,172.98,2073.36,0.899
40,521.00,590.00,50.10,179.99,1851.90,0.895
41,751.00,586.00,51.82,179.89,1982.01,0.904
42,740.00,542.00,50.42,181.70,1890.66,0.898
43,769.00,676.00,46.99,181.44,1642.91,0.896
44,747.00,385.00,46.75,187.99,1627.68,0.899
45,656.00,521.00,48.98,183.59,1788.93,0.887
46,534.00,783.00,53.52,172.88,2141.18,0.903
47,937.00,790.00,52.51,171.74,2035.99,0.893
48,844.00,665.00,47.96,179.64,1707.27,0.906
49,718.00,619.00,50.77,180.21,1921.11,0.891
50,794.00,598.00,47.47,182.46,1679.58,0.896
51,505.00,397.00,48.97,184.76,1775.09,0.887
52,783.00,806.00,55.81,171.41,2322.49,0.894
53,548.00,401.00,46.61,188.50,1598.62,0.883
54,591.00,555.00,48.68,184.36,1737.72,0.910
55,797.00,475.00,49.47,183.84,1820.76,0.899
56,647.00,747.00,53.16,172.48,2087.89,0.878
57,687.00,491.00,46.48,186.64,1613.15,0.899
58,755.00,980.00,61.21,162.26,2810.38,0.889
