Center_X_px,Center_Y_px,Diameter_μm,slide
54.0,493.0,212.24,z_1
236.0,206.0,88.29,z_14
313.0,313.0,67.48,z_12
162.0,64.0,67.32,z_14
255.0,71.0,64.22,z_10
345.0,202.0,62.67,z_10
188.0,164.0,62.19,z_11
430.0,492.0,61.72,z_1
120.0,328.0,61.33,z_14
472.0,381.0,61.33,z_14
378.0,201.0,60.91,z_4
39.0,285.0,60.7,z_14
325.0,88.0,58.58,z_15
322.0,343.0,58.44,z_7
359.0,54.0,57.44,z_13
294.0,337.0,57.28,z_8
493.0,415.0,56.7,z_15
171.0,328.0,56.68,z_15
447.0,278.0,56.67,z_12
258.0,268.0,56.67,z_0
382.0,121.0,56.51,z_15
59.0,370.0,56.1,z_15
216.0,157.0,55.77,z_10
17.0,77.0,55.63,z_14
102.0,351.0,55.55,z_10
417.0,75.0,55.42,z_15
439.0,334.0,54.65,z_15
342.0,152.0,54.52,z_13
316.0,71.0,54.17,z_10
476.0,156.0,53.99,z_13
468.0,261.0,53.69,z_15
266.0,480.0,53.6,z_11
484.0,240.0,53.24,z_15
332.0,233.0,53.12,z_14
305.0,172.0,53.07,z_11
172.0,125.0,52.71,z_4
228.0,63.0,52.66,z_14
383.0,251.0,52.61,z_15
473.0,182.0,52.36,z_9
387.0,298.0,52.26,z_12
46.0,470.0,51.9,z_9
370.0,429.0,51.72,z_13
375.0,95.0,51.62,z_15
194.0,313.0,51.45,z_15
37.0,84.0,51.24,z_0
147.0,17.0,50.93,z_10
260.0,136.0,50.69,z_1
216.0,312.0,50.2,z_15
310.0,368.0,50.11,z_13
237.0,295.0,50.02,z_14
363.0,290.0,49.82,z_15
158.0,108.0,49.57,z_9
420.0,196.0,49.39,z_14
352.0,176.0,49.22,z_14
467.0,60.0,49.19,z_14
425.0,122.0,48.69,z_12
424.0,288.0,48.64,z_0
132.0,257.0,48.64,z_13
292.0,70.0,48.35,z_15
40.0,97.0,48.11,z_15
15.0,323.0,48.1,z_12
317.0,498.0,47.96,z_2
498.0,144.0,47.95,z_14
140.0,84.0,47.79,z_15
248.0,401.0,47.74,z_11
112.0,122.0,47.65,z_9
214.0,239.0,47.55,z_14
377.0,71.0,47.45,z_15
95.0,101.0,47.44,z_15
165.0,37.0,47.4,z_10
400.0,310.0,47.36,z_5
139.0,411.0,47.3,z_15
264.0,45.0,47.03,z_15
378.0,321.0,46.95,z_13
182.0,440.0,46.95,z_13
449.0,123.0,46.89,z_14
383.0,221.0,46.82,z_12
391.0,145.0,46.73,z_15
336.0,448.0,46.63,z_14
173.0,225.0,46.63,z_14
423.0,273.0,46.6,z_12
452.0,99.0,46.59,z_15
194.0,488.0,46.34,z_15
489.0,54.0,46.32,z_13
60.0,19.0,46.25,z_14
418.0,232.0,45.93,z_0
363.0,196.0,45.91,z_14
12.0,208.0,45.88,z_14
117.0,93.0,45.87,z_11
456.0,318.0,45.79,z_13
356.0,81.0,45.72,z_15
308.0,108.0,45.64,z_15
344.0,469.0,45.56,z_14
400.0,379.0,45.51,z_13
353.0,490.0,45.5,z_14
316.0,439.0,45.5,z_14
178.0,201.0,45.19,z_15
62.0,146.0,45.14,z_14
205.0,46.0,45.09,z_15
466.0,281.0,45.07,z_0
181.0,20.0,45.07,z_15
415.0,302.0,44.98,z_13
467.0,205.0,44.97,z_14
70.0,468.0,44.89,z_13
374.0,177.0,44.88,z_15
474.0,433.0,44.67,z_14
353.0,104.0,44.64,z_15
373.0,346.0,44.61,z_13
478.0,289.0,44.6,z_14
433.0,260.0,44.57,z_2
136.0,132.0,44.56,z_14
291.0,147.0,44.39,z_13
30.0,251.0,44.37,z_14
335.0,268.0,44.33,z_13
168.0,142.0,44.29,z_15
74.0,185.0,44.26,z_13
183.0,245.0,44.24,z_15
311.0,481.0,44.22,z_14
305.0,392.0,44.22,z_6
277.0,201.0,44.19,z_14
398.0,204.0,44.04,z_14
429.0,99.0,44.02,z_10
95.0,323.0,43.96,z_13
116.0,443.0,43.95,z_11
274.0,109.0,43.88,z_13
400.0,238.0,43.87,z_15
169.0,387.0,43.84,z_13
204.0,457.0,43.83,z_15
277.0,87.0,43.73,z_15
397.0,165.0,43.58,z_15
245.0,144.0,43.56,z_15
189.0,61.0,43.42,z_15
391.0,440.0,43.36,z_15
404.0,263.0,43.35,z_14
499.0,219.0,43.35,z_13
449.0,27.0,43.33,z_15
117.0,410.0,43.25,z_13
309.0,231.0,43.16,z_15
348.0,348.0,43.15,z_15
420.0,248.0,43.13,z_14
328.0,366.0,43.05,z_11
