Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,259.00,96.00,39.71,152.90,1128.47,0.899
1,233.00,125.00,37.27,157.30,959.20,0.931
2,214.00,99.00,46.12,145.52,1532.12,0.907
3,311.00,98.00,43.84,149.49,1382.38,0.904
4,222.00,53.00,42.18,149.35,1280.38,0.897
5,76.00,101.00,47.99,143.25,1638.45,0.902
6,302.00,65.00,35.05,159.77,846.35,0.913
7,252.00,116.00,37.29,158.12,961.37,0.913
8,237.00,100.00,40.42,152.68,1169.70,0.914
9,56.00,112.00,37.64,150.64,987.41,0.910
10,250.00,137.00,37.29,156.24,991.75,0.888
11,210.00,157.00,39.69,152.13,1102.43,0.903
12,97.00,112.00,37.47,155.41,980.90,0.896
13,281.00,99.00,37.99,155.68,1002.60,0.905
14,283.00,121.00,39.42,152.72,1093.75,0.896
15,260.00,70.00,40.32,151.51,1154.51,0.920
16,187.00,159.00,39.59,153.49,1095.92,0.916
17,161.00,60.00,47.06,145.23,1579.86,0.905
18,178.00,140.00,35.15,157.55,850.69,0.889
19,144.00,78.00,40.07,152.58,1137.15,0.882
20,180.00,75.00,40.07,152.98,1137.15,0.906
21,85.00,129.00,34.38,154.10,824.65,0.862
22,124.00,108.00,34.67,156.91,833.33,0.899
23,246.00,82.00,28.05,164.37,533.85,0.885
24,14.00,146.00,33.83,151.04,779.08,0.901
25,313.00,167.00,35.72,152.73,896.27,0.889
26,99.00,76.00,38.87,149.06,1063.37,0.871
27,231.00,148.00,43.21,148.51,1330.30,0.915
28,289.00,80.00,37.07,157.32,941.84,0.914
29,82.00,149.00,40.02,147.20,1104.60,0.863
30,281.00,61.00,35.88,155.79,909.29,0.901
31,178.00,106.00,32.72,156.45,753.04,0.871
32,102.00,200.00,31.73,159.37,698.78,0.931
33,282.00,41.00,35.56,155.13,868.06,0.907
34,233.00,9.00,31.02,163.18,640.19,0.893
35,114.00,91.00,37.10,151.91,957.03,0.882
36,259.00,304.00,32.65,160.88,724.83,0.919
37,92.00,16.00,35.42,152.12,885.42,0.897
38,211.00,126.00,39.31,149.36,1102.43,0.878
39,114.00,125.00,37.56,152.22,993.92,0.897
40,172.00,224.00,40.09,148.75,1113.28,0.894
41,125.00,217.00,38.46,150.57,1059.03,0.903
42,301.00,46.00,33.45,155.11,787.76,0.911
43,305.00,278.00,36.07,152.51,920.14,0.904
44,140.00,313.00,34.02,157.69,807.29,0.912
45,279.00,155.00,49.97,141.91,1768.66,0.902
46,242.00,61.00,33.61,157.67,789.93,0.892
47,197.00,141.00,33.69,159.15,785.59,0.887
48,191.00,123.00,31.68,161.44,681.42,0.864
49,34.00,80.00,28.58,160.02,559.90,0.878
50,15.00,166.00,38.06,142.59,1041.67,0.914
51,233.00,170.00,40.91,147.58,1184.90,0.908
52,192.00,92.00,37.37,154.39,972.22,0.878
53,185.00,55.00,34.92,157.39,863.72,0.903
54,170.00,255.00,35.28,151.31,876.74,0.888
55,160.00,97.00,37.07,152.74,957.03,0.882
56,81.00,236.00,43.04,145.56,1308.59,0.900
57,255.00,159.00,43.41,145.24,1349.83,0.868
58,229.00,29.00,41.81,149.85,1200.09,0.913
59,276.00,311.00,32.72,157.74,757.38,0.876
60,102.00,142.00,36.94,150.89,935.33,0.888
61,202.00,68.00,45.80,146.56,1484.38,0.922
62,222.00,303.00,49.20,141.38,1725.26,0.880
63,265.00,51.00,29.83,162.27,611.98,0.924
64,44.00,256.00,32.17,148.73,733.51,0.898
65,241.00,289.00,33.54,155.23,789.93,0.892
66,174.00,200.00,47.81,142.42,1655.82,0.891
67,188.00,265.00,30.61,158.17,633.68,0.875
68,170.00,273.00,30.26,156.89,629.34,0.901
69,179.00,303.00,54.07,139.58,2042.10,0.868
70,96.00,94.00,28.34,167.47,523.00,0.843
71,185.00,282.00,31.29,158.21,666.23,0.897
72,96.00,173.00,30.60,158.46,646.70,0.893
73,178.00,179.00,32.94,158.07,731.34,0.904
74,295.00,300.00,44.59,145.28,1395.40,0.840
75,209.00,270.00,42.50,145.90,1280.38,0.897
76,123.00,62.00,45.07,143.99,1404.08,0.887
77,81.00,195.00,40.03,144.65,1141.49,0.909
78,56.00,132.00,30.52,158.44,629.34,0.869
79,234.00,269.00,36.73,150.57,954.86,0.899
80,80.00,215.00,31.37,156.90,700.95,0.910
81,152.00,212.00,45.14,143.48,1443.14,0.890
82,165.00,158.00,43.13,147.98,1282.55,0.799
83,24.00,36.00,32.11,149.56,727.00,0.912
84,291.00,201.00,42.18,142.61,1289.06,0.903
85,274.00,290.00,42.55,148.25,1258.68,0.860
86,252.00,11.00,33.83,153.38,802.95,0.907
87,201.00,179.00,52.01,138.76,1955.30,0.863
88,19.00,186.00,36.95,145.86,963.54,0.881
89,204.00,250.00,31.56,159.96,696.61,0.905
90,27.00,212.00,36.12,140.86,926.65,0.919
91,226.00,77.00,48.01,144.73,1616.75,0.890
92,112.00,241.00,41.20,146.79,1206.60,0.901
93,85.00,61.00,27.06,165.98,486.11,0.873
94,57.00,94.00,26.44,164.57,473.09,0.902
95,254.00,34.00,35.68,152.82,898.44,0.910
96,19.00,292.00,36.21,143.68,933.16,0.853
97,157.00,182.00,47.70,142.23,1579.86,0.818
98,174.00,123.00,27.43,165.80,512.15,0.849
99,99.00,313.00,31.92,155.67,694.44,0.880
100,129.00,299.00,27.95,164.45,533.85,0.921
101,63.00,207.00,40.49,143.08,1104.60,0.887
102,49.00,35.00,31.15,153.66,690.10,0.919
103,257.00,263.00,31.26,156.47,683.59,0.888
104,197.00,38.00,34.79,155.09,824.65,0.890
105,283.00,268.00,37.17,149.86,948.35,0.874
106,72.00,36.00,40.07,144.77,1163.19,0.878
107,311.00,253.00,33.42,152.93,776.91,0.878
108,112.00,45.00,28.34,164.15,542.53,0.851
109,294.00,236.00,28.14,162.17,546.88,0.906
110,269.00,12.00,26.75,160.34,490.45,0.896
111,24.00,93.00,25.54,165.85,444.88,0.913
112,72.00,11.00,26.44,165.45,486.11,0.927
113,97.00,216.00,26.78,165.95,496.96,0.882
114,91.00,34.00,27.62,163.57,509.98,0.869
115,41.00,65.00,29.84,159.27,590.28,0.891
116,83.00,82.00,25.09,170.43,421.01,0.892
117,159.00,137.00,30.33,156.03,668.40,0.890
118,41.00,235.00,42.07,140.52,1256.51,0.897
119,206.00,231.00,36.04,152.64,904.95,0.897
120,223.00,283.00,25.50,172.73,431.86,0.886
121,31.00,154.00,33.73,148.22,807.29,0.912
122,257.00,281.00,27.38,163.41,494.79,0.853
123,302.00,138.00,30.23,159.67,629.34,0.915
124,154.00,281.00,26.56,166.07,475.26,0.879
125,300.00,154.00,24.30,176.28,390.62,0.907
126,147.00,45.00,28.03,163.78,509.98,0.855
127,162.00,80.00,24.76,173.80,429.69,0.910
128,121.00,262.00,43.30,141.58,1347.66,0.882
129,266.00,195.00,40.29,142.07,1150.17,0.892
130,281.00,179.00,43.27,145.44,1330.30,0.892
131,67.00,83.00,24.93,170.05,407.99,0.904
132,179.00,38.00,25.84,165.93,453.56,0.891
133,29.00,14.00,39.32,138.52,1093.75,0.871
134,305.00,223.00,28.90,161.22,585.94,0.884
135,242.00,306.00,23.95,176.08,384.11,0.880
136,163.00,40.00,25.77,167.51,444.88,0.874
137,28.00,135.00,28.94,155.61,551.22,0.899
138,142.00,60.00,23.75,171.81,388.45,0.890
139,96.00,50.00,25.44,165.35,427.52,0.878
140,38.00,48.00,26.37,159.20,486.11,0.889
141,118.00,201.00,23.75,164.86,405.82,0.888
142,266.00,128.00,26.12,173.98,453.56,0.931
143,132.00,92.00,26.87,166.81,477.43,0.858
144,80.00,299.00,31.89,151.59,707.47,0.866
145,112.00,175.00,24.11,172.11,388.45,0.890
146,297.00,110.00,24.32,171.21,392.80,0.900
147,197.00,316.00,26.34,169.14,464.41,0.924
148,47.00,278.00,47.51,135.85,1649.31,0.873
149,57.00,226.00,27.85,152.81,520.83,0.863
150,60.00,22.00,25.69,164.56,447.05,0.890
151,201.00,298.00,29.88,155.06,603.30,0.877
152,144.00,256.00,37.29,146.98,967.88,0.911
153,153.00,301.00,24.30,168.25,388.45,0.933
154,187.00,249.00,23.75,169.13,388.45,0.890
155,300.00,184.00,29.27,156.03,590.28,0.891
156,60.00,242.00,25.60,155.57,438.37,0.872
157,211.00,22.00,28.40,162.77,549.05,0.885
158,270.00,28.00,24.91,164.23,421.01,0.892
159,225.00,209.00,27.53,152.95,520.83,0.898
160,16.00,261.00,28.62,155.52,544.70,0.913
161,55.00,154.00,57.32,132.98,2035.59,0.768
162,313.00,210.00,25.58,158.45,449.22,0.883
163,139.00,286.00,26.89,164.83,470.92,0.909
164,300.00,154.00,25.77,164.39,440.54,0.829
165,54.00,56.00,23.29,159.94,368.92,0.916
166,222.00,257.00,23.58,166.71,362.41,0.870
167,13.00,247.00,23.29,154.55,368.92,0.916
168,12.00,276.00,24.82,155.74,412.33,0.914
169,208.00,214.00,25.44,156.88,423.18,0.908
170,235.00,230.00,23.97,157.44,375.43,0.901
171,27.00,210.00,49.53,128.35,1302.08,0.771
172,170.00,11.00,25.11,161.21,410.16,0.842
173,205.00,350.00,43.30,147.60,1341.15,0.916
174,204.00,424.00,44.01,148.10,1365.02,0.893
175,225.00,365.00,49.55,144.19,1753.47,0.929
176,294.00,366.00,41.20,151.71,1210.94,0.904
177,129.00,354.00,49.57,141.90,1746.96,0.891
178,249.00,351.00,57.21,136.56,2417.53,0.879
179,190.00,443.00,42.90,148.52,1306.42,0.892
180,227.00,431.00,40.09,149.90,1126.30,0.905
181,268.00,382.00,37.46,151.67,987.41,0.884
182,181.00,421.00,40.46,151.33,1143.66,0.894
