Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,498.00,453.00,15.67,140.22,166.00,0.913
1,416.00,465.00,13.42,148.33,124.00,0.928
2,341.00,336.00,11.80,152.98,98.00,0.901
3,486.00,383.00,12.59,153.40,104.00,0.898
4,234.00,318.00,13.16,148.36,121.00,0.906
5,374.00,477.00,14.32,144.40,138.00,0.871
6,479.00,454.00,19.93,134.56,264.00,0.855
7,399.00,377.00,11.67,158.42,89.50,0.890
8,469.00,328.00,13.71,149.96,124.50,0.906
9,440.00,391.00,14.87,144.74,153.50,0.865
10,336.00,465.00,13.68,148.72,127.50,0.892
11,89.00,475.00,13.60,136.74,102.00,0.829
12,332.00,450.00,12.37,151.83,98.50,0.840
13,407.00,432.00,18.42,137.45,223.00,0.849
14,335.00,353.00,17.01,140.00,202.00,0.888
15,461.00,461.00,15.76,140.63,171.00,0.909
16,433.00,340.00,11.75,156.56,92.00,0.885
17,354.00,467.00,19.91,134.43,272.50,0.866
18,464.00,370.00,15.26,144.57,147.00,0.881
19,162.00,486.00,13.16,139.73,118.50,0.913
20,129.00,489.00,13.72,135.83,131.00,0.892
21,48.00,449.00,21.23,123.28,313.00,0.852
22,362.00,319.00,13.96,147.50,134.00,0.878
23,333.00,485.00,11.89,154.43,93.00,0.895
24,63.00,288.00,11.43,140.54,84.50,0.880
25,422.00,391.00,17.87,138.00,222.00,0.907
26,353.00,501.00,15.27,143.47,158.50,0.894
27,161.00,426.00,11.71,146.65,94.00,0.864
28,58.00,475.00,14.65,138.03,115.00,0.783
29,392.00,364.00,12.39,149.06,104.00,0.876
30,341.00,382.00,12.66,151.58,109.50,0.895
31,82.00,446.00,17.80,133.87,209.00,0.880
32,317.00,495.00,17.52,137.44,214.00,0.901
33,462.00,444.00,15.81,140.81,158.50,0.894
34,429.00,408.00,15.02,143.76,152.00,0.879
35,411.00,411.00,18.55,134.08,237.50,0.861
36,382.00,379.00,21.71,133.09,329.50,0.882
37,353.00,344.00,13.42,148.69,122.00,0.913
38,372.00,458.00,16.12,144.61,173.00,0.907
39,493.00,64.00,22.04,131.16,350.50,0.885
40,413.00,97.00,36.04,120.13,953.50,0.904
41,333.00,405.00,18.87,140.02,229.50,0.856
42,364.00,125.00,24.04,126.48,403.50,0.866
43,490.00,20.00,26.44,126.52,488.50,0.884
44,402.00,35.00,18.60,140.51,247.00,0.903
45,363.00,26.00,23.81,130.16,403.50,0.893
46,456.00,74.00,19.21,137.53,258.50,0.901
47,453.00,381.00,13.59,150.67,124.50,0.871
48,319.00,474.00,20.25,132.29,294.00,0.894
49,380.00,319.00,15.62,144.58,170.00,0.891
50,471.00,384.00,12.81,151.20,106.50,0.855
51,351.00,413.00,12.69,147.96,112.00,0.927
52,358.00,428.00,16.40,140.86,185.50,0.889
53,82.00,444.00,23.77,120.11,292.50,0.802
54,13.00,402.00,20.25,123.22,289.00,0.806
55,386.00,399.00,16.13,143.24,172.50,0.895
56,403.00,392.00,17.00,139.27,198.00,0.898
57,409.00,364.00,17.03,140.45,196.50,0.872
58,327.00,371.00,18.92,137.89,236.50,0.882
