Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,25.00,33.00,36.92,33.61,993.92,0.908
1,72.00,35.00,45.83,33.57,1499.57,0.873
2,102.00,137.00,42.18,32.14,1228.30,0.893
3,211.00,117.00,44.79,33.14,1406.25,0.904
4,304.00,61.00,40.93,34.99,1167.53,0.905
5,233.00,163.00,45.30,32.72,1464.84,0.903
6,288.00,73.00,42.65,34.46,1291.23,0.898
7,76.00,99.00,53.48,34.29,2009.55,0.874
8,254.00,28.00,41.24,34.00,1202.26,0.897
9,28.00,14.00,43.37,33.73,1323.78,0.904
10,311.00,94.00,49.04,34.91,1699.22,0.894
11,281.00,34.00,40.90,34.02,1189.24,0.864
12,202.00,172.00,56.30,32.49,2233.07,0.877
13,170.00,271.00,35.71,31.08,881.08,0.893
14,265.00,185.00,43.42,32.33,1343.32,0.879
15,99.00,73.00,44.67,34.61,1401.91,0.888
16,173.00,218.00,44.89,32.43,1419.27,0.869
17,282.00,54.00,41.85,33.79,1234.81,0.881
18,41.00,64.00,35.16,32.41,859.38,0.898
19,293.00,194.00,46.12,33.02,1519.10,0.899
20,123.00,58.00,50.51,33.72,1818.58,0.893
21,153.00,204.00,48.89,31.91,1710.07,0.906
22,158.00,176.00,52.88,31.83,1990.02,0.896
23,139.00,286.00,31.15,30.34,690.10,0.919
24,62.00,206.00,44.39,33.01,1388.89,0.893
25,126.00,104.00,40.36,34.13,1137.15,0.906
26,232.00,119.00,43.51,33.91,1325.95,0.889
27,209.00,268.00,46.73,32.56,1566.84,0.877
28,97.00,110.00,43.62,34.06,1343.32,0.879
29,238.00,94.00,46.87,32.19,1547.31,0.901
30,210.00,16.00,34.20,33.70,818.14,0.903
32,157.00,93.00,42.64,33.30,1280.38,0.897
33,164.00,152.00,48.91,33.44,1720.92,0.897
34,255.00,154.00,48.13,33.61,1644.97,0.871
35,49.00,35.00,37.25,32.72,967.88,0.885
36,260.00,91.00,45.19,33.86,1443.14,0.890
37,206.00,230.00,40.86,31.81,1187.07,0.903
38,261.00,63.00,46.16,35.47,1480.03,0.897
39,192.00,90.00,43.08,34.04,1304.25,0.853
40,14.00,165.00,43.52,33.76,1360.68,0.890
41,284.00,173.00,48.21,33.11,1612.41,0.868
42,80.00,298.00,37.39,31.56,993.92,0.908
43,28.00,135.00,35.32,31.78,844.18,0.902
44,113.00,88.00,42.50,34.32,1254.34,0.888
45,174.00,117.00,33.66,31.91,759.55,0.930
46,115.00,121.00,42.67,33.82,1282.55,0.869
47,188.00,258.00,35.05,31.48,863.72,0.903
48,251.00,132.00,42.77,35.11,1295.57,0.891
49,81.00,235.00,47.82,33.58,1601.56,0.917
50,56.00,130.00,36.59,32.50,902.78,0.876
51,97.00,216.00,32.94,32.81,748.70,0.895
52,43.00,252.00,36.70,32.95,920.14,0.866
53,222.00,46.00,48.09,35.39,1631.94,0.892
54,92.00,15.00,40.76,34.57,1178.39,0.896
55,49.00,273.00,52.66,32.75,1950.95,0.897
56,73.00,11.00,33.04,31.24,724.83,0.875
57,177.00,194.00,52.60,32.52,1981.34,0.892
58,234.00,268.00,42.70,31.70,1302.08,0.889
59,170.00,253.00,39.75,31.60,1119.79,0.917
60,187.00,153.00,45.32,33.56,1440.97,0.873
61,33.00,80.00,34.67,33.38,839.84,0.898
62,302.00,42.00,39.04,35.95,1065.54,0.916
63,23.00,93.00,32.10,32.30,694.44,0.850
64,121.00,262.00,47.00,32.87,1588.54,0.889
65,80.00,214.00,37.20,32.37,944.01,0.870
66,19.00,291.00,40.68,32.30,1178.39,0.896
67,197.00,133.00,39.68,33.21,1063.37,0.871
68,188.00,275.00,36.09,31.74,896.27,0.862
69,162.00,56.00,52.45,36.42,1946.61,0.903
70,164.00,36.00,31.92,32.28,698.78,0.886
71,86.00,60.00,32.94,30.92,753.04,0.913
72,13.00,246.00,27.95,28.36,529.51,0.913
73,57.00,153.00,62.34,33.50,2751.74,0.878
74,180.00,72.00,46.60,34.15,1514.76,0.897
75,13.00,145.00,40.01,32.46,1072.05,0.878
76,214.00,92.00,52.09,34.14,1831.60,0.892
77,70.00,254.00,27.23,28.18,507.81,0.876
80,203.00,66.00,51.04,24.03,1801.22,0.885
81,294.00,234.00,33.95,32.12,759.55,0.887
82,197.00,35.00,40.95,35.56,1193.58,0.891
83,147.00,41.00,33.09,34.42,722.66,0.907
84,303.00,177.00,34.26,32.74,798.61,0.873
85,177.00,134.00,40.93,33.71,1148.00,0.873
86,172.00,8.00,29.37,31.85,598.96,0.904
87,81.00,194.00,46.10,33.64,1462.67,0.887
88,243.00,54.00,39.71,34.59,1056.86,0.835
89,295.00,299.00,50.35,31.52,1731.77,0.897
90,209.00,149.00,45.21,32.47,1425.78,0.879
91,97.00,49.00,31.18,31.57,659.72,0.879
92,180.00,296.00,58.08,32.10,2391.49,0.886
93,101.00,199.00,37.75,32.47,987.41,0.910
94,11.00,276.00,29.15,31.26,570.75,0.885
95,230.00,141.00,47.99,33.44,1629.77,0.877
96,230.00,20.00,46.86,34.96,1538.63,0.875
97,62.00,288.00,26.68,28.74,479.60,0.851
98,99.00,313.00,37.59,32.35,980.90,0.896
99,144.00,74.00,46.35,33.93,1469.18,0.906
100,31.00,154.00,39.84,31.02,1098.09,0.875
101,144.00,255.00,41.96,31.92,1226.13,0.875
102,15.00,261.00,34.20,31.35,785.59,0.887
103,40.00,232.00,45.86,34.55,1501.74,0.889
104,140.00,312.00,40.09,31.90,1132.81,0.902
105,187.00,243.00,29.46,30.09,551.22,0.899
106,67.00,81.00,30.33,33.20,655.38,0.873
107,227.00,70.00,51.72,31.96,1859.81,0.900
108,276.00,311.00,38.97,31.23,1054.69,0.899
109,258.00,303.00,38.45,32.74,970.05,0.894
110,57.00,225.00,32.21,29.74,698.78,0.886
111,266.00,122.00,31.29,33.66,642.36,0.887
112,247.00,77.00,32.94,32.89,744.36,0.861
114,132.00,88.00,32.65,27.86,716.15,0.908
115,305.00,277.00,42.18,32.45,1243.49,0.887
116,256.00,280.00,32.94,31.32,733.51,0.898
117,125.00,216.00,44.07,33.44,1358.51,0.873
118,27.00,212.00,41.49,32.09,1197.92,0.871
119,223.00,282.00,30.78,29.04,631.51,0.863
120,38.00,48.00,32.61,31.28,720.49,0.913
121,217.00,244.00,25.28,30.04,421.01,0.892
122,208.00,213.00,29.20,31.09,579.43,0.898
123,222.00,302.00,53.42,33.14,1977.00,0.890
124,118.00,200.00,29.10,32.00,566.41,0.913
125,299.00,154.00,30.33,32.45,601.13,0.883
126,202.00,298.00,34.92,30.39,802.95,0.839
127,280.00,148.00,55.10,32.59,2126.74,0.881
128,112.00,175.00,30.28,31.12,605.47,0.890
129,283.00,267.00,45.03,30.18,1308.59,0.878
130,18.00,79.00,26.56,28.05,462.24,0.870
131,179.00,34.00,32.61,34.30,707.47,0.897
132,308.00,236.00,26.68,30.21,475.26,0.844
133,268.00,108.00,26.34,29.44,442.71,0.881
134,146.00,160.00,27.23,28.63,509.98,0.905
135,83.00,81.00,30.48,32.49,601.13,0.851
136,74.00,69.00,27.11,30.78,492.62,0.875
137,69.00,173.00,26.81,27.46,444.88,0.859
138,109.00,224.00,27.95,29.42,525.17,0.906
139,54.00,71.00,23.85,26.21,381.94,0.904
