Diameter_μm,occupancy
7.51,0
7.66,0
7.66,0
7.92,0
8.59,0
8.84,0
9.32,0
10.62,0
10.62,0
11.22,0
48.97,0
48.81,0
48.67,0
48.64,0
48.19,0
23.32,0
23.29,0
23.29,0
23.03,0
22.54,0
22.54,0
22.44,0
22.44,0
22.42,0
21.96,0
21.87,0
21.45,0
21.45,0
21.07,0
20.52,0
20.47,0
19.98,0
19.81,0
19.76,0
19.59,0
19.3,0
19.21,0
18.87,0
18.63,0
18.63,0
25.86,0
25.82,0
25.77,0
25.69,0
25.68,0
25.57,0
25.49,0
25.47,0
25.43,0
25.35,0
25.17,0
25.17,0
25.13,0
24.82,0
24.78,0
24.49,0
24.49,0
24.3,0
23.75,0
23.75,0
46.49,0
46.38,0
45.64,0
28.21,0
28.05,0
27.95,0
27.52,0
27.42,0
27.28,0
27.23,0
27.13,0
26.66,0
26.61,0
26.44,0
25.86,0
44.82,0
44.15,0
30.83,0
30.68,0
30.61,0
30.61,0
30.52,0
30.33,0
30.11,0
30.05,0
29.27,0
29.26,0
29.18,0
29.13,0
29.08,0
29.03,0
28.94,0
28.94,0
28.62,0
28.39,0
28.34,0
28.25,0
31.99,0
31.87,0
31.84,0
31.8,0
31.73,0
31.73,0
31.67,0
31.58,0
31.53,0
31.13,0
31.13,0
31.07,0
31.05,0
30.9,0
43.41,0
42.92,0
42.48,0
42.47,0
42.13,0
41.64,0
41.59,0
33.4,0
33.39,0
33.11,0
33.07,0
32.94,0
32.94,0
32.78,0
32.65,0
32.61,0
32.4,0
32.27,0
32.21,0
32.01,0
34.99,0
34.92,0
34.92,0
34.76,0
34.67,0
34.17,0
33.97,0
33.95,0
33.7,0
33.59,0
41.33,0
41.13,0
40.32,0
36.71,0
36.67,0
36.02,0
35.84,0
35.84,0
35.8,0
35.75,0
35.75,0
35.71,0
35.68,0
35.53,0
35.5,0
35.41,0
35.1,0
38.35,0
38.02,0
37.9,0
37.6,0
37.35,0
37.29,0
37.23,0
37.2,0
37.17,0
37.1,0
37.09,0
37.04,0
36.77,0
39.95,0
39.67,0
38.65,0
54.09,0
52.5,0
51.44,0
51.13,0
18.05,0
18.04,0
17.68,0
17.53,0
16.87,0
16.59,0
16.34,0
16.3,0
16.27,0
15.87,0
15.87,0
15.49,0
15.49,0
15.38,0
15.23,0
15.02,0
15.02,0
15.02,0
14.73,0
14.37,0
14.21,0
14.17,0
14.06,0
13.65,0
13.6,0
13.6,0
13.51,0
13.51,0
13.18,0
12.81,0
11.79,0
11.22,0
51.63,1
51.58,1
51.54,1
51.54,1
51.47,1
51.09,1
52.66,1
52.66,1
52.43,1
52.4,1
52.29,1
52.21,1
52.09,1
54.1,1
53.76,1
53.46,1
53.12,1
53.12,1
52.96,1
52.71,1
55.99,1
55.77,1
55.44,1
54.71,1
54.54,1
54.46,1
54.17,1
54.16,1
38.95,1
38.91,1
38.91,1
38.91,1
38.78,1
38.57,1
38.54,1
39.42,1
39.39,1
39.38,1
39.33,1
39.32,1
39.14,1
39.0,1
38.95,1
39.92,1
39.92,1
39.71,1
39.6,1
39.53,1
39.53,1
40.09,1
40.07,1
40.07,1
40.07,1
40.04,1
40.03,1
40.02,1
39.95,1
37.04,1
37.04,1
36.97,1
36.92,1
36.92,1
36.87,1
37.45,1
37.7,1
37.67,1
37.59,1
37.57,1
37.56,1
37.56,1
37.54,1
38.0,1
37.94,1
37.9,1
37.76,1
37.73,1
35.51,1
35.49,1
35.43,1
35.42,1
35.84,1
35.84,1
36.0,1
35.96,1
35.95,1
35.94,1
35.93,1
35.92,1
35.84,1
36.7,1
36.61,1
36.57,1
36.38,1
36.07,1
40.49,1
40.48,1
40.45,1
40.41,1
40.4,1
40.23,1
40.19,1
40.96,1
40.78,1
40.76,1
40.69,1
40.67,1
40.57,1
40.55,1
40.54,1
41.29,1
41.24,1
41.2,1
41.18,1
41.09,1
41.04,1
40.99,1
41.58,1
41.51,1
41.47,1
41.42,1
41.39,1
41.37,1
41.32,1
33.83,1
33.74,1
33.73,1
33.59,1
33.59,1
33.45,1
33.98,1
33.98,1
33.95,1
33.92,1
33.92,1
34.73,1
34.73,1
34.72,1
34.63,1
34.49,1
34.36,1
35.05,1
35.0,1
34.93,1
34.92,1
34.79,1
32.54,1
32.34,1
32.09,1
32.94,1
32.84,1
32.8,1
32.65,1
32.63,1
33.14,1
32.98,1
32.94,1
32.94,1
32.94,1
33.4,1
33.34,1
33.28,1
33.26,1
33.26,1
33.19,1
42.13,1
41.93,1
41.93,1
41.78,1
41.67,1
42.59,1
42.52,1
42.39,1
42.26,1
42.24,1
42.22,1
42.97,1
42.97,1
42.95,1
42.9,1
42.67,1
42.64,1
42.59,1
43.75,1
43.37,1
43.19,1
43.17,1
43.03,1
43.02,1
42.99,1
31.12,1
31.11,1
31.09,1
31.03,1
30.85,1
31.36,1
31.35,1
31.32,1
31.32,1
31.32,1
31.25,1
31.62,1
31.47,1
31.9,1
31.9,1
31.89,1
31.81,1
31.8,1
28.94,1
28.86,1
28.21,1
29.16,1
29.07,1
30.26,1
30.04,1
29.79,1
29.52,1
30.7,1
30.61,1
30.33,1
44.05,1
44.03,1
44.0,1
43.86,1
43.85,1
43.83,1
43.83,1
43.8,1
44.46,1
44.35,1
44.3,1
44.27,1
44.22,1
44.15,1
44.07,1
44.89,1
44.88,1
44.81,1
44.77,1
44.7,1
44.55,1
44.54,1
45.26,1
45.14,1
45.1,1
45.1,1
45.07,1
45.02,1
44.95,1
44.89,1
26.54,1
26.1,1
26.09,1
25.99,1
27.33,1
27.26,1
27.21,1
27.18,1
26.79,1
27.8,1
27.8,1
27.52,1
27.5,1
27.41,1
27.33,1
28.17,1
28.09,1
27.95,1
27.92,1
27.81,1
45.71,1
45.64,1
45.59,1
45.55,1
45.43,1
45.29,1
45.27,1
46.45,1
46.42,1
46.17,1
46.13,1
45.94,1
45.9,1
45.79,1
47.51,1
47.36,1
47.34,1
47.33,1
47.11,1
46.79,1
46.52,1
48.08,1
48.08,1
48.01,1
48.01,1
47.89,1
47.84,1
47.77,1
47.7,1
24.3,1
24.27,1
24.0,1
23.94,1
23.87,1
23.49,1
25.1,1
24.33,1
25.35,1
25.35,1
25.17,1
25.69,1
19.5,1
20.55,1
20.52,1
20.25,1
22.37,1
23.29,1
22.93,1
48.43,1
48.36,1
48.36,1
48.28,1
48.26,1
48.24,1
48.17,1
49.15,1
48.89,1
48.79,1
48.55,1
49.71,1
49.66,1
49.52,1
49.52,1
49.46,1
49.45,1
49.36,1
49.2,1
50.97,1
50.54,1
50.2,1
49.83,1
49.81,1
49.81,1
49.8,1
49.76,1
56.26,1
56.29,1
57.89,1
59.06,1
59.63,1
60.13,1
61.11,1
61.58,1
75.56,1
120.38,1
