Diameter_μm,occupancy
21.05,1
19.79,1
21.12,1
23.44,1
19.65,1
19.29,1
20.17,1
20.52,1
25.69,1
25.17,1
28.26,1
27.36,1
25.5,1
24.59,1
27.22,1
22.67,1
32.61,1
36.61,1
41.51,1
32.05,1
27.95,1
51.42,1
48.59,1
35.67,1
28.31,1
31.98,1
32.11,1
31.47,1
35.31,1
44.97,1
34.01,1
45.94,1
44.39,1
40.36,1
43.51,1
46.73,1
43.62,1
46.87,1
34.2,1
42.64,1
44.89,1
41.85,1
35.16,1
46.12,1
50.51,1
48.89,1
52.88,1
31.15,1
41.24,1
43.37,1
49.04,1
40.9,1
56.3,1
35.71,1
43.42,1
44.67,1
18.63,1
45.83,1
42.18,1
44.79,1
40.93,1
45.3,1
42.65,1
53.48,1
31.18,1
58.08,1
37.75,1
29.15,1
47.99,1
46.86,1
26.68,1
37.59,1
33.09,1
34.26,1
40.93,1
29.37,1
46.1,1
39.71,1
50.35,1
45.21,1
62.34,1
46.6,1
40.01,1
52.09,1
27.23,1
51.04,1
33.95,1
40.95,1
37.2,1
40.68,1
39.68,1
36.09,1
52.45,1
31.92,1
32.94,1
27.95,1
29.1,1
30.33,1
34.92,1
55.1,1
30.28,1
45.03,1
26.56,1
32.61,1
32.94,1
44.07,1
41.49,1
30.78,1
32.61,1
25.28,1
29.2,1
53.42,1
51.72,1
38.97,1
38.45,1
32.21,1
31.29,1
32.94,1
32.65,1
42.18,1
46.35,1
39.84,1
41.96,1
34.2,1
45.86,1
40.09,1
29.46,1
30.33,1
43.7,1
48.34,1
45.48,1
41.13,1
38.9,1
41.18,1
41.2,1
41.09,1
25.44,1
24.7,1
25.77,1
24.0,1
29.61,1
45.97,1
36.77,1
37.56,1
29.1,1
24.27,1
25.99,1
30.76,1
47.64,1
43.97,1
27.3,1
32.56,1
26.68,1
26.34,1
27.23,1
30.48,1
27.11,1
26.81,1
27.95,1
23.85,1
52.59,1
40.31,1
44.05,1
45.07,1
36.06,1
33.59,1
32.34,1
49.58,1
35.58,1
41.93,1
33.11,1
33.47,1
46.59,1
41.95,1
32.41,1
54.29,1
52.3,1
39.71,1
53.7,1
33.7,1
43.07,1
39.53,1
45.14,1
46.6,1
46.36,1
38.55,1
47.87,1
44.66,1
39.06,1
34.06,1
42.31,1
45.18,1
38.95,1
48.83,1
40.09,1
36.98,1
31.8,1
32.94,1
60.57,1
25.7,1
32.69,1
46.7,1
40.97,1
31.98,1
55.48,1
32.1,1
40.55,1
50.74,1
36.92,1
45.23,1
48.14,1
29.97,1
33.73,1
38.88,1
37.27,1
41.35,1
35.01,1
57.21,1
42.53,1
43.99,1
50.45,1
32.94,1
43.84,1
48.85,1
48.16,1
45.33,1
74.32,1
44.99,1
42.95,1
47.85,1
53.44,1
48.82,1
44.39,1
42.97,1
41.67,1
41.16,1
42.42,1
55.13,1
44.85,1
35.2,1
35.68,1
114.61,1
48.42,1
43.72,1
43.08,1
51.54,1
50.18,1
44.54,1
28.47,1
24.3,1
31.73,1
28.35,1
29.83,1
27.92,1
25.86,1
25.77,1
28.9,1
30.26,1
32.94,1
40.07,1
44.09,1
37.05,1
41.56,1
34.2,1
37.82,1
38.3,1
36.44,1
39.38,1
35.78,1
42.29,1
34.81,1
42.56,1
58.93,1
34.17,1
34.59,1
32.94,1
42.24,1
44.16,1
51.52,1
40.85,1
40.67,1
39.77,1
34.63,1
56.21,1
40.44,1
40.85,1
55.6,1
46.49,1
30.97,1
38.91,1
29.47,1
43.07,1
33.7,1
37.04,1
33.8,1
50.81,1
40.82,1
30.45,1
36.98,1
52.09,1
55.4,1
29.87,1
34.73,1
34.92,1
45.88,1
28.47,1
39.35,1
32.71,1
40.35,1
36.45,1
40.48,1
32.34,1
39.06,1
50.39,1
36.44,1
39.5,1
28.34,1
29.59,1
29.54,1
33.37,1
39.82,1
44.69,1
30.09,1
39.31,1
41.46,1
33.84,1
52.25,1
49.89,1
51.83,1
48.13,1
33.2,1
39.4,1
43.13,1
48.7,1
40.06,1
36.47,1
37.49,1
25.43,1
27.09,1
24.26,1
48.69,1
41.66,1
37.27,1
45.18,1
25.86,1
38.63,1
30.66,1
58.84,1
27.95,1
28.58,1
41.08,1
32.65,1
44.19,1
54.09,1
51.45,1
31.03,1
41.91,1
35.75,1
28.74,1
43.01,1
36.93,1
32.34,1
38.38,1
45.55,1
49.85,1
38.95,1
32.97,1
48.05,1
34.92,1
41.66,1
40.65,1
36.72,1
34.06,1
55.03,1
45.02,1
28.03,1
39.53,1
42.05,1
37.92,1
29.83,1
52.62,1
49.75,1
35.61,1
46.86,1
52.6,1
42.7,1
39.75,1
45.32,1
34.67,1
39.04,1
32.1,1
47.0,1
47.82,1
36.59,1
32.94,1
36.7,1
48.09,1
40.76,1
52.66,1
33.04,1
48.21,1
37.39,1
35.32,1
42.5,1
33.66,1
42.67,1
35.05,1
42.77,1
48.91,1
48.13,1
37.25,1
45.19,1
40.86,1
46.16,1
43.08,1
43.52,1
15.87,1
16.27,1
18.78,1
23.05,1
18.22,1
22.73,1
18.41,1
14.27,1
23.85,1
21.58,1
20.83,1
23.29,1
21.01,1
19.26,1
15.36,1
12.15,1
12.15,1
12.15,1
23.65,1
23.29,1
22.93,1
24.11,1
21.45,1
21.45,1
17.92,1
20.1,1
14.37,1
22.05,1
13.99,1
36.92,1
