Diameter_μm,occupancy
32.81,0
31.67,0
31.8,0
31.84,0
31.87,0
31.9,0
31.95,0
31.95,0
31.98,0
32.05,0
32.21,0
32.26,0
32.34,0
32.36,0
32.49,0
32.7,0
31.33,0
32.94,0
32.94,0
32.98,0
33.01,0
33.01,0
33.16,0
33.21,0
33.21,0
33.35,0
33.61,0
33.85,0
33.86,0
33.92,0
34.02,0
30.33,0
29.55,0
29.56,0
29.61,0
29.64,0
29.87,0
29.95,0
29.97,0
30.01,0
30.05,0
30.08,0
30.11,0
30.2,0
30.29,0
30.33,0
30.33,0
34.17,0
30.45,0
30.56,0
30.76,0
30.76,0
30.83,0
30.88,0
30.97,0
30.97,0
31.01,0
31.03,0
31.12,0
31.25,0
31.26,0
31.29,0
37.69,0
36.63,0
36.73,0
36.86,0
36.9,0
36.92,0
36.92,0
37.11,0
37.11,0
37.23,0
37.27,0
37.36,0
37.39,0
37.5,0
37.59,0
37.67,0
36.59,0
37.78,0
37.79,0
37.83,0
37.92,0
37.99,0
38.31,0
38.42,0
38.42,0
38.48,0
38.65,0
38.65,0
38.68,0
38.75,0
38.8,0
35.15,0
34.17,0
34.2,0
34.2,0
34.24,0
34.33,0
34.49,0
34.51,0
34.63,0
34.67,0
34.68,0
34.74,0
34.9,0
34.92,0
34.92,0
29.46,0
35.42,0
35.49,0
35.6,0
35.66,0
35.66,0
35.68,0
35.75,0
35.83,0
35.99,0
36.04,0
36.09,0
36.2,0
36.38,0
36.44,0
19.9,0
16.6,0
16.8,0
16.87,0
16.87,0
16.87,0
17.0,0
17.21,0
17.31,0
17.86,0
18.63,0
19.4,0
19.67,0
19.76,0
19.76,0
19.79,0
16.6,0
19.91,0
19.98,0
20.14,0
20.19,0
20.6,0
20.64,0
20.83,0
21.04,0
21.07,0
21.28,0
21.45,0
21.45,0
21.45,0
21.45,0
15.02,0
11.49,0
12.08,0
12.15,0
12.15,0
13.18,0
13.48,0
13.75,0
53.24,0
212.24,0
5.89,0
9.32,0
14.02,0
14.21,0
15.02,0
21.52,0
15.02,0
15.02,0
15.14,0
15.18,0
15.23,0
15.29,0
15.53,0
15.87,0
10.42,0
16.03,0
16.27,0
16.27,0
16.28,0
16.34,0
27.26,0
25.16,0
25.21,0
25.24,0
25.35,0
25.43,0
25.47,0
26.1,0
26.1,0
26.13,0
26.15,0
26.44,0
26.55,0
26.68,0
26.96,0
27.17,0
25.11,0
27.26,0
27.4,0
27.52,0
27.62,0
28.01,0
28.12,0
28.34,0
28.34,0
28.39,0
28.56,0
29.24,0
29.29,0
29.36,0
29.36,0
23.53,0
21.64,0
21.89,0
22.18,0
22.44,0
22.44,0
22.54,0
22.55,0
22.61,0
22.72,0
22.95,0
23.29,0
23.43,0
23.44,0
23.44,0
88.29,0
23.57,0
23.75,0
23.75,0
23.75,0
23.78,0
23.81,0
23.84,0
23.95,0
24.3,0
24.39,0
24.42,0
24.44,0
24.89,0
25.0,0
49.57,0
51.72,0
51.62,0
40.97,0
50.93,0
40.99,0
50.11,0
49.82,0
41.2,0
41.21,0
41.22,0
40.93,0
41.54,0
9.6,0
41.6,0
48.1,0
41.67,0
47.95,0
41.69,0
41.81,0
41.87,0
40.55,0
40.17,0
40.25,0
40.42,0
10.62,0
40.43,0
40.45,0
40.45,0
52.66,0
52.26,0
40.55,0
41.9,0
40.61,0
40.62,0
40.68,0
40.7,0
40.76,0
40.76,0
40.86,0
40.86,0
51.9,0
44.26,0
43.95,0
43.96,0
44.02,0
44.04,0
44.19,0
45.64,0
44.22,0
45.5,0
38.89,0
44.22,0
43.87,0
44.29,0
45.09,0
44.33,0
44.37,0
44.39,0
44.57,0
44.61,0
44.64,0
44.67,0
46.89,0
42.18,0
47.44,0
42.38,0
42.49,0
47.03,0
42.77,0
42.91,0
46.95,0
42.95,0
41.46,0
42.97,0
46.25,0
43.35,0
45.93,0
45.88,0
43.42,0
43.56,0
43.58,0
43.73,0
61.33,0
40.07,0
54.65,0
40.05,0
10.42,0
40.02,0
62.67,0
39.92,0
39.86,0
56.1,0
39.06,0
56.51,0
39.26,0
39.81,0
61.72,0
56.68,0
56.7,0
61.33,0
39.29,0
57.28,0
39.71,0
60.7,0
39.44,0
39.44,0
39.65,0
39.55,0
39.6,0
54.52,0
11.22,0
40.13,0
40.1,0
67.48,0
53.99,0
38.92,0
38.97,0
23.85,1
24.49,1
13.98,1
23.97,1
23.97,1
24.01,1
24.14,1
13.98,1
24.3,1
13.98,1
45.91,1
13.96,1
26.1,1
60.91,1
44.88,1
45.87,1
11.79,1
26.68,1
26.66,1
26.1,1
24.46,1
24.54,1
46.82,1
23.29,1
26.68,1
23.36,1
14.06,1
46.95,1
58.58,1
26.68,1
45.07,1
13.99,1
23.53,1
46.32,1
46.73,1
23.58,1
23.75,1
26.68,1
46.63,1
46.63,1
46.6,1
46.59,1
23.8,1
46.34,1
25.77,1
25.35,1
45.5,1
45.19,1
45.14,1
26.25,1
25.47,1
62.19,1
13.42,1
26.18,1
25.6,1
25.77,1
13.6,1
25.82,1
25.82,1
44.98,1
12.39,1
25.91,1
45.07,1
12.15,1
64.22,1
26.1,1
67.32,1
15.87,1
26.55,1
24.57,1
14.17,1
24.7,1
24.82,1
24.84,1
45.79,1
44.89,1
55.55,1
44.97,1
26.1,1
26.1,1
48.64,1
45.72,1
26.1,1
26.36,1
22.72,1
26.35,1
45.56,1
25.17,1
45.51,1
19.65,1
18.27,1
55.63,1
15.57,1
55.77,1
18.63,1
15.38,1
18.63,1
18.78,1
18.89,1
18.89,1
19.21,1
19.21,1
18.1,1
19.65,1
15.38,1
51.45,1
51.24,1
19.76,1
15.32,1
15.32,1
50.69,1
19.91,1
50.2,1
50.02,1
15.27,1
17.01,1
53.6,1
16.8,1
16.8,1
53.69,1
16.8,1
16.5,1
53.12,1
53.07,1
52.71,1
16.36,1
16.34,1
17.0,1
56.67,1
52.61,1
17.28,1
52.36,1
17.31,1
17.68,1
16.3,1
54.17,1
17.87,1
17.92,1
55.42,1
17.92,1
17.96,1
58.44,1
14.37,1
47.74,1
22.18,1
14.27,1
22.44,1
47.65,1
47.55,1
14.21,1
22.54,1
47.45,1
22.54,1
22.55,1
47.79,1
47.4,1
22.63,1
22.63,1
22.67,1
16.8,1
47.36,1
22.75,1
22.88,1
47.3,1
10.98,1
22.96,1
23.05,1
48.64,1
20.52,1
56.67,1
20.52,1
49.39,1
49.22,1
28.58,1
20.83,1
49.19,1
48.69,1
21.12,1
21.25,1
15.02,1
23.29,1
21.45,1
48.35,1
48.11,1
47.96,1
15.02,1
21.68,1
21.73,1
57.44,1
21.73,1
21.75,1
21.86,1
14.78,1
40.45,1
34.24,1
34.43,1
40.73,1
34.57,1
34.73,1
34.79,1
34.92,1
40.52,1
40.48,1
34.93,1
34.93,1
34.98,1
35.06,1
35.1,1
34.19,1
35.51,1
35.52,1
35.55,1
35.6,1
35.63,1
40.25,1
40.24,1
35.84,1
35.99,1
40.11,1
36.1,1
36.12,1
40.08,1
33.65,1
41.54,1
33.01,1
41.36,1
33.03,1
33.07,1
33.16,1
33.2,1
33.33,1
41.04,1
33.35,1
33.41,1
33.59,1
33.59,1
33.61,1
36.33,1
33.69,1
33.72,1
40.96,1
33.91,1
40.95,1
33.93,1
33.93,1
33.97,1
40.93,1
34.02,1
34.1,1
34.12,1
40.87,1
38.31,1
37.55,1
39.53,1
37.78,1
37.78,1
37.83,1
39.32,1
37.83,1
37.86,1
39.31,1
37.94,1
38.01,1
38.06,1
38.21,1
38.25,1
37.43,1
39.13,1
38.44,1
38.45,1
38.47,1
39.0,1
38.49,1
38.51,1
38.52,1
38.53,1
38.98,1
38.69,1
38.91,1
38.79,1
36.97,1
36.34,1
40.07,1
36.42,1
36.49,1
36.5,1
40.04,1
36.66,1
36.67,1
36.71,1
40.01,1
36.92,1
39.83,1
36.92,1
36.92,1
32.98,1
37.05,1
37.09,1
37.1,1
39.73,1
37.12,1
37.12,1
37.2,1
39.71,1
37.29,1
37.29,1
39.71,1
39.67,1
37.4,1
29.61,1
28.58,1
28.62,1
28.63,1
28.73,1
28.98,1
29.02,1
29.09,1
29.14,1
29.14,1
29.26,1
29.26,1
43.88,1
29.61,1
29.61,1
28.43,1
29.61,1
43.84,1
29.83,1
43.83,1
29.97,1
43.36,1
30.1,1
43.35,1
30.2,1
30.22,1
43.33,1
43.25,1
43.16,1
44.56,1
27.16,1
27.16,1
27.16,1
27.16,1
27.23,1
27.23,1
27.26,1
44.6,1
27.33,1
27.41,1
27.42,1
27.45,1
27.45,1
27.5,1
43.15,1
27.53,1
27.54,1
27.73,1
27.95,1
27.95,1
27.95,1
28.1,1
28.12,1
28.25,1
28.34,1
28.35,1
28.39,1
44.24,1
41.8,1
42.32,1
31.87,1
31.87,1
42.31,1
31.88,1
42.24,1
42.18,1
42.18,1
32.01,1
32.05,1
32.05,1
32.15,1
41.84,1
32.34,1
42.37,1
32.48,1
32.57,1
32.58,1
32.61,1
32.75,1
41.67,1
32.94,1
32.94,1
32.94,1
32.94,1
32.94,1
32.97,1
32.97,1
42.95,1
30.36,1
43.13,1
30.46,1
30.51,1
43.05,1
30.6,1
30.64,1
42.98,1
30.76,1
42.97,1
30.85,1
30.85,1
42.95,1
30.91,1
27.11,1
31.0,1
31.01,1
42.77,1
42.7,1
31.25,1
31.26,1
42.53,1
42.48,1
31.36,1
31.38,1
31.67,1
31.73,1
31.78,1
