Diameter_μm,occupancy
36.86,0
32.61,0
35.29,0
39.67,0
25.11,0
40.48,0
36.94,0
16.8,0
19.65,0
18.41,0
6.59,0
18.78,0
10.74,0
15.38,0
21.09,0
43.72,0
20.19,0
17.8,0
16.27,0
13.34,0
17.8,0
18.22,0
11.65,0
11.22,0
33.15,0
35.5,0
24.82,0
33.95,0
14.78,0
15.17,0
15.72,0
11.53,0
40.78,0
14.73,0
27.72,0
31.16,0
32.94,0
11.22,0
9.32,0
13.51,0
12.15,0
19.89,0
15.49,0
5.89,0
11.88,0
17.15,0
8.84,0
13.18,0
42.21,0
12.15,0
39.75,0
23.29,0
8.84,0
15.39,0
15.17,0
8.59,0
22.44,0
20.64,0
15.87,0
24.49,0
6.59,0
47.53,0
31.14,0
29.83,0
35.41,0
25.17,0
27.38,0
16.8,0
18.63,0
5.21,0
22.83,0
15.99,0
27.61,0
37.78,0
30.11,0
28.98,0
32.13,0
34.67,0
35.23,0
28.47,0
22.45,0
23.36,0
6.59,0
16.8,0
16.56,0
17.92,0
19.91,0
30.58,0
20.76,0
15.53,0
19.26,0
17.15,0
7.51,0
13.18,0
22.54,0
21.12,0
24.54,0
29.96,0
24.3,0
26.15,0
28.46,0
26.44,0
12.77,0
12.92,0
15.99,0
15.02,0
12.15,0
19.3,0
21.77,0
23.95,0
23.29,0
31.03,0
22.37,0
11.22,0
15.87,0
22.83,0
19.36,0
15.38,0
11.88,0
12.15,0
22.67,0
13.42,0
15.02,0
12.15,0
20.64,0
14.27,0
23.05,0
6.59,0
23.94,0
27.01,0
11.53,0
18.15,0
11.88,0
16.8,0
14.79,0
11.53,0
6.59,0
21.58,0
19.81,0
21.45,0
15.02,0
17.92,0
34.5,0
36.18,0
17.15,0
13.48,0
13.75,0
16.8,0
10.02,0
17.29,0
18.19,0
15.23,0
16.23,0
19.79,0
17.92,0
13.42,0
13.34,0
15.38,0
13.98,0
10.52,0
44.15,0
34.28,0
32.67,0
15.02,0
15.32,0
22.32,0
21.45,0
20.6,0
21.45,0
20.76,0
30.97,0
25.54,0
29.87,0
26.68,0
26.44,0
25.35,0
7.66,0
19.85,0
15.38,0
17.31,0
22.88,0
20.45,0
17.68,0
21.08,0
15.02,0
16.27,0
20.32,0
6.59,0
13.98,0
18.28,0
16.03,0
20.86,0
31.22,0
30.13,0
33.41,0
32.61,0
33.25,0
39.32,0
24.7,0
30.61,0
24.3,0
29.8,0
43.16,0
28.38,0
28.54,0
26.17,0
25.69,0
40.5,0
19.84,0
22.15,0
13.98,0
23.65,0
30.05,0
26.24,0
23.97,0
26.28,0
10.8,0
15.19,0
15.49,0
22.59,0
22.64,0
13.18,0
22.22,0
22.85,0
37.14,0
28.94,0
47.99,0
42.7,0
37.64,0
42.92,0
39.71,0
37.51,0
45.06,0
35.27,0
35.52,0
41.83,0
46.82,0
31.95,0
36.85,0
31.91,0
31.15,0
30.24,0
47.33,0
35.11,0
45.64,0
36.75,0
41.22,0
35.31,0
44.82,0
34.69,0
15.02,0
18.15,0
9.32,0
24.57,0
36.77,0
35.88,0
33.73,0
26.34,0
30.11,0
24.59,0
37.7,0
