Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,235.00,206.00,85.59,41.54,5458.00,0.884
1,189.00,61.00,42.59,53.14,1272.00,0.887
2,255.00,72.00,63.70,46.54,2984.00,0.900
3,173.00,225.00,45.90,55.72,1486.00,0.908
4,13.00,125.00,35.64,49.12,890.00,0.890
5,41.00,232.00,38.66,50.46,1058.00,0.897
6,181.00,20.00,44.62,49.62,1430.00,0.903
7,131.00,279.00,40.80,52.85,1180.00,0.874
8,256.00,227.00,37.81,49.35,950.00,0.896
9,119.00,219.00,33.41,48.40,790.00,0.888
10,279.00,243.00,38.29,50.26,1048.00,0.906
11,103.00,24.00,39.42,52.91,1100.00,0.891
12,308.00,108.00,46.43,58.40,1566.00,0.914
13,297.00,39.00,42.39,58.10,1292.00,0.901
14,67.00,75.00,32.95,46.18,750.00,0.898
15,56.00,44.00,33.01,47.81,746.00,0.865
213,102.00,351.00,54.69,60.75,2178.00,0.904
214,249.00,432.00,39.89,53.59,1120.00,0.883
215,171.00,328.00,55.49,61.02,2284.00,0.901
216,226.00,413.00,38.64,51.62,1048.00,0.906
217,260.00,330.00,36.89,50.57,944.00,0.898
218,59.00,451.00,38.80,50.25,1070.00,0.883
219,210.00,421.00,28.81,43.73,566.00,0.870
220,121.00,481.00,32.77,45.95,750.00,0.870
303,447.00,279.00,56.17,67.35,2286.00,0.890
304,436.00,299.00,38.78,55.10,1036.00,0.871
305,403.00,262.00,43.27,56.14,1342.00,0.920
307,382.00,122.00,56.44,65.82,2326.00,0.873
308,412.00,177.00,36.00,52.85,908.00,0.900
309,467.00,60.00,48.84,61.19,1694.00,0.871
310,468.00,29.00,27.44,48.61,500.00,0.884
311,494.00,196.00,23.79,45.96,386.00,0.916
445,310.00,368.00,49.92,59.47,1784.00,0.903
446,444.00,424.00,38.80,55.02,1054.00,0.894
447,391.00,440.00,42.44,54.92,1282.00,0.910
448,313.00,313.00,65.20,54.56,3164.00,0.903
449,352.00,437.00,32.81,48.44,744.00,0.883
550,116.00,363.00,19.70,32.31,234.00,0.891
