Mask_ID,Center_X_px,Center_Y_px,Distance_px,Diameter_μm,Ring_Width_μm,Ground_Truth_Diameter_μm,Diameter_Difference_μm,Mean_Intensity,Area_μm²,Circularity,Dark_Edge_Diameter_μm,Dark_Ratio,Slide
0,462.0,444.0,1.0,28.63,5.85,35.84,-7.21,171.88,572.92,0.865,40.12,0.486,z_13
1,486.0,384.0,1.0,23.29,5.84,30.61,-7.32,182.12,368.92,0.873,34.67,0.564,z_14
2,90.0,476.0,1.41,25.84,5.66,32.4,-6.56,169.11,364.58,0.846,36.67,0.575,z_15
3,58.0,476.0,1.0,27.82,5.66,34.92,-7.1,168.69,416.67,0.829,37.81,0.548,z_12
4,312.0,458.0,1.0,23.67,6.22,30.05,-6.38,168.94,373.26,0.884,34.89,0.575,z_14
5,448.0,481.0,1.0,29.45,5.75,36.38,-6.93,172.26,572.92,0.865,40.35,0.524,z_10
7,438.0,438.0,0.0,25.45,5.92,33.95,-8.5,181.27,440.54,0.904,37.02,0.542,z_15
8,369.0,494.0,0.0,26.68,5.87,33.59,-6.91,175.58,483.94,0.859,38.42,0.505,z_15
9,129.0,489.0,1.0,25.86,5.53,31.67,-5.81,164.81,455.73,0.869,35.06,0.525,z_15
10,196.0,473.0,1.0,23.85,5.43,31.05,-7.2,179.19,386.28,0.915,34.71,0.514,z_15
11,336.0,465.0,1.0,25.84,5.74,32.84,-7.0,175.43,464.41,0.885,37.12,0.569,z_14
12,374.0,478.0,1.0,26.44,5.76,33.28,-6.84,174.72,481.77,0.918,37.64,0.528,z_15
13,453.0,382.0,0.0,25.82,6.24,32.94,-7.12,179.57,444.88,0.913,37.29,0.599,z_14
14,353.0,345.0,2.24,25.3,5.59,31.47,-6.17,179.95,429.69,0.91,35.84,0.576,z_13
15,416.0,465.0,1.0,25.6,5.77,31.89,-6.29,176.82,442.71,0.844,36.97,0.552,z_14
16,498.0,454.0,1.41,29.74,5.68,35.93,-6.19,168.75,601.13,0.883,40.35,0.48,z_15
18,66.0,462.0,0.0,27.83,4.31,35.05,-7.22,165.44,525.17,0.906,36.44,0.568,z_14
19,165.0,410.0,0.0,26.1,5.59,34.73,-8.63,175.57,477.43,0.91,37.29,0.556,z_15
20,91.0,335.0,0.0,25.93,5.64,32.78,-6.85,174.43,447.05,0.89,36.44,0.526,z_14
21,13.0,403.0,2.0,38.93,6.21,45.1,-6.17,148.92,1052.52,0.905,48.59,0.572,z_13
22,212.0,473.0,2.0,25.51,5.59,34.72,-9.21,182.45,442.71,0.897,36.52,0.554,z_15
23,49.0,431.0,1.0,26.68,4.53,33.73,-7.05,164.88,496.96,0.882,35.75,0.715,z_15
24,234.0,383.0,1.0,25.13,6.24,32.94,-7.81,177.51,423.18,0.869,36.89,0.586,z_14
25,187.0,341.0,1.0,24.96,5.44,32.65,-7.69,181.12,421.01,0.892,35.84,0.516,z_15
26,188.0,374.0,0.0,24.82,6.01,33.4,-8.58,172.72,416.67,0.883,36.02,0.564,z_14
27,290.0,385.0,2.24,27.16,5.15,31.12,-3.96,160.22,462.24,0.855,36.07,0.575,z_15
28,200.0,332.0,2.83,25.54,5.84,32.94,-7.4,179.42,440.54,0.904,37.12,0.586,z_13
29,103.0,418.0,0.0,25.86,5.7,33.26,-7.4,171.46,449.22,0.846,36.52,0.565,z_14
30,244.0,459.0,3.16,25.77,5.11,33.4,-7.63,176.62,444.88,0.913,34.98,0.469,z_15
31,351.0,413.0,2.24,24.11,5.44,31.03,-6.92,180.15,388.45,0.89,34.67,0.555,z_14
32,12.0,384.0,2.24,27.23,5.9,34.49,-7.26,162.95,492.62,0.912,37.1,0.575,z_15
33,178.0,404.0,1.0,23.53,5.93,30.33,-6.8,173.92,368.92,0.873,34.38,0.624,z_15
34,162.0,486.0,1.0,23.75,6.33,31.32,-7.57,172.12,390.62,0.827,35.48,0.481,z_15
35,404.0,497.0,1.0,42.98,5.74,48.24,-5.26,152.79,1061.2,0.843,53.12,0.388,z_15
36,319.0,474.0,1.0,37.81,5.89,44.35,-6.54,165.91,1013.45,0.907,48.97,0.552,z_13
37,423.0,353.0,2.0,28.94,5.93,39.33,-10.39,182.95,577.26,0.905,40.45,0.519,z_14
