Center_X_px,Center_Y_px,Diameter_μm,slide
298.0,417.0,120.38,z_4
413.0,97.0,75.56,z_8
57.0,153.0,61.58,z_13
249.0,350.0,61.11,z_9
328.0,114.0,60.13,z_12
424.0,294.0,59.63,z_9
52.0,392.0,59.06,z_11
180.0,297.0,57.89,z_11
488.0,16.0,56.29,z_13
202.0,174.0,56.26,z_9
421.0,241.0,55.99,z_14
292.0,455.0,55.77,z_10
82.0,352.0,55.44,z_10
440.0,459.0,54.71,z_9
224.0,365.0,54.54,z_8
383.0,42.0,54.46,z_12
160.0,175.0,54.17,z_14
460.0,401.0,54.16,z_11
128.0,353.0,54.1,z_15
408.0,144.0,54.09,z_13
449.0,329.0,53.76,z_8
222.0,302.0,53.46,z_10
27.0,210.0,53.12,z_8
48.0,273.0,53.12,z_10
77.0,99.0,52.96,z_12
161.0,58.0,52.71,z_9
177.0,195.0,52.66,z_10
364.0,24.0,52.66,z_10
403.0,13.0,52.5,z_4
228.0,68.0,52.43,z_14
222.0,454.0,52.4,z_10
214.0,93.0,52.29,z_10
31.0,377.0,52.21,z_13
445.0,355.0,52.09,z_11
491.0,340.0,51.63,z_8
209.0,386.0,51.58,z_11
362.0,194.0,51.54,z_11
359.0,371.0,51.54,z_9
476.0,421.0,51.47,z_10
320.0,13.0,51.44,z_5
487.0,251.0,51.13,z_14
468.0,347.0,51.09,z_12
362.0,121.0,50.97,z_13
203.0,67.0,50.54,z_9
104.0,437.0,50.2,z_11
257.0,324.0,49.83,z_14
150.0,439.0,49.81,z_12
424.0,23.0,49.81,z_13
124.0,59.0,49.8,z_10
391.0,466.0,49.76,z_15
153.0,204.0,49.71,z_11
231.0,141.0,49.66,z_11
82.0,444.0,49.52,z_8
372.0,142.0,49.52,z_13
314.0,353.0,49.46,z_10
365.0,96.0,49.45,z_15
311.0,94.0,49.36,z_12
295.0,300.0,49.2,z_10
429.0,197.0,49.15,z_11
253.0,498.0,48.97,z_10
166.0,155.0,48.89,z_9
190.0,442.0,48.81,z_13
484.0,101.0,48.79,z_13
416.0,331.0,48.67,z_12
290.0,12.0,48.64,z_2
204.0,424.0,48.55,z_9
294.0,365.0,48.43,z_15
393.0,331.0,48.36,z_12
337.0,426.0,48.36,z_13
211.0,115.0,48.28,z_13
127.0,444.0,48.26,z_15
404.0,496.0,48.24,z_15
274.0,290.0,48.19,z_11
81.0,235.0,48.17,z_11
121.0,262.0,48.08,z_12
261.0,61.0,48.08,z_15
180.0,71.0,48.01,z_13
204.0,349.0,48.01,z_12
382.0,379.0,47.89,z_10
238.0,95.0,47.84,z_10
256.0,153.0,47.77,z_12
284.0,170.0,47.7,z_14
172.0,457.0,47.51,z_13
210.0,269.0,47.36,z_10
92.0,395.0,47.34,z_12
280.0,492.0,47.33,z_11
259.0,423.0,47.11,z_13
293.0,194.0,46.79,z_11
402.0,257.0,46.52,z_12
112.0,241.0,46.49,z_11
39.0,232.0,46.45,z_11
231.0,17.0,46.42,z_13
346.0,302.0,46.38,z_12
181.0,421.0,46.17,z_13
210.0,145.0,46.13,z_15
72.0,36.0,45.94,z_12
264.0,444.0,45.9,z_11
119.0,314.0,45.79,z_14
83.0,145.0,45.71,z_12
48.0,449.0,45.64,z_11
497.0,276.0,45.64,z_15
14.0,165.0,45.59,z_13
260.0,90.0,45.55,z_13
28.0,14.0,45.43,z_8
81.0,194.0,45.29,z_13
388.0,443.0,45.27,z_11
407.0,202.0,45.26,z_13
251.0,130.0,45.14,z_14
13.0,401.0,45.1,z_13
487.0,362.0,45.1,z_12
193.0,490.0,45.07,z_12
121.0,470.0,45.02,z_5
59.0,313.0,44.95,z_13
369.0,411.0,44.89,z_10
419.0,66.0,44.89,z_14
174.0,217.0,44.88,z_13
111.0,334.0,44.82,z_11
227.0,430.0,44.81,z_13
455.0,25.0,44.77,z_11
387.0,105.0,44.7,z_14
154.0,470.0,44.55,z_14
266.0,184.0,44.54,z_12
98.0,110.0,44.46,z_13
319.0,473.0,44.35,z_13
370.0,336.0,44.3,z_10
125.0,217.0,44.27,z_11
146.0,418.0,44.22,z_15
456.0,71.0,44.15,z_11
62.0,206.0,44.15,z_11
469.0,239.0,44.07,z_13
99.0,73.0,44.05,z_15
437.0,78.0,44.03,z_14
354.0,466.0,44.0,z_12
272.0,360.0,43.86,z_15
116.0,121.0,43.85,z_12
479.0,454.0,43.83,z_12
56.0,110.0,43.83,z_14
349.0,445.0,43.8,z_12
157.0,93.0,43.75,z_11
251.0,108.0,43.41,z_14
333.0,91.0,43.37,z_12
467.0,260.0,43.19,z_10
216.0,489.0,43.17,z_12
192.0,90.0,43.03,z_14
232.0,117.0,43.02,z_12
269.0,381.0,42.99,z_15
67.0,432.0,42.97,z_11
114.0,404.0,42.97,z_13
114.0,88.0,42.95,z_14
20.0,185.0,42.92,z_12
403.0,31.0,42.9,z_12
103.0,136.0,42.67,z_13
81.0,318.0,42.64,z_12
446.0,214.0,42.59,z_14
430.0,478.0,42.59,z_13
132.0,331.0,42.52,z_13
111.0,369.0,42.48,z_13
397.0,236.0,42.47,z_12
445.0,305.0,42.39,z_13
19.0,290.0,42.26,z_12
331.0,173.0,42.24,z_12
144.0,255.0,42.22,z_12
52.0,367.0,42.13,z_14
334.0,405.0,42.13,z_12
326.0,371.0,41.93,z_14
153.0,329.0,41.93,z_15
497.0,298.0,41.78,z_13
127.0,387.0,41.67,z_15
501.0,391.0,41.64,z_14
410.0,221.0,41.59,z_13
427.0,370.0,41.58,z_11
483.0,400.0,41.51,z_13
283.0,268.0,41.47,z_14
177.0,133.0,41.42,z_14
51.0,348.0,41.39,z_12
88.0,374.0,41.37,z_13
249.0,474.0,41.33,z_10
206.0,230.0,41.32,z_11
407.0,432.0,41.29,z_11
264.0,401.0,41.24,z_11
68.0,335.0,41.2,z_14
93.0,16.0,41.18,z_11
186.0,51.0,41.13,z_13
411.0,410.0,41.09,z_13
444.0,420.0,41.04,z_15
327.0,325.0,40.99,z_13
226.0,342.0,40.96,z_14
235.0,269.0,40.78,z_13
393.0,216.0,40.76,z_12
477.0,287.0,40.69,z_12
320.0,73.0,40.67,z_15
