Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity,Ring_Width_μm,Dark_Edge_Diameter_μm,Dark_Ratio
0,462.00,444.00,28.63,171.88,572.92,0.865,5.85,40.12,0.486
1,486.00,384.00,23.29,182.12,368.92,0.873,5.84,34.67,0.564
2,90.00,476.00,25.84,169.11,364.58,0.846,5.66,36.67,0.575
3,58.00,476.00,27.82,168.69,416.67,0.829,5.66,37.81,0.548
4,312.00,458.00,23.67,168.94,373.26,0.884,6.22,34.89,0.575
5,448.00,481.00,29.45,172.26,572.92,0.865,5.75,40.35,0.524
6,235.00,319.00,25.17,176.36,434.03,0.919,5.98,36.44,0.561
7,438.00,438.00,25.45,181.27,440.54,0.904,5.92,37.02,0.542
8,369.00,494.00,26.68,175.58,483.94,0.859,5.87,38.42,0.505
9,129.00,489.00,25.86,164.81,455.73,0.869,5.53,35.06,0.525
10,196.00,473.00,23.85,179.19,386.28,0.915,5.43,34.71,0.514
11,336.00,465.00,25.84,175.43,464.41,0.885,5.74,37.12,0.569
12,374.00,478.00,26.44,174.72,481.77,0.918,5.76,37.64,0.528
13,453.00,382.00,25.82,179.57,444.88,0.913,6.24,37.29,0.599
14,353.00,345.00,25.30,179.95,429.69,0.910,5.59,35.84,0.576
15,416.00,465.00,25.60,176.82,442.71,0.844,5.77,36.97,0.552
16,498.00,454.00,29.74,168.75,601.13,0.883,5.68,40.35,0.480
17,362.00,320.00,26.72,179.66,466.58,0.863,5.87,38.43,0.569
18,66.00,462.00,27.83,165.44,525.17,0.906,4.31,36.44,0.568
19,165.00,410.00,26.10,175.57,477.43,0.910,5.59,37.29,0.556
20,91.00,335.00,25.93,174.43,447.05,0.890,5.64,36.44,0.526
21,13.00,403.00,38.93,148.92,1052.52,0.905,6.21,48.59,0.572
22,212.00,473.00,25.51,182.45,442.71,0.897,5.59,36.52,0.554
23,49.00,431.00,26.68,164.88,496.96,0.882,4.53,35.75,0.715
24,234.00,383.00,25.13,177.51,423.18,0.869,6.24,36.89,0.586
25,187.00,341.00,24.96,181.12,421.01,0.892,5.44,35.84,0.516
26,188.00,374.00,24.82,172.72,416.67,0.883,6.01,36.02,0.564
27,290.00,385.00,27.16,160.22,462.24,0.855,5.15,36.07,0.575
28,200.00,332.00,25.54,179.42,440.54,0.904,5.84,37.12,0.586
29,103.00,418.00,25.86,171.46,449.22,0.846,5.70,36.52,0.565
30,244.00,459.00,25.77,176.62,444.88,0.913,5.11,34.98,0.469
31,351.00,413.00,24.11,180.15,388.45,0.890,5.44,34.67,0.555
32,12.00,384.00,27.23,162.95,492.62,0.912,5.90,37.10,0.575
33,178.00,404.00,23.53,173.92,368.92,0.873,5.93,34.38,0.624
34,162.00,486.00,23.75,172.12,390.62,0.827,6.33,35.48,0.481
35,404.00,497.00,42.98,152.79,1061.20,0.843,5.74,53.12,0.388
36,319.00,474.00,37.81,165.91,1013.45,0.907,5.89,48.97,0.552
37,423.00,353.00,28.94,182.95,577.26,0.905,5.93,40.45,0.519
38,403.00,393.00,31.09,176.94,664.06,0.884,5.58,42.18,0.547
39,406.00,452.00,29.98,180.28,614.15,0.903,5.86,41.57,0.576
40,360.00,394.00,32.12,173.81,713.98,0.927,5.58,42.90,0.537
41,371.00,459.00,29.83,176.49,625.00,0.909,5.64,40.85,0.550
42,444.00,421.00,33.83,164.98,802.95,0.907,5.74,44.74,0.522
43,333.00,405.00,35.45,168.09,824.65,0.890,6.09,46.85,0.534
44,411.00,411.00,34.38,168.76,818.14,0.875,5.64,45.30,0.521
45,422.00,445.00,30.06,180.60,609.81,0.896,6.11,41.67,0.580
46,439.00,459.00,47.96,153.92,1642.80,0.884,5.80,58.94,0.472
47,479.00,454.00,36.76,164.86,976.56,0.893,5.76,47.96,0.556
48,483.00,400.00,32.34,176.24,720.49,0.882,5.77,43.58,0.547
49,327.00,372.00,34.56,171.79,813.80,0.870,6.06,46.03,0.548
50,501.00,392.00,33.85,172.29,811.63,0.917,5.72,45.20,0.555
51,354.00,469.00,36.45,167.79,954.86,0.873,5.78,47.63,0.561
52,327.00,326.00,34.71,169.51,861.55,0.892,5.85,46.28,0.575
53,422.00,391.00,32.61,176.43,737.85,0.903,5.67,43.95,0.535
54,427.00,372.00,34.38,171.83,815.97,0.853,5.83,46.05,0.540
55,440.00,392.00,27.54,178.82,523.00,0.892,5.76,38.75,0.555
56,429.00,408.00,27.81,179.34,529.51,0.877,5.50,38.75,0.500
57,298.00,417.00,116.75,128.59,9396.70,0.772,6.71,127.15,0.494
58,367.00,443.00,26.46,177.98,486.11,0.889,5.64,37.75,0.534
59,354.00,502.00,28.53,177.55,551.22,0.913,5.68,39.31,0.549
60,464.00,370.00,29.02,177.35,538.19,0.892,5.34,39.18,0.493
61,379.00,357.00,29.55,177.32,603.30,0.911,5.55,40.46,0.522
62,345.00,322.00,27.33,177.01,520.83,0.898,5.87,38.43,0.590
63,461.00,462.00,29.03,174.28,588.11,0.912,5.48,39.60,0.539
64,470.00,328.00,25.77,179.79,444.88,0.913,6.04,37.29,0.579
65,28.00,450.00,31.25,158.64,653.21,0.879,5.34,39.95,0.530
66,385.00,423.00,28.98,173.75,553.39,0.928,6.25,40.45,0.457
67,386.00,400.00,29.85,174.87,614.15,0.903,5.92,41.36,0.582
68,336.00,354.00,32.25,171.97,733.51,0.868,5.62,43.38,0.552
69,409.00,364.00,31.98,168.69,711.81,0.902,5.94,43.35,0.589
70,358.00,429.00,30.37,177.88,618.49,0.876,5.98,41.80,0.585
71,380.00,319.00,29.76,180.41,575.09,0.878,6.36,41.46,0.550
72,501.00,322.00,25.77,182.85,460.07,0.877,5.79,37.27,0.568
73,317.00,495.00,32.34,171.22,737.85,0.903,5.82,43.44,0.573
74,240.00,415.00,32.61,173.06,750.87,0.919,5.67,43.36,0.548
75,150.00,440.00,39.67,164.37,1124.13,0.896,5.91,50.83,0.561
76,273.00,361.00,36.69,169.22,946.18,0.891,5.65,47.62,0.511
77,132.00,331.00,33.73,168.56,811.63,0.917,5.64,44.76,0.547
78,146.00,418.00,37.69,161.80,1009.11,0.903,6.26,49.02,0.582
79,111.00,335.00,37.27,166.39,976.56,0.893,5.46,47.51,0.535
80,226.00,343.00,32.94,172.33,785.59,0.887,5.73,44.41,0.759
81,52.00,373.00,33.98,165.42,811.63,0.917,6.13,45.20,0.543
82,81.00,319.00,34.68,166.71,822.48,0.879,5.84,45.29,0.557
83,245.00,396.00,33.34,174.48,750.87,0.848,5.90,44.66,0.565
84,87.00,375.00,33.33,165.12,779.08,0.901,6.10,44.59,0.577
85,253.00,498.00,42.18,161.04,1252.17,0.894,6.18,53.37,0.594
86,111.00,369.00,34.98,165.49,863.72,0.903,5.77,45.58,0.525
87,293.00,456.00,49.68,151.03,1783.85,0.896,5.30,58.89,0.536
88,50.00,353.00,34.14,162.70,789.93,0.922,6.60,45.54,0.585
89,153.00,329.00,35.63,163.72,894.10,0.906,5.73,46.39,0.521
90,279.00,493.00,40.65,160.15,1176.22,0.902,6.54,52.06,0.586
91,249.00,476.00,34.46,167.95,850.69,0.889,5.98,45.88,0.595
92,127.00,387.00,32.94,167.60,776.91,0.878,5.73,44.41,0.557
93,311.00,317.00,29.38,174.97,598.96,0.904,5.79,40.55,0.568
94,268.00,382.00,35.42,166.85,889.76,0.902,5.74,46.44,0.566
95,259.00,424.00,39.97,164.05,1130.64,0.860,5.80,50.99,0.576
96,194.00,490.00,38.11,166.25,1019.97,0.895,6.05,49.39,0.558
97,226.00,431.00,37.83,165.88,1006.94,0.883,5.92,48.94,0.563
98,119.00,314.00,36.99,167.43,961.37,0.886,5.62,48.10,0.562
99,127.00,444.00,40.64,160.23,1171.88,0.908,6.09,51.45,0.550
100,181.00,422.00,38.44,165.87,1050.35,0.895,5.91,49.70,0.562
101,93.00,395.00,40.40,157.57,1134.98,0.887,5.69,50.86,0.533
102,32.00,383.00,43.83,152.92,1362.85,0.876,6.33,55.06,0.567
103,223.00,454.00,45.11,158.27,1456.16,0.898,5.71,55.18,0.545
104,249.00,376.00,32.21,177.12,724.83,0.919,5.72,43.54,0.542
105,114.00,404.00,36.10,164.43,909.29,0.901,6.18,47.64,0.530
106,216.00,491.00,36.67,168.33,950.52,0.922,5.72,47.85,0.521
107,55.00,397.00,50.33,146.79,1835.94,0.902,5.74,60.30,0.557
108,104.00,438.00,41.90,160.29,1271.70,0.891,5.25,51.63,0.537
109,295.00,367.00,39.00,165.39,1111.11,0.885,5.77,50.54,0.557
110,258.00,326.00,41.64,163.06,1228.30,0.917,5.94,52.60,0.530
111,82.00,353.00,44.73,156.30,1436.63,0.901,6.27,56.10,0.532
112,171.00,457.00,38.69,166.90,1072.05,0.914,5.68,49.73,0.547
113,141.00,373.00,34.69,167.29,792.10,0.903,6.30,46.26,0.550
114,202.00,369.00,25.44,179.59,436.20,0.895,5.49,36.41,0.541
115,82.00,446.00,32.94,163.44,740.02,0.885,5.58,42.29,0.502
116,235.00,488.00,30.46,171.42,629.34,0.869,6.40,41.99,0.605
117,170.00,438.00,28.25,173.39,544.70,0.878,6.31,39.80,0.595
118,245.00,439.00,29.83,176.54,607.64,0.917,5.91,41.09,0.796
119,138.00,401.00,26.68,173.40,503.47,0.868,6.22,38.42,0.582
120,202.00,458.00,28.34,176.64,536.02,0.899,6.36,40.02,0.582
121,184.00,358.00,29.85,171.46,611.98,0.924,6.14,40.77,0.564
122,194.00,408.00,26.18,177.04,460.07,0.841,5.80,37.12,0.611
123,228.00,398.00,27.38,179.97,505.64,0.898,5.82,38.29,0.531
124,151.00,389.00,26.44,177.79,473.09,0.902,6.12,37.83,0.571
125,121.00,471.00,31.84,165.92,692.27,0.899,5.88,42.18,0.545
126,136.00,462.00,28.09,173.22,536.02,0.899,5.85,39.36,0.554
127,268.00,471.00,29.24,172.18,598.96,0.904,5.15,38.71,0.500
128,28.00,468.00,29.61,156.78,609.81,0.896,6.31,40.07,0.580
129,37.00,415.00,31.58,161.19,687.93,0.894,5.12,40.07,0.510
130,270.00,342.00,28.63,177.15,575.09,0.892,5.71,40.05,0.567
131,9.00,343.00,32.61,158.18,733.51,0.898,5.91,43.36,0.559
132,188.00,391.00,32.06,160.53,711.81,0.902,6.07,43.35,0.592
133,69.00,335.00,34.02,163.24,807.29,0.912,5.93,44.59,0.570
134,283.00,330.00,30.97,169.03,648.87,0.919,5.77,41.94,0.557
135,287.00,347.00,30.33,171.29,638.02,0.850,5.81,41.67,0.543
136,154.00,349.00,31.05,171.09,685.76,0.913,5.83,41.99,0.533
137,309.00,382.00,34.57,161.82,798.61,0.873,6.41,45.80,0.607
138,265.00,402.00,36.14,162.16,891.93,0.858,5.78,47.10,0.560
139,153.00,471.00,37.27,165.04,954.86,0.926,5.78,47.98,0.555
140,48.00,449.00,38.92,153.26,1072.05,0.914,4.16,47.24,0.692
141,425.00,426.00,32.94,169.89,766.06,0.886,6.20,44.59,0.594
142,264.00,446.00,36.77,168.55,950.52,0.895,4.73,46.23,0.813
143,221.00,413.00,27.91,177.50,516.49,0.891,6.26,39.23,0.587
144,179.00,477.00,30.91,171.99,668.40,0.890,5.98,42.29,0.523
145,19.00,363.00,33.14,157.72,755.21,0.882,5.59,43.01,0.539
146,68.00,432.00,35.53,161.46,894.10,0.906,6.28,46.41,0.563
147,165.00,378.00,29.52,169.40,579.43,0.852,6.22,40.78,0.559
148,175.00,495.00,30.13,173.39,609.81,0.864,5.72,40.54,0.561
149,36.00,364.00,26.17,170.84,455.73,0.907,6.17,37.51,0.583
150,120.00,425.00,29.83,169.06,611.98,0.924,5.81,40.71,0.545
151,330.00,159.00,28.34,177.71,540.36,0.871,6.15,40.02,0.596
152,445.00,215.00,32.20,172.25,711.81,0.902,5.94,43.50,0.550
153,474.00,204.00,29.83,176.32,598.96,0.871,5.96,40.60,0.569
154,393.00,308.00,29.38,180.31,603.30,0.911,5.64,40.55,0.553
155,321.00,37.00,28.09,182.31,540.36,0.871,5.56,39.21,0.502
156,471.00,46.00,27.57,181.69,525.17,0.870,5.62,38.75,0.575
157,428.00,181.00,27.98,175.82,531.68,0.906,5.90,39.31,0.583
158,485.00,230.00,32.94,170.68,748.70,0.866,5.68,44.08,0.556
159,343.00,80.00,32.21,170.76,705.30,0.885,5.82,43.38,0.486
160,372.00,187.00,32.13,167.56,720.49,0.913,5.47,41.12,0.533
161,477.00,307.00,31.02,174.64,674.91,0.877,6.20,42.77,0.569
162,346.00,241.00,30.81,169.72,642.36,0.887,5.88,41.59,0.543
163,498.00,300.00,35.48,171.03,848.52,0.895,6.05,46.58,0.556
164,481.00,145.00,33.48,168.13,759.55,0.858,6.71,44.67,0.544
165,480.00,179.00,26.50,180.90,477.43,0.873,5.96,37.64,0.612
166,394.00,291.00,25.17,182.68,442.71,0.938,5.64,36.44,0.542
167,444.00,178.00,27.36,182.12,516.49,0.891,5.75,38.75,0.572
168,326.00,308.00,26.15,182.24,453.56,0.931,6.03,37.59,0.589
169,496.00,279.00,37.62,162.18,1002.60,0.916,5.47,48.51,0.514
170,349.00,271.00,26.10,180.82,464.41,0.885,5.85,37.56,0.558
171,413.00,228.00,29.83,180.34,625.00,0.909,5.44,40.71,0.509
172,321.00,81.00,32.94,167.34,768.23,0.868,5.68,44.30,0.498
173,316.00,294.00,31.01,173.78,681.42,0.907,5.33,41.67,0.546
174,394.00,220.00,32.26,173.29,733.51,0.898,6.00,43.59,0.583
175,420.00,76.00,34.50,174.44,831.16,0.889,5.91,45.92,0.581
176,334.00,223.00,32.94,168.25,802.95,0.907,5.32,43.03,0.520
177,468.00,221.00,31.99,175.05,696.61,0.874,5.63,43.17,0.488
178,366.00,154.00,41.09,162.43,1210.94,0.904,5.72,51.02,0.548
179,376.00,285.00,33.04,176.38,727.00,0.899,6.28,44.66,0.542
180,402.00,80.00,27.39,177.07,499.13,0.861,6.07,38.75,0.608
181,383.00,258.00,32.72,171.58,729.17,0.924,5.91,44.04,0.496
182,490.00,50.00,29.02,179.75,572.92,0.913,5.54,39.60,0.566
183,339.00,284.00,27.36,181.02,503.47,0.868,5.83,38.55,0.580
184,377.00,71.00,29.01,176.16,568.58,0.892,5.31,39.41,0.577
185,485.00,112.00,40.71,166.22,1171.88,0.898,6.10,51.75,0.559
186,411.00,188.00,31.80,173.42,705.30,0.885,6.03,43.18,0.588
187,357.00,286.00,29.44,181.21,603.30,0.911,5.78,40.71,0.576
188,456.00,100.00,33.61,171.89,794.27,0.897,5.38,43.97,0.522
189,366.00,303.00,30.33,178.16,677.08,0.902,5.67,41.67,0.537
190,454.00,165.00,23.97,179.17,375.43,0.901,6.11,35.62,0.562
191,404.00,280.00,23.29,180.52,364.58,0.906,6.18,34.67,0.611
192,439.00,163.00,26.68,176.27,490.45,0.846,5.31,37.29,0.502
193,413.00,315.00,24.63,181.38,414.50,0.907,5.81,35.84,0.579
194,462.00,315.00,24.27,180.25,397.14,0.869,5.88,35.57,0.603
195,471.00,71.00,23.75,186.20,368.92,0.857,5.86,35.48,0.568
196,359.00,258.00,23.57,178.63,364.58,0.846,6.46,35.36,0.576
197,458.00,150.00,25.36,170.62,434.03,0.919,5.72,35.43,0.529
198,480.00,271.00,23.75,178.78,407.99,0.864,5.86,35.48,0.586
199,468.00,169.00,25.17,169.07,434.03,0.919,5.87,36.07,0.550
200,331.00,207.00,24.08,169.07,384.11,0.880,5.48,33.73,0.514
201,442.00,128.00,25.17,165.55,434.03,0.919,3.89,30.86,0.406
202,383.00,160.00,24.66,163.44,394.97,0.875,6.74,35.60,0.564
203,380.00,231.00,27.23,179.90,505.64,0.898,5.99,38.77,0.514
204,395.00,196.00,27.61,179.26,520.83,0.863,5.70,38.83,0.553
205,365.00,271.00,25.77,181.21,455.73,0.869,5.85,37.29,0.573
206,490.00,209.00,27.50,172.60,492.62,0.875,5.92,38.56,0.584
207,462.00,299.00,26.10,184.21,468.75,0.894,5.78,37.56,0.585
208,382.00,206.00,28.58,173.86,566.41,0.878,5.58,38.95,0.543
209,430.00,224.00,26.71,182.61,470.92,0.871,5.48,37.66,0.510
210,390.00,276.00,24.76,181.91,429.69,0.910,5.74,36.06,0.599
211,349.00,174.00,26.75,175.41,481.77,0.881,5.11,35.81,0.530
212,453.00,231.00,27.11,177.77,496.96,0.882,5.81,38.49,0.534
213,420.00,274.00,32.21,174.33,711.81,0.872,5.70,43.43,0.576
214,344.00,45.00,25.82,180.31,449.22,0.922,6.09,37.36,0.556
215,453.00,286.00,25.86,181.44,444.88,0.913,6.30,37.37,0.589
216,333.00,269.00,26.56,176.09,475.26,0.844,5.78,37.55,0.530
217,341.00,147.00,25.12,173.08,418.84,0.860,4.63,32.94,0.447
218,345.00,189.00,24.14,177.37,384.11,0.880,6.09,35.18,0.575
219,414.00,143.00,39.21,159.81,1102.43,0.878,5.78,49.58,0.554
220,354.00,57.00,23.58,181.70,371.09,0.891,5.79,34.83,0.553
221,451.00,271.00,23.82,185.04,386.28,0.915,5.83,34.96,0.562
222,362.00,227.00,23.99,174.82,375.43,0.860,5.06,32.94,0.494
223,381.00,50.00,46.12,161.76,1558.16,0.922,5.54,57.21,0.550
224,48.00,449.00,41.46,148.66,1197.92,0.894,3.36,78.04,0.662
225,468.00,350.00,42.95,164.64,1297.74,0.886,5.99,54.23,0.569
226,391.00,467.00,42.48,163.61,1284.72,0.900,5.83,53.37,0.557
227,337.00,427.00,41.20,164.90,1206.60,0.901,5.99,52.46,0.571
228,236.00,230.00,25.95,142.64,449.22,0.846,4.73,31.89,0.503
229,403.00,17.00,49.24,160.05,1751.30,0.913,5.89,60.86,0.557
230,417.00,333.00,41.78,165.30,1223.96,0.867,5.77,52.25,0.584
231,423.00,247.00,48.33,157.69,1714.41,0.908,5.79,59.71,0.546
232,321.00,15.00,47.95,157.96,1642.80,0.884,5.71,58.53,0.534
233,362.00,32.00,43.77,163.90,1375.87,0.884,6.10,55.28,0.567
234,423.00,34.00,40.59,169.45,1176.22,0.902,5.78,51.99,0.562
235,418.00,55.00,36.31,174.46,917.97,0.910,6.00,47.29,0.548
236,356.00,10.00,35.75,169.48,920.14,0.904,6.08,47.10,0.572
237,492.00,26.00,49.14,156.95,1736.11,0.872,5.87,60.56,0.556
238,369.00,412.00,37.71,168.46,1015.62,0.891,5.85,49.17,0.545
239,382.00,380.00,40.99,161.17,1197.92,0.894,5.98,52.25,0.579
240,359.00,372.00,44.69,162.34,1427.95,0.887,5.37,55.40,0.529
241,491.00,341.00,44.31,161.66,1406.25,0.904,5.57,55.31,0.538
242,387.00,443.00,39.26,166.23,1074.22,0.873,5.36,49.95,0.540
243,406.00,433.00,35.78,167.18,885.42,0.897,5.75,46.73,0.546
244,486.00,364.00,36.97,171.74,959.20,0.903,5.62,48.21,0.535
245,444.00,357.00,44.51,163.99,1404.08,0.887,5.97,56.14,0.545
246,492.00,70.00,40.70,169.22,1161.02,0.883,6.06,52.20,0.550
247,370.00,337.00,37.59,168.84,1006.94,0.920,5.87,48.65,0.524
248,461.00,401.00,47.29,157.95,1623.26,0.908,5.80,58.55,0.538
249,314.00,353.00,42.18,163.28,1289.06,0.903,5.82,53.51,0.572
250,476.00,422.00,44.66,164.34,1417.10,0.895,5.53,55.30,0.557
251,349.00,446.00,36.98,168.30,963.54,0.907,5.95,47.96,0.544
252,393.00,336.00,41.22,164.96,1232.64,0.896,5.65,52.10,0.561
253,450.00,332.00,45.53,160.78,1506.08,0.891,5.89,56.83,0.585
254,327.00,122.00,52.16,154.14,1972.66,0.881,6.31,63.77,0.541
255,345.00,302.00,38.95,164.80,1052.52,0.879,5.76,50.43,0.555
256,430.00,201.00,38.46,163.84,1030.82,0.923,5.76,49.73,0.510
257,439.00,68.00,34.01,176.64,800.78,0.884,5.79,45.17,0.557
258,328.00,58.00,46.90,154.05,1597.22,0.894,5.76,58.43,0.497
259,457.00,59.00,33.73,174.49,794.27,0.897,6.10,45.14,0.547
260,404.00,262.00,36.77,172.70,954.86,0.926,5.80,48.17,0.540
261,465.00,261.00,36.49,169.79,939.67,0.904,5.66,47.64,0.563
262,476.00,288.00,34.20,173.43,813.80,0.898,5.45,45.10,0.541
263,469.00,240.00,32.65,178.53,735.68,0.910,6.15,44.35,0.574
264,459.00,193.00,34.30,168.32,822.48,0.908,5.86,45.92,0.573
265,450.00,249.00,30.33,174.34,677.08,0.902,5.67,41.67,0.553
