diameter,occupancy
43.13,1
56.51,1
44.88,1
40.45,1
37.39,1
33.21,1
57.33,1
40.7,1
49.82,1
30.64,1
37.29,1
34.12,1
35.72,1
26.88,1
56.31,1
49.4,1
43.36,1
32.05,1
40.42,1
35.66,1
39.13,1
32.81,1
33.97,1
42.7,1
45.55,1
39.81,1
45.07,1
39.65,1
45.64,1
42.95,1
43.42,1
88.41,1
56.68,1
39.44,1
40.05,1
67.2,1
20.04,1
22.81,1
40.61,0
34.79,0
31.29,0
33.93,0
46.68,0
32.48,0
39.06,0
29.26,0
31.87,0
44.31,0
45.75,0
51.62,0
31.33,0
40.55,0
36.38,0
28.34,0
32.97,0
33.59,0
31.78,0
41.36,0
37.4,0
36.92,0
30.01,0
32.94,0
39.86,0
31.84,0
31.8,0
41.99,0
35.06,0
42.18,0
41.04,0
31.67,0
46.59,0
40.13,0
49.39,0
29.36,0
30.6,0
53.64,0
33.2,0
41.62,0
37.31,0
45.97,0
27.31,0
30.91,0
35.63,0
37.78,0
51.67,0
40.25,0
34.74,0
35.66,0
31.36,0
28.43,0
28.47,0
37.78,0
41.67,0
28.58,0
46.73,0
40.01,0
42.38,0
30.88,0
40.93,0
58.58,0
43.81,0
43.58,0
28.56,0
52.61,0
30.76,0
44.59,0
47.73,0
44.26,0
40.08,0
45.72,0
37.43,0
49.82,0
33.16,0
40.86,0
38.49,0
53.24,0
28.39,0
43.33,0
34.1,0
57.36,0
27.16,0
47.45,0
38.79,0
31.0,0
43.21,0
24.41,0
28.58,0
38.31,0
27.44,0
42.32,0
27.95,0
51.45,0
23.85,0
38.52,0
27.41,0
26.1,0
26.68,0
38.48,0
25.77,0
29.14,0
27.42,0
53.49,0
40.43,0
42.76,0
43.08,0
43.17,0
32.94,0
31.9,0
34.51,0
31.39,0
46.64,0
38.47,0
32.57,0
44.74,0
29.87,0
47.97,0
39.26,0
38.98,0
26.36,0
27.23,0
41.99,0
47.24,0
44.26,0
34.93,0
49.15,0
43.0,0
45.49,0
43.87,0
50.23,0
36.59,0
46.45,0
37.99,0
36.7,0
34.98,0
31.26,0
53.07,0
39.23,0
34.92,0
33.33,0
44.56,0
31.98,0
35.42,0
41.37,0
26.86,0
23.78,0
27.54,0
27.53,0
23.75,0
25.21,0
31.12,0
43.81,0
29.61,0
23.53,0
25.6,0
31.95,0
