Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,56.00,44.00,33.60,37.20,785.59,0.887
1,13.00,125.00,36.43,36.07,913.63,0.906
2,119.00,220.00,34.63,33.06,846.35,0.925
3,279.00,243.00,39.41,32.43,1072.05,0.854
4,67.00,75.00,33.95,35.50,785.59,0.887
5,131.00,279.00,42.25,33.40,1221.79,0.895
6,41.00,232.00,38.99,34.41,1095.92,0.890
7,173.00,225.00,45.64,32.83,1503.91,0.905
8,256.00,227.00,38.75,31.17,993.92,0.872
9,103.00,24.00,40.67,35.79,1150.17,0.882
10,181.00,20.00,45.23,30.43,1434.46,0.863
11,297.00,39.00,42.60,35.75,1269.53,0.883
12,189.00,61.00,42.70,33.81,1297.74,0.864
13,308.00,108.00,46.97,33.96,1523.44,0.881
14,255.00,72.00,61.31,24.53,2541.23,0.866
18,236.00,206.00,76.89,19.67,4129.77,0.866
132,102.00,351.00,54.69,33.38,2133.25,0.879
133,226.00,413.00,39.13,32.47,1061.20,0.887
134,249.00,432.00,40.93,32.28,1141.49,0.885
135,310.00,368.00,48.91,33.32,1697.05,0.879
136,122.00,481.00,32.40,32.74,742.19,0.909
137,59.00,451.00,39.13,33.33,1093.75,0.871
138,260.00,330.00,37.56,32.10,972.22,0.915
139,210.00,421.00,29.03,31.61,577.26,0.920
140,171.00,328.00,54.84,32.81,2152.78,0.892
191,436.00,299.00,38.75,32.25,1035.16,0.890
192,375.00,177.00,44.61,33.51,1378.04,0.871
193,403.00,262.00,43.50,31.53,1269.53,0.883
194,412.00,177.00,36.12,34.91,889.76,0.874
195,467.00,60.00,48.26,34.95,1577.69,0.868
196,468.00,29.00,28.05,36.75,516.49,0.928
197,382.00,122.00,55.24,34.64,2141.93,0.900
198,494.00,196.00,24.49,33.67,410.16,0.897
199,447.00,279.00,55.23,32.88,2089.84,0.871
281,352.00,437.00,33.66,31.72,755.21,0.882
282,391.00,440.00,41.90,31.99,1200.09,0.879
284,445.00,424.00,38.44,31.81,1026.48,0.893
311,313.00,314.00,63.52,29.73,2819.01,0.873
413,116.00,363.00,20.52,27.32,262.59,0.921
