Mask_ID,Center_X_px,Center_Y_px,Diameter_μm,Mean_Intensity,Area_μm²,Circularity
0,56.00,44.00,32.26,37.20,724.00,0.887
1,13.00,125.00,34.97,36.07,842.00,0.906
2,119.00,220.00,33.24,33.06,780.00,0.925
3,279.00,243.00,37.84,32.43,988.00,0.854
4,67.00,75.00,32.59,35.50,724.00,0.887
5,131.00,279.00,40.56,33.40,1126.00,0.895
6,41.00,232.00,37.43,34.41,1010.00,0.890
7,173.00,225.00,43.81,32.83,1386.00,0.905
8,256.00,227.00,37.20,31.17,916.00,0.872
9,103.00,24.00,39.05,35.79,1060.00,0.882
10,181.00,20.00,43.42,30.43,1322.00,0.863
11,297.00,39.00,40.90,35.75,1170.00,0.883
12,189.00,61.00,41.00,33.81,1196.00,0.864
13,308.00,108.00,45.09,33.96,1404.00,0.881
14,255.00,72.00,58.86,24.53,2342.00,0.866
127,102.00,351.00,52.50,33.38,1966.00,0.879
128,226.00,413.00,37.56,32.47,978.00,0.887
129,249.00,432.00,39.30,32.28,1052.00,0.885
130,310.00,368.00,46.95,33.32,1564.00,0.879
131,122.00,481.00,31.11,32.74,684.00,0.909
132,59.00,451.00,37.56,33.33,1008.00,0.871
133,260.00,330.00,36.06,32.10,896.00,0.915
134,210.00,421.00,27.86,31.61,532.00,0.920
135,171.00,328.00,52.65,32.81,1984.00,0.892
181,436.00,299.00,37.20,32.25,954.00,0.890
182,375.00,177.00,42.83,33.51,1270.00,0.871
183,403.00,262.00,41.76,31.53,1170.00,0.883
184,412.00,177.00,34.67,34.91,820.00,0.874
185,467.00,60.00,46.33,34.95,1454.00,0.868
186,468.00,29.00,26.93,36.75,476.00,0.928
187,382.00,122.00,53.03,34.64,1974.00,0.900
188,494.00,196.00,23.51,33.67,378.00,0.897
189,447.00,279.00,53.02,32.88,1926.00,0.871
271,352.00,437.00,32.32,31.72,696.00,0.882
272,391.00,440.00,40.22,31.99,1106.00,0.879
274,445.00,424.00,36.90,31.81,946.00,0.893
396,116.00,363.00,19.70,27.32,242.00,0.921
