Mask_ID,Center_X,Center_Y,Diameter,Mean_Intensity,Area,Circularity
0,56.00,44.00,16.13,37.20,181.00,0.887
1,13.00,125.00,17.49,36.07,210.50,0.906
2,119.00,220.00,16.62,33.06,195.00,0.925
3,279.00,243.00,18.92,32.43,247.00,0.854
4,67.00,75.00,16.29,35.50,181.00,0.887
5,131.00,279.00,20.28,33.40,281.50,0.895
6,41.00,232.00,18.71,34.41,252.50,0.890
7,173.00,225.00,21.91,32.83,346.50,0.905
8,256.00,227.00,18.60,31.17,229.00,0.872
9,103.00,24.00,19.52,35.79,265.00,0.882
10,181.00,20.00,21.71,30.43,330.50,0.863
11,297.00,39.00,20.45,35.75,292.50,0.883
12,189.00,61.00,20.50,33.81,299.00,0.864
13,308.00,108.00,22.54,33.96,351.00,0.881
14,255.00,72.00,29.43,24.53,585.50,0.866
18,236.00,206.00,36.91,19.67,951.50,0.866
127,102.00,351.00,26.25,33.38,491.50,0.879
128,226.00,413.00,18.78,32.47,244.50,0.887
129,249.00,432.00,19.65,32.28,263.00,0.885
130,310.00,368.00,23.48,33.32,391.00,0.879
131,122.00,481.00,15.55,32.74,171.00,0.909
132,59.00,451.00,18.78,33.33,252.00,0.871
133,260.00,330.00,18.03,32.10,224.00,0.915
134,210.00,421.00,13.93,31.61,133.00,0.920
135,171.00,328.00,26.32,32.81,496.00,0.892
181,436.00,299.00,18.60,32.25,238.50,0.890
182,375.00,177.00,21.41,33.51,317.50,0.871
183,403.00,262.00,20.88,31.53,292.50,0.883
184,412.00,177.00,17.34,34.91,205.00,0.874
185,467.00,60.00,23.16,34.95,363.50,0.868
186,468.00,29.00,13.46,36.75,119.00,0.928
187,382.00,122.00,26.52,34.64,493.50,0.900
188,494.00,196.00,11.75,33.67,94.50,0.897
189,447.00,279.00,26.51,32.88,481.50,0.871
271,352.00,437.00,16.16,31.72,174.00,0.882
272,391.00,440.00,20.11,31.99,276.50,0.879
274,445.00,424.00,18.45,31.81,236.50,0.893
396,116.00,363.00,9.85,27.32,60.50,0.921
